"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AK,02,Akiachak,CDP,"=""00760""",138,0,138,"284,546",66,"29,137",74,"106,733",0,0,0,135,"506,277",1,805,109,0,48,88,5,26,97,31,0,43,29,27,4,2,2,2,2,2,2,0
AK,02,Akiak,city,"=""00870""",16,0,16,"33,285",8,"4,985",9,"12,621",0,0,0,16,"65,560",1,416,13,0,6,10,3,4,10,5,0,3,2,3,3,2,2,1,1,1,1,0
AK,02,Akutan,city,"=""01090""",50,0,50,"137,790",9,"14,870",32,"36,737",0,0,0,50,"238,144",0,0,47,0,0,0,33,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,02,Alakanuk,city,"=""01200""",56,0,56,"123,419",34,"16,073",35,"42,095",0,0,0,54,"208,272",0,889,35,0,16,12,10,34,48,0,0,15,0,15,0,0,0,0,0,0,0,0
AK,02,Alatna,CDP,"=""01305""",41,0,41,"66,987",7,"4,826",9,"19,602",0,0,0,39,"110,139",0,47,29,0,0,0,0,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,02,Alcan Border,CDP,"=""01390""",3,0,3,"5,411",1,622,2,"1,955",0,0,0,2,"10,773",0,45,2,0,1,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
AK,02,Ambler,city,"=""01970""",23,0,23,"48,108",13,"7,261",14,"19,041",0,0,0,23,"100,875",0,0,20,0,0,14,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,02,Anaktuvuk Pass,city,"=""02080""",29,0,29,"65,592",9,"8,771",9,"20,169",0,0,0,29,"125,407",0,0,28,0,21,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,02,Anchorage,municipality,"=""03000""","18,299",350,"18,299","39,226,011","8,501","6,120,675","10,871","14,376,735","1,399",947,"1,380","17,807","77,103,152",412,"550,050","16,087",41,"6,903","10,246","6,977",864,"10,276","6,331",0,"2,625","1,287","2,564","2,940","1,797","1,868","1,971","2,105","1,664","1,359",0
AK,02,Anchor Point,CDP,"=""03110""",117,0,117,"216,779",48,"35,412",58,"71,393",0,0,0,110,"358,660",0,"15,802",91,0,23,77,35,0,81,29,0,45,0,23,21,0,0,0,0,0,0,0
AK,02,Anderson,city,"=""03220""",5,0,5,"6,395",1,"1,031",1,"2,973",0,0,0,5,"14,052",0,253,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,02,Angoon,city,"=""03440""",90,0,90,"159,590",36,"17,933",40,"45,510",2,0,2,86,"298,939",3,"2,780",66,0,34,28,40,20,74,4,0,6,2,24,4,2,1,2,2,2,2,0
AK,02,Aniak,city,"=""03550""",30,0,30,"61,392",14,"9,195",17,"23,279",0,0,0,29,"120,922",1,766,24,0,12,18,6,7,18,10,0,5,4,6,5,3,3,2,3,2,2,0
AK,02,Arctic Village,CDP,"=""03990""",37,0,37,"66,913",7,"4,573",9,"17,554",0,0,0,37,"114,128",0,0,27,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
