"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AL,01,Abanda,CDP,"=""00100""",17,0,17,"45,064",5,"3,180",10,"12,986",0,0,0,16,"74,639",0,293,15,0,9,5,11,0,8,8,0,4,0,2,3,3,2,2,0,0,0,0
AL,01,Abbeville,city,"=""00124""",293,0,293,"778,372",63,"45,818",168,"199,302",12,11,0,287,"1,214,474",0,"5,263",264,0,169,107,186,0,162,113,0,65,23,48,65,53,28,30,22,13,11,0
AL,01,Adamsville,city,"=""00460""",491,0,491,"1,331,073",123,"90,196",306,"375,442",39,38,19,485,"2,220,571",0,"5,683",457,0,302,194,288,0,296,172,0,116,23,65,109,80,54,61,44,31,22,0
AL,01,Addison,town,"=""00484""",63,0,63,"161,559",20,"14,810",41,"47,884",0,0,0,60,"273,281",0,"1,410",57,0,22,23,40,0,39,19,0,19,0,7,15,9,7,6,7,0,0,0
AL,01,Akron,town,"=""00676""",40,0,40,"120,880",8,"4,049",27,"37,322",0,0,0,39,"198,033",0,770,35,0,25,20,19,0,24,13,0,10,0,0,7,7,7,0,0,0,0,0
AL,01,Alabaster,city,"=""00820""","1,996",23,"1,996","4,994,683",528,"407,661","1,232","1,620,447",162,134,119,"1,920","8,306,418",58,"90,928","1,687",0,780,"1,010",955,25,"1,203",668,0,562,135,287,431,277,201,195,171,143,144,0
AL,01,Albertville,city,"=""00988""","2,629",64,"2,629","7,686,317",656,"462,488","1,820","2,435,201",111,99,53,"2,563","12,369,365",66,"54,584","2,316",0,"1,153",692,"1,854",83,"1,419","1,080",0,653,158,374,573,445,385,252,173,125,135,0
AL,01,Alexander City,city,"=""01132""","1,900",26,"1,900","5,305,870",443,"299,230","1,209","1,457,466",140,80,47,"1,867","8,772,561",27,"31,533","1,728",0,"1,088",852,959,79,885,921,0,294,116,291,383,313,248,194,124,77,52,0
AL,01,Alexandria,CDP,"=""01180""",313,0,313,"715,700",91,"68,641",188,"222,178",1,2,1,301,"1,243,788",1,"9,776",281,0,115,128,180,1,178,113,0,74,26,40,68,50,31,29,22,24,23,0
AL,01,Aliceville,city,"=""01228""",429,0,429,"1,359,333",89,"58,232",263,"313,026",0,30,0,426,"2,047,238",0,"1,247",396,0,258,257,169,0,228,186,0,79,14,70,119,78,54,38,30,19,0,0
