"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AR,05,Adona,city,"=""00250""",14,0,14,"37,018",3,"2,266",9,"11,217",0,0,0,14,"60,572",0,122,13,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Alexander,city,"=""00580""",241,0,241,"586,799",74,"59,106",157,"196,611",18,14,12,232,"994,288",9,"6,684",207,0,97,113,124,4,141,84,0,60,21,38,42,28,27,27,23,20,15,0
AR,05,Alicia,town,"=""00700""",9,0,9,"25,376",2,"1,426",7,"8,230",0,0,0,9,"43,257",0,0,8,0,6,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Allport,town,"=""00940""",13,0,13,"30,535",4,"3,045",8,"10,009",0,0,0,12,"50,945",0,847,11,0,7,6,7,0,6,6,0,1,0,1,1,1,1,1,0,0,0,0
AR,05,Alma,city,"=""00970""",479,9,479,"1,209,146",140,"106,599",301,"384,633",16,16,12,464,"2,017,837",16,"10,198",420,0,217,140,317,23,335,126,0,121,40,81,84,65,56,45,39,35,32,0
AR,05,Almyra,town,"=""01030""",18,0,18,"36,558",3,"6,549",10,"14,222",0,0,0,16,"73,471",0,854,13,0,0,0,11,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Alpena,town,"=""01060""",36,0,36,"97,981",12,"8,887",23,"33,625",0,0,0,35,"166,971",0,327,30,0,19,12,24,0,22,13,0,11,0,0,6,6,0,5,5,0,0,0
AR,05,Altheimer,city,"=""01150""",141,0,141,"401,480",47,"32,728",93,"116,646",16,0,0,137,"645,146",0,"1,115",126,0,71,70,69,0,73,65,0,18,0,0,22,17,25,29,0,0,0,0
AR,05,Altus,city,"=""01210""",97,0,97,"253,284",22,"17,077",60,"82,374",0,0,0,92,"407,648",0,"3,255",83,0,49,30,62,1,51,39,0,25,10,15,21,16,1,1,1,1,1,0
AR,05,Amagon,town,"=""01270""",7,0,7,"16,290",1,785,3,"4,866",0,0,0,3,"24,305",0,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Amity,city,"=""01360""",84,0,84,"229,278",20,"15,038",56,"71,984",0,0,0,80,"350,920",0,"3,210",69,0,40,28,55,0,44,34,0,32,7,15,17,14,9,8,5,0,0,0
AR,05,Anthonyville,town,"=""01457""",18,0,18,"50,132",5,"3,017",11,"14,417",0,0,0,17,"78,482",0,131,16,0,11,7,11,0,11,6,0,5,0,3,4,3,2,2,0,0,0,0
AR,05,Antoine,town,"=""01540""",4,0,4,"9,313",1,983,2,"2,491",0,0,0,4,"15,605",0,294,3,0,2,1,2,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0
AR,05,Arkadelphia,city,"=""01870""",858,0,858,"2,158,860",208,"147,110",550,"629,299",57,34,29,836,"3,460,550",22,"18,034",762,0,451,343,480,34,372,425,0,128,84,137,188,138,104,72,49,48,36,0
AR,05,Ashdown,city,"=""02380""",432,0,432,"1,121,346",122,"89,255",279,"345,667",16,15,0,420,"1,862,089",11,"8,189",385,0,222,208,223,0,211,193,0,81,36,61,90,58,65,38,31,31,19,0
