"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AZ,04,Aguila,CDP,"=""00730""",151,0,151,"431,010",44,"32,524",108,"163,911",0,0,1,143,"661,671",2,"4,005",98,0,41,51,99,0,110,35,0,29,3,4,36,4,2,2,1,1,1,0
AZ,04,Ajo,CDP,"=""00870""",388,0,388,"1,007,058",92,"75,025",245,"329,835",0,0,0,382,"1,645,310",0,"3,504",318,0,140,157,135,96,226,141,0,55,52,73,74,45,44,38,30,0,0,0
AZ,04,Ak-Chin Village,CDP,"=""01090""",64,1,64,"165,876",22,"17,057",44,"63,886",4,4,3,63,"282,432",2,"1,548",57,0,29,32,31,1,34,26,0,13,4,8,11,9,7,8,6,6,5,0
AZ,04,Ali Chuk,CDP,"=""01560""",21,1,21,"53,638",9,"7,362",15,"22,645",1,0,0,21,"103,986",0,119,18,0,13,5,13,3,10,10,0,2,2,3,2,2,3,3,3,2,2,0
AZ,04,Ali Chukson,CDP,"=""01570""",19,1,19,"47,401",8,"6,506",13,"20,012",1,0,0,19,"91,894",0,105,16,0,11,4,11,3,9,9,0,2,2,2,2,2,2,3,3,2,2,0
AZ,04,Ali Molina,CDP,"=""01620""",12,0,12,"29,937",5,"4,109",8,"12,639",0,0,0,12,"58,038",0,66,10,0,7,3,7,2,6,6,0,1,1,1,1,1,1,2,2,1,1,0
AZ,04,Alpine,CDP,"=""01920""",8,0,8,"12,239",1,"1,001",3,"3,995",0,0,0,8,"23,196",0,"1,059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Amado,CDP,"=""01990""",15,0,15,"36,768",3,"3,275",9,"9,958",0,0,0,14,"55,276",0,479,12,0,5,8,6,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Anegam,CDP,"=""02270""",19,1,19,"47,401",8,"6,506",13,"20,012",1,0,0,19,"91,894",0,105,16,0,11,4,11,3,9,9,0,2,2,2,2,2,2,3,3,2,2,0
AZ,04,Anthem,CDP,"=""02430""",735,0,735,"1,662,885",217,"167,991",421,"603,547",53,39,71,676,"2,661,783",59,"51,410",566,0,194,414,316,0,459,229,0,268,71,93,130,87,77,71,84,67,52,0
AZ,04,Apache Junction,city,"=""02830""","2,787",24,"2,787","6,570,155",736,"553,311","1,621","2,160,352",110,94,151,"2,663","10,549,595",114,"98,412","2,382",0,"1,139","1,518","1,182",58,"1,402","1,124",0,561,246,402,601,353,277,245,217,169,136,0
AZ,04,Arivaca,CDP,"=""03320""",102,0,102,"230,730",18,"16,467",56,"76,733",0,0,0,99,"355,814",0,"1,339",80,0,20,56,44,0,53,20,0,9,4,7,8,8,5,3,3,0,0,0
AZ,04,Arivaca Junction,CDP,"=""03380""",112,0,112,"328,936",27,"18,091",74,"107,339",0,0,0,106,"486,473",0,"3,553",92,0,33,56,52,0,65,42,0,29,0,17,22,20,14,12,0,0,0,0
AZ,04,Arizona City,CDP,"=""03530""","1,012",26,"1,012","2,699,515",322,"256,982",687,"936,688",39,22,44,988,"4,405,574",24,"29,911",899,0,468,542,456,0,433,522,0,175,64,144,204,138,122,104,86,78,64,0
AZ,04,Arizona Village,CDP,"=""03915""",77,0,77,"190,462",16,"11,353",43,"56,317",3,0,0,75,"303,445",0,"1,448",65,0,40,28,47,0,40,30,0,12,8,14,19,10,9,7,4,4,3,0
AZ,04,Arlington,CDP,"=""04020""",21,0,21,"62,593",4,"5,671",14,"21,964",0,0,0,20,"93,295",0,696,17,0,8,10,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Ash Fork,CDP,"=""04440""",62,0,62,"140,609",15,"10,575",33,"44,078",0,0,0,58,"225,350",0,"2,607",49,0,25,30,30,0,30,26,0,17,8,11,13,8,0,0,0,0,0,0
AZ,04,Avenue B and C,CDP,"=""04710""",563,13,563,"1,601,328",151,"102,379",392,"506,840",24,20,13,550,"2,443,041",12,"10,501",471,0,208,212,333,17,331,206,0,90,29,78,122,95,73,58,47,32,27,2
AZ,04,Avondale,city,"=""04720""","9,332",246,"9,332","25,410,568","3,256","2,504,338","6,530","9,139,333",595,510,426,"9,100","41,793,368",229,"276,867","8,255",32,"3,817","4,320","4,843",162,"5,317","3,638",0,"1,983",468,"1,120","1,642","1,332","1,078","1,116","1,031",819,651,33
AZ,04,Avra Valley,CDP,"=""04880""",548,0,548,"1,375,814",162,"126,386",344,"474,262",29,23,38,531,"2,252,779",17,"12,506",488,0,228,318,214,16,255,251,0,100,42,75,108,71,57,61,57,35,40,0
AZ,04,Aztec,CDP,"=""04930""",4,0,4,"11,072",1,913,3,"3,685",0,0,0,4,"17,767",0,0,3,0,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Bagdad,CDP,"=""05140""",63,0,63,"116,808",27,"23,184",37,"45,463",0,0,0,61,"262,768",0,358,54,0,22,40,0,0,27,31,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Beaver Dam,CDP,"=""05490""",75,0,75,"182,289",18,"14,353",44,"64,589",0,0,0,73,"313,155",0,512,60,0,27,32,42,0,31,34,0,0,0,0,17,13,0,0,0,0,0,0
AZ,04,Beaver Valley,CDP,"=""05495""",16,0,16,"38,114",4,"2,747",9,"12,501",0,0,1,16,"59,278",1,645,14,0,6,7,8,2,10,5,0,4,2,3,4,2,2,1,1,1,1,0
AZ,04,Benson,city,"=""05770""",405,0,405,"901,283",95,"67,205",208,"289,860",0,12,11,383,"1,437,218",20,"20,426",337,0,132,225,142,0,198,137,0,73,38,68,91,45,35,34,26,21,18,0
AZ,04,Bisbee,city,"=""06260""",451,0,451,"1,081,642",91,"63,004",238,"319,744",0,0,22,419,"1,640,281",32,"18,778",364,0,171,293,120,38,207,205,0,105,56,79,109,61,49,32,32,21,0,0
AZ,04,Bitter Springs,CDP,"=""06470""",20,0,20,"55,860",5,"3,850",14,"17,814",0,0,0,20,"91,471",0,14,19,0,16,2,18,0,9,10,0,3,2,4,3,3,3,2,2,0,0,0
AZ,04,Black Canyon City,CDP,"=""06610""",189,0,189,"405,484",48,"32,144",90,"127,553",0,0,0,174,"621,551",0,"7,561",147,0,60,104,83,0,103,60,0,59,21,40,42,22,0,0,0,0,0,0
AZ,04,Blackwater,CDP,"=""06820""",82,3,82,"234,020",26,"19,844",58,"83,161",3,2,3,81,"375,189",1,930,72,1,36,41,38,3,38,40,0,12,6,10,15,12,10,9,8,6,5,0
AZ,04,Bluewater,CDP,"=""07025""",105,2,105,"272,943",32,"23,095",68,"90,898",5,4,3,103,"450,959",2,"1,130",92,0,30,58,36,11,59,40,0,17,9,14,20,17,13,11,9,7,5,0
AZ,04,Bouse,CDP,"=""07310""",31,0,31,"66,111",4,"2,978",8,"21,580",0,0,0,30,"103,882",0,200,26,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Bowie,CDP,"=""07380""",82,0,82,"188,572",24,"16,966",49,"59,700",0,0,0,79,"284,904",0,895,68,0,26,35,43,0,36,31,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Brenda,CDP,"=""07590""",32,0,32,"88,503",9,"6,059",20,"28,382",0,0,0,31,"136,594",0,649,24,0,11,14,18,0,13,16,0,0,0,7,6,6,5,0,0,0,0,0
AZ,04,Bryce,CDP,"=""07915""",12,0,12,"33,322",3,"2,839",8,"12,066",0,0,0,12,"53,328",0,235,10,0,4,6,6,0,6,6,0,3,1,2,2,2,1,1,1,1,1,0
AZ,04,Buckeye,town,"=""07940""","4,775",86,"4,775","12,590,825","1,708","1,352,961","3,306","4,856,502",282,267,253,"4,646","21,453,818",129,"120,035","4,185",0,"1,855","2,358","2,337",73,"2,658","1,898",0,"1,021",274,543,772,598,526,566,549,476,438,30
AZ,04,Bullhead City,city,"=""08220""","4,321",64,"4,321","11,106,969",935,"591,723","2,573","3,348,976",178,79,86,"4,228","17,564,079",67,"79,134","3,691",0,"2,076","1,634","2,587",79,"2,085","1,781",0,602,360,704,975,747,512,388,239,149,102,0
AZ,04,Burnside,CDP,"=""08535""",14,0,14,"36,070",4,"2,892",9,"10,993",0,1,0,14,"61,356",0,9,12,0,6,6,7,2,9,5,0,3,2,3,2,2,2,2,1,1,1,0
AZ,04,Bylas,CDP,"=""08710""",405,0,405,"1,223,383",102,"69,856",309,"418,985",0,0,0,402,"1,915,721",0,246,365,0,303,71,302,32,285,108,0,56,45,79,70,67,48,37,23,0,22,0
AZ,04,Cactus Flats,CDP,"=""08920""",119,2,119,"311,125",34,"25,923",79,"104,294",4,4,3,117,"501,771",2,"1,041",103,0,42,64,51,3,49,61,0,19,12,19,22,15,13,10,11,8,8,0
AZ,04,Cactus Forest,CDP,"=""08990""",50,1,50,"117,259",18,"16,087",32,"46,021",2,2,3,49,"205,480",1,800,44,0,21,30,18,1,23,24,0,8,4,7,7,5,5,5,5,5,5,0
AZ,04,Cameron,CDP,"=""09340""",439,4,439,"1,180,727",109,"71,341",291,"364,472",3,3,5,431,"1,841,177",2,"4,075",398,0,294,74,337,10,260,145,0,92,34,77,109,66,50,40,12,7,6,0
