"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CA,06,Acalanes Ridge,CDP,"=""00135""",31,1,31,"46,112",6,"4,697",10,"12,733",2,2,2,27,"74,964",4,"3,771",19,0,5,16,13,2,20,7,0,12,5,7,7,3,2,2,2,2,1,0
CA,06,Acampo,CDP,"=""00156""",15,0,15,"33,686",4,"2,919",9,"11,449",0,0,0,14,"54,440",0,850,10,0,3,7,8,0,7,6,0,3,1,3,3,2,1,2,1,1,1,0
CA,06,Acton,CDP,"=""00212""",305,0,305,"601,280",58,"44,967",130,"164,863",0,19,0,270,"926,068",35,"36,475",217,0,73,111,191,0,207,70,0,118,34,54,77,35,27,25,25,0,0,0
CA,06,Adelanto,city,"=""00296""","5,019",164,"5,019","16,602,931","1,115","802,952","3,868","5,497,795",159,201,116,"4,915","23,268,983",104,"93,504","4,500",0,"2,399","1,672","3,154",192,"3,488","1,377",0,"1,824",200,816,"1,397",847,433,397,334,307,273,0
CA,06,Adin,CDP,"=""00310""",26,0,26,"43,740",10,"8,688",10,"12,595",0,0,0,25,"78,951",0,"1,359",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,06,Agoura Hills,city,"=""00394""",619,0,619,"945,721",93,"69,634",193,"237,909",17,27,48,510,"1,340,362",104,"120,193",360,0,89,230,357,0,427,97,0,285,104,130,132,46,40,46,36,33,21,0
CA,06,Agua Dulce,CDP,"=""00450""",111,0,111,"197,810",22,"16,910",46,"57,070",4,8,6,98,"305,705",12,"13,199",74,0,21,40,71,0,71,28,0,42,18,19,26,10,9,8,11,6,5,0
CA,06,Aguanga,CDP,"=""00464""",72,0,72,"166,377",15,"10,642",39,"51,372",0,0,0,63,"240,461",8,"9,203",52,0,22,30,41,0,46,22,0,27,9,13,15,11,0,0,0,0,0,0
CA,06,Ahwahnee,CDP,"=""00478""",142,0,142,"315,785",39,"28,793",76,"96,127",0,3,5,134,"503,807",4,"6,765",116,0,45,81,57,3,69,62,0,36,8,14,29,11,9,8,6,5,4,0
CA,06,Airport,CDP,"=""00535""",173,5,173,"435,577",46,"33,098",109,"132,236",6,6,5,168,"677,223",5,"4,863",141,0,64,85,86,3,75,84,0,31,15,33,38,22,17,14,13,11,8,0
CA,06,Alameda,city,"=""00562""","3,992",116,"3,992","7,824,258",797,"644,040","1,688","2,026,394",145,241,198,"3,578","12,016,620",413,"398,634","2,485",0,699,"1,708","2,036",241,"2,250","1,335",0,"1,341",501,788,890,444,352,282,285,215,175,0
CA,06,Alamo,CDP,"=""00618""",178,0,178,"221,188",9,"12,625",46,"58,120",0,0,0,150,"345,475",27,"26,764",85,0,21,88,87,0,128,32,0,81,40,43,44,0,0,0,0,0,0,0
CA,06,Albany,city,"=""00674""",816,21,816,"1,393,081",172,"136,986",318,"358,837",40,66,50,703,"2,087,142",111,"125,325",525,0,109,446,325,45,466,278,0,308,112,176,164,79,69,70,64,41,38,0
