"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CO,08,Acres Green,CDP,"=""00320""",73,0,73,"127,881",20,"16,272",32,"41,325",5,4,8,67,"221,021",5,"5,540",57,0,18,47,26,0,44,22,0,25,10,13,14,7,6,6,6,5,5,0
CO,08,Aetna Estates,CDP,"=""00620""",57,0,57,"124,755",23,"17,789",36,"49,932",5,4,5,54,"234,812",3,"3,813",48,0,17,31,25,0,31,23,0,15,4,6,8,5,6,7,7,7,6,0
CO,08,Aguilar,town,"=""00760""",35,0,35,"72,211",5,"5,924",16,"20,834",0,0,0,31,"119,861",0,"1,502",23,0,0,16,16,0,22,12,0,11,0,0,0,0,0,0,0,0,0,0
CO,08,Air Force Academy,CDP,"=""00870""",210,0,210,"562,573",109,"86,013",179,"327,261",33,27,26,209,"1,394,043",0,717,205,0,72,147,53,0,73,135,0,0,0,0,0,0,0,34,29,42,47,0
CO,08,Akron,town,"=""00925""",106,0,106,"231,460",35,"29,894",60,"83,175",0,0,0,95,"420,419",0,"12,131",81,0,23,47,56,0,57,40,0,26,0,13,18,13,0,0,0,0,0,0
CO,08,Alamosa,city,"=""01090""",998,14,998,"2,247,315",271,"217,098",559,"710,947",38,36,60,962,"3,781,085",35,"28,065",851,0,417,401,493,104,421,475,0,173,126,169,199,114,104,87,79,54,62,0
CO,08,Alamosa East,CDP,"=""01145""",168,2,168,"377,176",45,"36,436",94,"119,321",6,6,10,161,"634,595",6,"4,710",143,0,70,67,83,18,71,80,0,29,21,28,33,19,18,15,13,9,10,0
CO,08,Allenspark,CDP,"=""01420""",10,0,10,"39,731",1,"2,373",4,"11,693",0,0,0,9,"55,611",1,"3,015",6,0,2,5,5,0,7,2,0,5,2,2,3,0,0,0,0,0,0,0
CO,08,Alma,town,"=""01530""",63,0,63,"87,569",11,"9,795",14,"25,460",0,0,0,56,"136,201",0,"4,138",45,0,4,37,5,0,33,4,0,24,0,2,2,0,0,0,0,0,0,0
CO,08,Alpine,CDP,"=""01640""",11,0,11,"19,772",1,"1,224",4,"5,295",0,0,0,10,"28,321",0,866,8,0,3,7,4,0,6,4,0,4,0,0,3,0,0,0,0,0,0,0
CO,08,Altona,CDP,"=""01740""",15,0,15,"12,811",1,651,2,"2,835",0,1,2,13,"21,587",2,"1,478",10,0,3,10,4,1,8,4,0,5,4,5,4,1,0,0,0,0,0,0
CO,08,Antonito,town,"=""02355""",75,0,75,"167,793",19,"12,943",41,"48,275",0,0,0,74,"280,071",0,583,58,0,24,31,37,0,30,36,0,12,11,11,15,11,7,8,0,0,0,0
CO,08,Applewood,CDP,"=""02575""",315,0,315,"550,512",72,"56,580",136,"164,644",13,15,25,290,"929,279",24,"21,840",247,0,97,183,119,11,164,112,0,84,44,69,70,28,24,26,19,20,14,0
CO,08,Arboles,CDP,"=""02905""",21,0,21,"46,697",8,"6,455",12,"15,726",0,0,1,20,"83,772",0,523,17,0,8,9,12,0,9,10,0,5,2,3,4,3,2,2,2,0,2,0
CO,08,Aristocrat Ranchettes,CDP,"=""03015""",114,3,114,"274,878",43,"34,903",74,"99,134",5,4,5,110,"481,377",4,"3,697",94,0,37,48,63,3,55,50,0,23,8,14,21,14,13,12,12,9,11,0
CO,08,Arriba,town,"=""03235""",17,0,17,"57,109",2,"1,636",6,"20,560",0,0,0,16,"83,410",0,186,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,08,Arvada,city,"=""03455""","6,614",61,"6,614","13,887,733","2,001","1,610,290","3,462","4,432,407",345,301,479,"6,240","23,416,160",353,"362,555","5,404",0,"2,192","3,583","2,842",181,"3,558","2,444",0,"1,587",660,"1,076","1,215",709,650,656,607,478,405,0
CO,08,Aspen,city,"=""03620""",312,0,312,"345,122",47,"39,382",72,"83,668",0,0,0,272,"610,836",40,"35,727",216,0,36,201,109,0,212,26,0,135,51,83,83,0,0,0,0,0,0,0
CO,08,Aspen Park,CDP,"=""03730""",28,0,28,"48,058",6,"4,102",12,"14,381",0,0,3,24,"77,100",4,"4,237",19,0,6,17,11,0,17,7,0,13,5,4,7,3,2,2,2,0,0,0
CO,08,Atwood,CDP,"=""03840""",0,0,0,"17,443",0,"3,133",0,"4,332",0,0,0,0,"37,280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,08,Ault,town,"=""03950""",107,0,107,"259,030",33,"28,661",64,"87,109",0,0,0,103,"425,447",0,"3,339",85,0,42,46,58,0,55,47,0,27,0,17,16,16,0,0,14,0,0,0
CO,08,Aurora,city,"=""04000""","32,971","1,197","32,971","80,394,411","10,521","8,012,794","20,634","27,569,806","1,939","1,715","1,733","31,590","133,120,144","1,346","1,408,968","27,747",0,"12,259","14,503","17,477",907,"17,031","13,509",0,"7,877","2,522","4,799","6,180","4,156","3,609","3,501","3,325","2,440","1,930",27
CO,08,Avon,town,"=""04110""",551,23,551,"1,160,915",190,"149,899",315,"418,680",24,0,25,529,"2,114,807",21,"18,305",452,0,124,232,318,0,259,224,0,118,38,99,111,55,61,63,45,41,31,0
CO,08,Avondale,CDP,"=""04165""",55,0,55,"148,034",17,"10,967",38,"49,378",0,0,0,54,"250,311",0,734,48,0,19,29,26,0,26,26,0,10,0,0,10,10,0,0,0,0,0,0
CO,08,Bark Ranch,CDP,"=""04620""",9,0,9,"14,777",1,907,2,"4,092",0,0,0,6,"17,375",0,"2,908",0,0,0,5,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0
CO,08,Basalt,town,"=""04935""",145,0,145,"278,125",47,"36,846",70,"88,050",0,0,0,128,"478,157",17,"21,767",94,0,23,65,80,0,96,37,0,57,16,21,30,15,13,15,14,13,0,0
CO,08,Battlement Mesa,CDP,"=""05120""",280,0,280,"659,480",89,"66,962",171,"227,924",0,0,0,271,"1,169,968",0,"9,443",241,0,129,159,117,0,121,134,0,50,23,42,62,34,26,29,20,24,19,0
CO,08,Bayfield,town,"=""05265""",126,0,126,"283,785",38,"31,742",74,"102,870",10,0,10,117,"475,000",9,"6,596",102,0,45,71,53,0,70,48,0,44,14,17,21,12,17,12,12,9,12,0
CO,08,Bennett,town,"=""06090""",130,0,130,"293,864",45,"38,494",77,"107,624",0,0,0,121,"510,704",0,"11,037",105,0,37,74,56,0,73,45,0,43,13,19,21,13,12,15,14,0,13,0
CO,08,Berkley,CDP,"=""06172""","1,101",24,"1,101","2,598,297",384,"302,088",671,"855,276",45,41,62,"1,053","4,345,620",47,"51,293",900,0,405,470,589,41,590,434,0,239,84,168,217,133,119,126,108,77,65,0
CO,08,Berthoud,town,"=""06255""",278,0,278,"568,490",80,"59,490",149,"183,810",25,21,28,247,"972,308",31,"34,641",213,0,66,154,114,11,165,93,0,92,31,48,47,35,27,27,26,18,18,0
CO,08,Bethune,town,"=""06530""",0,0,0,"25,063",0,"3,358",0,"10,508",0,0,0,0,"44,759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,08,Beulah Valley,CDP,"=""06602""",26,0,26,"56,945",4,"3,427",11,"14,674",0,0,0,25,"93,563",0,77,23,0,0,13,12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,08,Black Forest,CDP,"=""06970""",430,0,430,"827,358",107,"86,931",208,"307,054",0,23,41,395,"1,484,352",32,"27,613",339,0,108,260,155,0,286,109,0,151,53,79,76,34,24,36,29,31,34,0
CO,08,Black Hawk,city,"=""07025""",7,0,7,"15,384",3,"1,919",4,"5,214",0,0,0,7,"26,144",0,234,6,0,2,5,2,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0
CO,08,Blanca,town,"=""07190""",42,0,42,"94,423",11,"6,500",22,"29,416",0,0,0,39,"148,923",0,"1,913",31,0,15,20,21,0,18,18,0,10,0,0,0,0,0,0,0,0,0,0
