"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CT,09,Ansonia,city,"=""01150""","1,732",27,"1,732","3,880,661",471,"356,020",989,"1,169,918",131,88,82,"1,673","7,094,224",59,"38,121","1,475",0,729,808,813,111,848,724,0,325,188,309,342,216,174,177,146,107,71,0
CT,09,Baltic,CDP,"=""02550""",79,0,79,"181,771",26,"19,266",49,"62,365",0,0,0,77,"332,409",0,615,73,0,34,52,26,0,35,37,0,13,11,12,13,11,0,0,0,0,0,0
CT,09,Bantam,borough,"=""02690""",42,0,42,"72,140",5,"8,756",15,"17,352",0,0,0,37,"114,897",0,"4,056",32,0,0,21,20,0,26,0,0,15,0,13,0,0,0,0,0,0,0,0
CT,09,Bethel,CDP,"=""04790""",419,0,419,"793,832",94,"76,974",183,"231,921",25,23,30,384,"1,312,037",35,"42,664",329,0,98,187,215,17,254,115,0,146,56,78,82,40,38,42,30,30,21,0
CT,09,Bethlehem Village,CDP,"=""04945""",68,0,68,"118,185",17,"11,983",28,"36,384",0,0,0,59,"222,048",0,"6,558",47,0,13,37,31,0,40,20,0,26,0,0,14,0,0,0,0,0,0,0
CT,09,Blue Hills,CDP,"=""06050""",158,3,158,"292,705",44,"34,760",77,"85,987",16,15,13,152,"581,804",5,"5,351",133,0,59,74,70,14,91,52,0,28,18,27,30,15,14,16,19,12,7,0
CT,09,Branford Center,CDP,"=""07345""",278,0,278,"462,326",57,"42,915",108,"130,528",15,20,27,255,"833,037",23,"21,884",214,0,69,138,128,12,157,85,0,70,39,60,58,26,23,21,20,20,10,0
CT,09,Bridgeport,city,"=""08000""","18,620",566,"18,620","46,107,213","4,715","3,331,333","11,407","13,675,066","1,220","1,037",709,"18,006","80,082,896",611,"652,395","16,244",0,"8,115","6,996","10,645",950,"9,595","7,526",0,"4,276","1,754","3,102","4,106","2,602","2,045","1,837","1,552",964,582,0
CT,09,Bristol,city,"=""08420""","4,186",48,"4,186","9,101,563","1,152","875,436","2,319","2,736,732",287,210,281,"4,050","16,406,097",134,"149,141","3,658",0,"1,649","2,135","1,847",174,"2,018","1,732",0,740,448,733,828,453,466,382,361,270,208,0
CT,09,Broad Brook,CDP,"=""08770""",227,0,227,"503,910",74,"58,006",122,"149,571",20,0,14,224,"924,618",0,"7,044",200,0,83,124,93,0,96,108,0,42,27,31,43,27,24,28,20,18,0,0
