"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
DE,10,Arden,village,"=""01400""",19,0,19,"34,732",4,"3,726",8,"10,486",1,1,2,18,"63,160",1,"1,009",15,0,5,11,7,1,10,7,0,4,2,4,4,2,1,2,2,1,1,0
DE,10,Ardentown,village,"=""01660""",12,0,12,"22,317",3,"2,394",5,"6,738",1,1,1,12,"40,583",1,648,10,0,3,7,5,1,7,4,0,3,1,3,3,1,1,1,1,1,1,0
DE,10,Bear,CDP,"=""04130""","1,439",30,"1,439","3,250,522",414,"314,415",839,"1,065,725",156,101,80,"1,398","5,809,217",41,"42,473","1,260",0,541,802,549,88,694,611,0,246,129,231,267,170,154,157,148,106,74,0
DE,10,Bellefonte,town,"=""04650""",90,0,90,"199,412",22,"16,277",49,"60,052",6,4,5,87,"345,762",3,"2,249",78,0,36,51,31,8,44,37,0,16,11,16,21,10,9,8,5,6,4,0
DE,10,Bethany Beach,town,"=""05690""",24,0,24,"32,892",3,"2,479",3,"9,548",0,0,0,21,"56,562",0,"2,212",17,0,0,15,0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0
DE,10,Blades,town,"=""06730""",143,3,143,"370,816",38,"25,440",92,"115,241",10,8,3,140,"642,686",2,"1,398",125,0,64,70,62,10,68,62,0,20,11,23,29,20,20,17,10,7,5,0
DE,10,Bowers,town,"=""07250""",48,0,48,"119,470",14,"9,206",30,"41,159",3,0,2,46,"210,288",0,757,43,0,20,29,16,3,19,25,0,5,5,7,8,6,7,6,4,3,0,0
DE,10,Bridgeville,town,"=""08680""",274,0,274,"736,025",74,"52,059",183,"227,349",13,10,8,268,"1,221,831",6,"5,668",239,0,119,141,112,21,131,127,0,40,24,46,47,42,42,31,19,13,8,0
DE,10,Brookside,CDP,"=""09850""","1,124",20,"1,124","2,532,218",332,"258,444",649,"809,625",116,57,58,"1,090","4,500,873",34,"33,464",976,0,404,617,425,82,554,473,0,178,105,180,214,130,121,126,105,90,50,0
DE,10,Camden,town,"=""10760""",237,0,237,"528,828",70,"52,240",140,"170,483",20,17,13,230,"979,641",6,"6,634",209,0,86,133,88,16,107,108,0,37,18,37,46,29,28,24,23,17,13,0
DE,10,Cheswold,town,"=""14660""",122,3,122,"292,135",30,"20,842",74,"92,831",10,7,6,120,"504,951",2,"1,898",109,1,51,72,40,10,56,55,0,18,11,21,27,16,14,11,10,7,5,0
DE,10,Claymont,CDP,"=""15310""",768,13,768,"1,885,775",224,"168,629",470,"597,401",68,39,42,752,"3,323,457",15,"13,422",675,0,288,436,272,60,361,347,0,114,67,109,163,102,86,75,72,55,37,0
DE,10,Clayton,town,"=""15440""",178,0,178,"396,439",55,"44,463",102,"128,588",16,7,8,176,"734,821",0,"2,278",157,0,68,110,58,10,74,83,0,27,17,28,31,21,19,17,20,13,11,0
DE,10,Dagsboro,town,"=""18950""",54,0,54,"131,584",14,"9,556",34,"43,443",5,0,3,52,"224,923",0,"1,212",46,0,22,29,22,3,25,23,0,13,5,10,11,6,7,6,4,3,0,0
DE,10,Delaware City,city,"=""19730""",198,0,198,"448,766",58,"46,995",120,"154,825",22,0,0,195,"809,777",0,"5,406",181,0,88,117,69,0,80,98,0,25,20,29,38,28,0,21,0,0,0,0
DE,10,Delmar,town,"=""20380""",169,0,169,"439,575",49,"33,490",113,"144,508",14,8,0,165,"744,669",0,"5,137",151,0,72,94,66,9,81,77,0,35,9,26,30,27,21,22,12,13,7,0
DE,10,Dewey Beach,town,"=""20900""",20,0,20,"34,206",3,"2,449",8,"9,040",1,0,1,19,"57,820",1,"1,052",16,0,6,11,8,1,9,7,0,4,3,5,5,2,1,1,1,1,0,0
DE,10,Dover,city,"=""21200""","3,942",77,"3,942","9,738,369","1,001","705,933","2,475","3,144,899",308,213,176,"3,870","16,963,494",69,"56,034","3,544",16,"1,677","2,340","1,231",320,"1,717","1,880",0,508,338,649,824,509,433,355,323,219,162,0
DE,10,Dover Base Housing,CDP,"=""21387""",341,6,341,"869,642",94,"65,930",224,"286,724",26,18,16,335,"1,537,188",5,"4,584",309,0,149,203,108,30,139,175,0,41,29,56,73,46,37,34,28,21,16,0
DE,10,Edgemoor,CDP,"=""23240""",680,9,680,"1,638,220",166,"120,885",403,"492,034",48,34,29,667,"2,735,927",14,"10,014",616,0,303,374,230,77,331,294,0,95,75,126,152,85,68,63,49,40,21,0
DE,10,Ellendale,town,"=""24020""",45,0,45,"108,280",15,"11,217",27,"32,731",0,0,0,44,"187,791",0,"2,560",40,0,19,26,16,3,19,21,0,7,4,6,9,6,6,5,5,3,0,0
DE,10,Elsmere,town,"=""24540""",831,23,831,"2,103,115",236,"172,782",535,"670,751",70,39,28,819,"3,540,443",13,"10,787",744,3,386,417,338,76,378,395,0,101,82,136,169,108,91,86,76,52,29,0
DE,10,Felton,town,"=""26620""",127,0,127,"295,801",36,"26,098",74,"94,887",9,6,4,125,"534,565",3,"2,266",111,0,50,73,44,11,58,59,0,19,13,21,25,16,13,12,12,8,7,0
DE,10,Fenwick Island,town,"=""26880""",0,0,0,"6,496",0,0,0,"1,470",0,0,0,0,"11,503",0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,10,Frankford,town,"=""28310""",56,0,56,"131,399",14,"10,065",31,"38,033",3,0,0,54,"211,779",2,"2,845",45,0,17,28,24,4,29,22,0,14,6,8,12,9,7,5,4,3,2,0
DE,10,Frederica,town,"=""28440""",80,0,80,"201,739",23,"15,545",51,"69,502",5,0,4,78,"355,097",0,"1,279",73,0,33,49,27,5,32,42,0,9,8,12,14,11,11,9,7,5,0,0
DE,10,Georgetown,town,"=""29090""",507,10,507,"1,265,787",132,"96,506",306,"407,543",29,26,14,492,"2,174,637",14,"11,095",411,0,162,241,206,59,245,217,0,87,48,76,96,70,72,55,41,21,26,0
DE,10,Glasgow,CDP,"=""29350""","1,000",20,"1,000","2,222,784",284,"216,833",572,"729,997",110,71,57,969,"3,988,542",31,"32,975",871,0,366,559,382,59,487,417,0,178,90,163,187,114,104,108,102,76,53,0
DE,10,Greenville,CDP,"=""31430""",30,0,30,"48,457",3,"5,413",11,"9,799",0,0,0,27,"81,607",0,"3,261",20,0,0,17,11,0,18,9,0,10,0,0,0,0,0,0,0,0,0,0
DE,10,Greenwood,town,"=""31560""",103,0,103,"236,815",29,"23,556",59,"76,582",6,3,0,99,"403,189",4,"5,202",86,0,40,55,40,8,50,42,0,22,10,17,21,13,8,11,8,8,6,0
DE,10,Harrington,city,"=""33120""",380,0,380,"942,417",104,"72,432",240,"304,528",31,13,13,368,"1,661,819",12,"10,395",330,0,157,212,140,29,162,183,0,60,26,61,79,56,46,41,26,23,21,0
DE,10,Hartly,town,"=""33250""",6,0,6,"12,378",2,"1,113",3,"3,841",0,0,0,5,"21,768",0,261,5,0,2,3,2,0,3,2,0,1,0,1,1,1,1,1,1,0,0,0
DE,10,Henlopen Acres,town,"=""33900""",7,0,7,"12,732",1,912,3,"3,365",0,0,0,7,"21,522",1,392,6,0,2,4,3,0,3,3,0,2,1,2,2,1,1,0,0,0,0,0
DE,10,Highland Acres,CDP,"=""34810""",407,7,407,"1,037,730",112,"78,673",267,"342,144",31,22,19,400,"1,834,304",6,"5,470",368,0,178,242,129,36,166,208,0,48,35,67,87,55,45,40,34,25,19,0
DE,10,Hockessin,CDP,"=""35850""",236,0,236,"358,475",47,"38,737",79,"96,053",0,0,20,216,"604,044",20,"21,268",164,0,48,151,76,0,118,86,0,55,44,45,55,21,0,0,0,0,0,0
DE,10,Houston,town,"=""36760""",33,0,33,"73,266",10,"7,026",19,"20,376",0,0,0,32,"137,514",0,888,28,0,13,18,12,0,14,14,0,0,0,6,7,0,0,0,0,0,0,0
DE,10,Kent Acres,CDP,"=""38710""",217,4,217,"553,982",60,"41,999",143,"182,650",17,12,10,214,"979,225",3,"2,920",197,0,95,129,69,19,88,111,0,26,18,36,46,29,24,21,18,13,10,0
DE,10,Kenton,town,"=""39100""",61,0,61,"155,305",15,"15,033",38,"45,637",2,1,1,60,"259,049",0,536,53,0,7,41,6,1,7,8,0,3,2,3,3,2,2,2,2,1,1,0
DE,10,Laurel,town,"=""41310""",392,7,392,"1,017,928",102,"69,027",252,"306,756",30,16,8,384,"1,718,478",8,"6,756",346,0,179,195,173,25,177,184,0,64,34,67,74,61,50,44,27,21,13,0
DE,10,Lewes,city,"=""41830""",188,0,188,"350,620",42,"30,919",86,"97,796",12,7,8,178,"604,985",9,"8,748",152,0,66,109,66,13,85,73,0,37,26,37,45,21,15,16,12,10,6,0
DE,10,Long Neck,CDP,"=""43245""",231,2,231,"535,023",59,"42,596",132,"168,052",17,8,8,223,"928,864",8,"7,717",198,0,93,127,87,18,106,102,0,39,24,35,53,30,27,24,18,12,9,0
DE,10,Magnolia,town,"=""44430""",24,0,24,"56,762",7,"5,435",15,"19,067",2,2,1,24,"103,755",0,402,22,0,11,14,8,2,10,11,0,3,2,4,4,3,2,3,2,2,2,0
