"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
FL,12,Acacia Villas,CDP,"=""00075""",55,2,55,"137,755",11,"7,531",32,"39,930",4,4,2,51,"223,458",4,"3,277",46,0,18,17,36,1,38,13,0,25,4,10,13,9,6,5,4,2,2,0
FL,12,Alachua,city,"=""00375""",885,0,885,"2,141,874",214,"159,093",521,"662,330",45,36,32,845,"3,607,670",27,"33,993",758,0,280,514,340,16,424,389,0,222,90,136,189,130,87,89,51,38,30,0
FL,12,Alafaya,CDP,"=""00410""","7,694",186,"7,694","19,423,473","1,777","1,266,175","4,563","5,920,395",553,571,459,"7,370","31,913,305",316,"310,509","6,761",0,"2,400","3,816","3,762",92,"4,532","2,633",0,"2,607",622,"1,196","1,638","1,061",842,745,661,442,365,0
FL,12,Alford,town,"=""00625""",43,0,43,"105,546",10,"7,500",23,"32,532",0,0,0,41,"175,509",0,"1,146",38,0,15,22,20,0,24,16,0,12,4,8,8,6,5,5,0,0,0,0
FL,12,Allentown,CDP,"=""00800""",84,1,84,"204,434",24,"17,956",52,"67,238",5,3,3,82,"356,535",1,"1,546",76,0,37,50,32,2,37,40,0,16,7,14,17,10,9,8,7,6,5,0
FL,12,Altamonte Springs,city,"=""00950""","5,559",94,"5,559","12,817,783","1,289","910,030","3,030","3,756,378",426,368,305,"5,315","21,662,771",233,"209,013","4,841",0,"2,017","3,007","2,463",60,"2,890","2,160",0,"1,628",468,927,"1,227",736,591,543,459,301,187,0
FL,12,Altha,town,"=""01000""",56,0,56,"148,329",16,"11,800",35,"43,964",3,0,0,55,"237,335",0,"1,006",51,0,31,25,30,0,27,26,0,17,3,11,13,8,5,5,4,4,3,0
FL,12,Altoona,CDP,"=""01050""",10,0,10,"25,754",2,"1,587",6,"7,670",0,0,0,10,"41,835",0,236,9,0,4,6,4,0,5,5,0,3,1,2,2,2,1,0,1,0,0,0
FL,12,Alturas,CDP,"=""01100""",477,9,477,"1,325,017",122,"87,264",318,"424,362",26,15,12,465,"2,231,417",7,"7,527",430,3,198,231,201,6,195,214,0,95,29,71,94,73,54,43,33,22,18,0
FL,12,Alva,CDP,"=""01125""",166,0,166,"356,078",35,"25,576",82,"99,724",0,0,0,158,"613,957",0,"7,820",139,0,48,93,70,0,87,64,0,42,16,31,41,21,16,0,14,10,0,0
