"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
GA,13,Abbeville,city,"=""00184""",145,0,145,"445,764",24,"14,744",104,"134,770",0,0,0,142,"676,482",0,"8,224",133,0,90,58,87,0,83,55,0,46,13,21,41,21,20,13,0,0,0,0
GA,13,Acworth,city,"=""00408""","1,473",24,"1,473","3,516,555",344,"260,198",858,"1,134,801",126,129,95,"1,402","5,637,506",71,"77,612","1,278",0,563,743,719,12,946,421,0,534,125,231,318,186,146,137,130,95,103,0
GA,13,Adairsville,city,"=""00436""",492,8,492,"1,249,566",142,"113,819",302,"390,779",24,22,13,476,"1,975,232",16,"15,443",440,0,240,206,285,0,292,171,0,142,38,86,89,66,43,52,44,37,36,0
GA,13,Adel,city,"=""00576""",609,0,609,"1,731,958",158,"111,517",409,"510,542",25,19,13,600,"2,740,414",0,"7,795",562,0,330,266,340,0,303,269,0,135,43,92,129,91,83,63,48,32,26,0
GA,13,Adrian,city,"=""00660""",76,0,76,"215,046",17,"11,062",50,"61,097",0,0,0,73,"317,211",0,"2,552",68,0,41,28,48,0,42,28,0,27,6,12,20,12,8,5,5,5,0,0
GA,13,Ailey,city,"=""00828""",50,0,50,"138,969",8,"4,637",32,"39,935",4,2,0,49,"209,729",0,544,45,0,30,17,33,0,25,22,0,14,4,9,14,8,5,4,0,0,0,0
GA,13,Alamo,town,"=""00996""",106,0,106,"300,566",24,"16,819",74,"94,339",7,0,0,105,"469,065",0,207,94,0,64,39,67,0,61,41,0,31,0,16,33,14,8,14,6,0,0,0
GA,13,Alapaha,town,"=""01024""",80,0,80,"219,346",19,"12,836",51,"62,720",0,0,0,78,"360,435",0,"1,951",73,0,37,32,48,0,45,32,0,22,0,12,15,13,11,10,0,0,0,0
GA,13,Albany,city,"=""01052""","12,132",222,"12,132","36,859,775","1,815","1,121,239","8,088","10,150,967",654,"1,025",281,"12,007","55,865,757",115,"101,776","11,452",52,"8,401","4,027","7,833",187,"7,637","3,980",0,"3,504",729,"2,228","3,308","2,190","1,305",964,627,386,204,0
GA,13,Allenhurst,city,"=""01472""",45,0,45,"133,657",11,"7,734",33,"42,097",2,2,2,44,"217,996",0,"1,226",43,0,27,25,20,0,25,17,0,10,3,8,10,7,4,5,2,3,2,0
GA,13,Allentown,city,"=""01500""",21,0,21,"55,626",4,"3,152",13,"14,384",0,0,0,20,"85,661",0,100,18,0,12,9,11,0,13,7,0,7,0,3,5,3,3,0,0,0,0,0
GA,13,Alma,city,"=""01612""",423,8,423,"1,230,537",90,"63,913",285,"368,312",16,10,8,414,"1,910,421",9,"7,658",376,0,228,111,311,0,236,165,0,103,30,72,103,70,43,38,31,18,17,0
GA,13,Alpharetta,city,"=""01696""","2,367",70,"2,367","5,243,217",517,"386,967","1,220","1,541,016",171,170,164,"2,173","8,076,417",189,"200,345","1,938",0,694,"1,116","1,199",14,"1,579",604,0,961,232,397,493,279,207,235,199,151,111,0
GA,13,Alston,town,"=""01808""",18,0,18,"52,310",4,"2,841",12,"15,358",0,0,0,18,"80,607",0,426,16,0,9,5,13,0,9,8,0,5,0,4,4,3,2,2,1,1,0,0
GA,13,Alto,town,"=""01948""",101,0,101,"258,209",27,"19,266",65,"86,955",0,0,0,98,"425,999",0,"2,170",89,0,40,32,69,0,50,44,0,24,7,17,20,14,12,10,9,5,7,0
GA,13,Ambrose,city,"=""02060""",32,0,32,"93,284",8,"5,657",23,"26,819",0,0,0,31,"140,137",0,837,27,0,17,11,21,0,16,15,0,10,0,6,7,5,5,3,3,0,0,0
GA,13,Americus,city,"=""02116""","2,431",54,"2,431","7,309,813",457,"274,743","1,679","2,052,738",167,134,55,"2,406","11,061,317",17,"20,932","2,256",0,"1,477",980,"1,446",0,"1,354",972,0,524,147,454,615,444,269,225,131,84,58,0
GA,13,Andersonville,city,"=""02256""",25,0,25,"66,959",6,"4,738",15,"20,690",0,0,0,25,"111,383",0,757,22,0,14,8,17,0,15,9,0,5,0,0,0,0,0,0,0,0,0,0
GA,13,Arabi,town,"=""02564""",53,0,53,"144,672",15,"8,789",36,"44,285",0,0,0,53,"236,670",0,816,48,0,35,22,31,0,31,19,0,15,0,11,11,0,0,0,0,0,0,0
GA,13,Aragon,city,"=""02592""",148,0,148,"405,635",41,"30,202",98,"127,241",10,7,0,144,"627,366",0,"2,995",135,0,89,57,91,0,99,43,0,51,10,22,34,21,15,13,14,9,10,0
GA,13,Arcade,city,"=""02648""",146,0,146,"368,337",39,"31,378",90,"124,089",10,7,6,141,"609,829",5,"4,643",130,0,67,74,71,0,80,54,0,43,10,21,31,18,15,14,13,11,11,0
GA,13,Argyle,town,"=""02844""",37,0,37,"89,657",9,"10,217",21,"25,274",0,0,0,37,"147,620",0,0,35,0,25,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13,Arlington,city,"=""02928""",275,0,275,"876,834",59,"35,491",185,"243,948",0,0,0,269,"1,332,194",0,"6,216",237,0,160,93,181,0,149,117,0,64,0,39,67,57,31,31,22,0,0,0
GA,13,Arnoldsville,city,"=""03124""",29,0,29,"64,476",8,"5,662",16,"20,481",0,0,0,28,"104,636",0,436,25,0,12,17,12,0,17,9,0,10,0,0,7,0,0,0,0,0,0,0
GA,13,Ashburn,city,"=""03236""",764,0,764,"2,388,828",134,"78,254",503,"627,505",41,27,0,756,"3,646,083",0,"2,879",719,0,535,345,417,0,407,321,0,195,46,117,230,136,85,63,44,27,15,0
GA,13,Athens-Clarke County unified government (balance),"city (consolidated, balance)","=""03440""","11,229",257,"11,229","28,681,233","2,095","1,357,322","6,491","8,242,432",641,645,515,"10,918","43,667,841",288,"216,772","10,124",0,"5,650","5,652","5,251",284,"5,963","4,246",0,"2,877",949,"2,132","2,923","1,531","1,288",849,617,415,294,0
GA,13,Atlanta,city,"=""04000""","47,643",735,"47,643","136,289,096","6,226","3,689,047","29,064","37,002,175","2,266","2,592","1,652","46,351","196,215,320","1,200","890,307","43,762",88,"28,987","20,412","25,914","1,108","29,906","14,701",0,"17,990","3,780","10,421","14,948","7,594","3,902","2,805","1,866","1,054",362,0
GA,13,Attapulgus,city,"=""04084""",76,0,76,"221,552",18,"9,910",46,"57,021",0,0,0,75,"345,801",0,245,71,0,55,22,54,0,46,25,0,16,0,13,17,14,11,9,0,0,0,0
GA,13,Auburn,city,"=""04140""",677,0,677,"1,785,550",187,"139,390",439,"598,641",43,39,33,651,"2,901,420",26,"39,742",605,0,302,352,320,0,401,231,0,202,50,90,133,93,73,74,67,46,49,0
GA,13,Augusta-Richmond County consolidated government (b,"city (consolidated, balance)","=""04204""","28,155",411,"28,155","80,339,107","5,450","3,588,478","18,608","23,779,122","1,774","1,755","1,002","27,743","124,211,857",397,"336,448","26,104",329,"15,765","13,659","13,763",691,"14,386","12,029",0,"6,781","1,870","4,857","7,522","4,421","3,003","2,383","1,828","1,206",764,0
GA,13,Austell,city,"=""04252""",989,19,989,"2,808,699",200,"138,014",659,"869,298",87,74,47,965,"4,351,023",24,"20,691",907,1,544,405,575,10,648,301,0,390,57,159,254,160,100,93,77,51,36,0
GA,13,Avalon,town,"=""04392""",19,0,19,"48,599",5,"3,339",11,"14,623",0,0,0,18,"77,860",1,959,17,0,10,8,11,0,10,7,0,5,2,3,4,3,2,2,1,1,1,0
GA,13,Avera,city,"=""04448""",24,0,24,"65,998",3,"3,951",15,"23,380",0,0,0,24,"106,616",0,358,20,0,9,7,17,0,13,10,0,0,0,0,8,0,0,0,0,0,0,0
GA,13,Avondale Estates,city,"=""04644""",276,13,276,"683,312",51,"30,591",163,"208,075",17,22,0,261,"1,110,576",15,"8,487",242,0,141,121,146,0,163,92,0,84,29,51,59,42,39,27,17,0,0,0
GA,13,Baconton,city,"=""04840""",126,0,126,"374,722",32,"19,532",86,"107,804",0,7,0,125,"581,174",0,330,118,0,86,48,78,0,74,48,0,37,7,22,28,17,16,15,9,7,0,0
GA,13,Bainbridge,city,"=""04896""","1,894",38,"1,894","5,751,455",359,"228,012","1,246","1,611,053",76,95,43,"1,871","8,656,383",14,"22,072","1,749",0,"1,271",647,"1,245",0,"1,188",620,0,531,101,333,471,349,239,146,94,70,45,0
GA,13,Baldwin,city,"=""04980""",300,0,300,"789,076",91,"61,121",197,"284,485",2,1,1,288,"1,340,730",0,"10,906",259,0,104,98,200,0,144,134,0,74,8,44,55,38,38,32,34,22,19,0
GA,13,Ball Ground,city,"=""05036""",106,0,106,"236,231",31,"24,413",59,"73,849",6,4,5,98,"373,679",8,"8,747",87,0,42,48,57,0,65,34,0,38,9,16,21,14,9,12,8,9,8,0
GA,13,Barnesville,city,"=""05344""",786,13,786,"2,143,464",169,"112,476",490,"603,490",52,41,17,774,"3,371,504",12,"7,470",727,0,405,291,494,0,496,252,0,196,52,133,189,130,84,76,48,42,30,0
GA,13,Bartow,town,"=""05680""",39,0,39,"116,660",9,"4,942",26,"30,147",0,0,0,39,"177,242",0,414,36,0,24,11,28,0,20,17,0,10,0,7,7,8,5,4,0,0,0,0
GA,13,Barwick,city,"=""05708""",132,0,132,"360,954",19,"13,862",76,"96,297",0,1,0,129,"548,559",0,"6,123",116,0,88,44,88,0,68,57,0,8,3,5,31,30,5,5,1,1,0,0
GA,13,Baxley,city,"=""06016""",613,8,613,"1,761,230",151,"102,358",410,"519,584",17,12,8,601,"2,681,311",9,"9,292",532,0,333,163,448,0,320,263,0,158,35,105,148,70,47,47,32,20,23,0
GA,13,Bellville,city,"=""06688""",17,0,17,"48,224",4,"2,441",11,"14,051",1,0,0,16,"72,606",0,248,15,0,10,6,11,0,7,8,0,4,1,3,4,3,2,1,1,1,1,0
GA,13,Belvedere Park,CDP,"=""06884""","2,570",40,"2,570","7,624,581",379,"232,476","1,626","2,070,830",150,138,79,"2,525","11,041,948",45,"27,097","2,407",11,"1,650","1,021","1,502",45,"1,560",863,0,868,170,507,777,444,255,177,135,76,27,0
GA,13,Berkeley Lake,city,"=""07248""",181,5,181,"453,610",39,"27,168",106,"137,574",14,14,10,167,"683,072",14,"14,142",154,0,68,71,109,2,122,50,0,77,12,31,42,28,20,18,14,10,7,0
GA,13,Berlin,city,"=""07304""",123,1,123,"359,881",22,"16,921",81,"116,405",2,1,0,122,"584,100",1,"1,332",104,0,68,41,78,1,53,63,0,13,4,8,11,8,6,6,3,2,1,0
GA,13,Bethlehem,town,"=""07612""",55,0,55,"139,244",17,"14,227",37,"49,685",4,4,3,54,"237,083",2,"1,561",50,0,25,30,25,0,33,20,0,17,4,7,10,7,6,6,6,4,5,0
GA,13,Bishop,town,"=""08200""",10,0,10,"23,472",3,"2,013",6,"7,491",0,0,1,10,"37,461",0,260,8,0,3,5,5,0,6,4,0,3,1,1,2,1,0,0,0,1,0,0
GA,13,Blackshear,city,"=""08284""",408,0,408,"1,114,241",96,"71,994",265,"337,869",13,14,8,400,"1,777,834",8,"6,751",359,0,215,162,241,0,206,173,0,98,28,67,91,66,45,35,31,23,20,0
GA,13,Blairsville,city,"=""08480""",261,0,261,"588,938",48,"35,022",131,"171,336",1,1,1,232,"899,706",29,"19,349",200,0,105,78,176,1,169,77,0,108,34,34,67,44,3,26,2,2,2,0
GA,13,Blakely,city,"=""08536""",883,15,883,"2,755,224",178,"117,309",610,"735,570",24,38,17,873,"4,049,545",0,"7,090",801,0,588,218,664,0,544,300,0,161,43,127,236,193,107,71,52,37,16,0
GA,13,Bloomingdale,city,"=""08844""",254,0,254,"648,403",68,"51,857",160,"202,256",18,7,8,246,"1,052,506",8,"5,027",228,0,114,139,112,0,133,102,0,63,18,40,57,36,27,27,20,13,15,0
GA,13,Blue Ridge,city,"=""08928""",126,0,126,"320,889",26,"19,515",74,"96,399",4,3,4,118,"471,094",8,"7,220",105,0,66,40,84,0,96,22,0,49,10,22,30,20,12,10,7,6,6,0
