"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
HI,15,Ahuimanu,CDP,"=""00400""",480,6,480,"960,843",147,"120,102",254,"336,277",38,28,29,463,"1,867,791",16,"14,627",387,0,163,248,208,23,212,213,0,84,58,72,86,43,47,49,50,40,33,0
HI,15,Aiea,CDP,"=""00550""",492,12,492,"1,040,552",148,"112,187",272,"344,168",38,26,23,477,"1,951,662",16,"10,431",397,0,182,228,248,17,227,216,0,70,56,77,91,52,46,52,48,41,28,0
HI,15,Ainaloa,CDP,"=""01085""",260,5,260,"602,944",45,"34,165",139,"181,704",7,5,9,237,"907,205",23,"17,320",188,0,81,156,98,7,139,95,0,86,46,50,56,32,22,21,11,10,10,0
HI,15,Anahola,CDP,"=""02200""",240,0,240,"506,670",81,"69,803",136,"202,080",0,0,0,215,"964,288",25,"18,523",173,0,80,116,115,0,129,92,0,69,29,35,42,29,23,0,24,24,0,0
HI,15,Captain Cook,CDP,"=""03850""",305,0,305,"771,200",82,"60,171",196,"270,154",8,0,0,284,"1,221,468",21,"15,011",222,0,104,154,143,0,186,96,0,113,29,51,65,38,32,27,31,19,11,0
HI,15,Discovery Harbour,CDP,"=""05900""",111,0,111,"269,440",25,"18,762",59,"81,398",0,0,0,100,"435,458",10,"4,691",74,0,31,67,41,0,48,52,0,31,17,19,19,18,0,0,0,0,0,0
HI,15,East Honolulu,CDP,"=""06290""","1,253",0,"1,253","1,945,682",252,"202,722",462,"555,269",75,69,88,"1,112","3,388,201",133,"133,671",778,0,249,690,497,0,721,375,0,428,219,244,269,102,74,93,78,86,37,0
HI,15,Eden Roc,CDP,"=""06325""",60,0,60,"145,136",11,"6,455",34,"45,359",0,0,0,55,"219,748",5,"3,267",45,0,20,35,22,3,30,24,0,18,9,13,12,9,3,5,3,0,0,0
HI,15,Eleele,CDP,"=""07000""",203,0,203,"392,905",73,"62,302",110,"144,140",0,0,0,195,"811,699",0,"1,491",154,0,55,65,121,0,104,78,0,34,23,27,34,21,21,0,26,0,0,0
HI,15,Ewa Beach,CDP,"=""07450""",935,21,935,"2,064,733",339,"272,397",585,"808,313",68,54,67,913,"4,193,813",21,"15,924",807,0,336,437,474,24,427,436,0,133,75,119,137,97,95,108,110,94,92,7
