"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IA,19,Ackley,city,"=""00190""",92,0,92,"188,976",25,"22,032",52,"73,800",0,0,0,81,"328,130",0,"17,043",74,0,26,28,61,0,67,20,0,31,14,15,17,0,0,0,0,0,0,0
IA,19,Ackworth,city,"=""00235""",2,0,2,"4,365",1,749,1,"1,087",0,0,0,2,"8,516",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Adair,city,"=""00370""",45,0,45,"103,633",7,"10,278",23,"33,310",0,0,0,41,"189,307",0,"3,818",34,0,15,0,34,0,33,0,0,20,0,0,0,0,0,0,0,0,0,0
IA,19,Adel,city,"=""00505""",178,0,178,"344,756",55,"47,199",93,"125,636",22,0,23,168,"681,121",0,"12,494",145,0,58,86,87,0,95,63,0,42,18,25,35,19,14,15,23,13,17,0
IA,19,Afton,city,"=""00595""",63,0,63,"140,893",26,"21,865",39,"48,358",0,0,0,60,"285,189",0,"1,474",55,0,20,27,36,0,33,28,0,17,0,0,0,0,0,0,0,0,0,0
IA,19,Agency,city,"=""00640""",42,0,42,"86,522",6,"11,679",24,"30,925",0,0,0,42,"181,266",0,0,38,0,16,19,21,0,16,22,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Ainsworth,city,"=""00730""",29,0,29,"71,364",10,"7,197",20,"27,376",0,0,0,27,"128,406",0,"1,427",25,0,13,0,21,0,20,0,0,9,0,0,0,0,0,0,0,0,0,0
IA,19,Akron,city,"=""00775""",107,0,107,"231,323",30,"27,024",60,"76,604",0,0,0,100,"438,503",0,"3,556",94,0,40,39,68,0,61,39,0,30,0,15,15,18,0,0,0,0,0,0
IA,19,Albert City,city,"=""00865""",44,0,44,"100,886",13,"8,172",25,"36,982",0,0,0,36,"166,564",0,"8,607",31,0,0,0,31,0,28,14,0,19,0,0,0,0,0,0,0,0,0,0
IA,19,Albia,city,"=""00910""",261,0,261,"577,577",71,"62,756",148,"182,076",14,0,26,251,"1,049,292",0,"9,689",222,0,96,74,183,0,138,102,0,78,23,42,53,35,24,0,26,18,27,0
