"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ID,16,Aberdeen,city,"=""00100""",158,0,158,"423,675",60,"53,809",109,"159,927",0,0,0,156,"698,765",0,"1,356",134,0,25,39,115,0,71,82,0,24,0,16,28,22,0,17,17,19,18,0
ID,16,Acequia,city,"=""00280""",12,0,12,"31,378",4,"3,443",8,"11,697",1,0,1,12,"51,307",0,256,11,0,4,5,8,0,5,7,0,2,1,2,2,2,1,1,1,1,1,0
ID,16,Albion,city,"=""01000""",48,0,48,"108,876",12,"10,240",17,"52,093",0,0,0,44,"172,581",0,"5,451",39,0,0,3,7,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0
ID,16,American Falls,city,"=""01900""",447,18,447,"1,099,818",163,"134,824",294,"425,308",0,20,20,432,"1,894,471",15,"8,921",387,0,128,151,285,0,207,221,0,65,26,67,76,36,43,51,51,36,55,0
ID,16,Ammon,city,"=""01990""","1,067",2,"1,067","2,577,541",333,"268,144",671,"1,097,638",40,69,112,"1,027","4,419,482",39,"38,782",925,0,296,525,473,69,629,387,0,286,83,144,170,115,106,113,110,87,123,1
ID,16,Arbon Valley,CDP,"=""02935""",51,1,51,"112,989",11,"8,749",28,"37,607",2,3,4,49,"184,145",2,"1,314",43,0,18,28,21,2,25,20,0,9,6,9,12,5,5,4,3,3,3,0
ID,16,Arco,city,"=""03160""",73,0,73,"160,192",14,"8,514",37,"50,467",0,0,0,69,"245,807",0,"1,677",58,0,23,31,40,0,33,31,0,16,0,16,14,0,0,0,0,0,0,0
ID,16,Arimo,city,"=""03340""",22,0,22,"51,464",5,"6,155",14,"34,447",0,0,0,21,"109,825",0,273,17,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,16,Ashton,city,"=""03610""",82,0,82,"199,716",25,"17,303",54,"87,850",0,0,0,78,"311,172",0,"3,679",68,0,15,28,54,0,51,27,0,35,10,11,15,9,0,0,8,0,0,0
ID,16,Athol,city,"=""03700""",54,0,54,"112,057",14,"11,522",28,"38,293",0,0,0,51,"177,530",3,"2,928",45,0,16,29,20,6,33,18,0,16,7,9,12,5,4,4,5,5,4,0
ID,16,Bancroft,city,"=""04420""",20,0,20,"42,725",4,"3,092",11,"22,432",0,0,0,17,"66,782",0,"4,372",16,0,0,0,13,0,15,0,0,10,0,0,0,0,0,0,0,0,0,0
ID,16,Banks,CDP,"=""04600""",2,0,2,"5,775",1,340,1,"2,079",0,0,0,2,"8,935",0,61,2,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
ID,16,Basalt,city,"=""05230""",57,0,57,"143,430",20,"16,218",30,"66,430",1,1,3,55,"259,924",1,645,50,0,9,16,14,2,17,14,0,7,3,4,5,3,3,3,4,3,4,0
ID,16,Bellevue,city,"=""06220""",105,0,105,"228,309",38,"29,195",58,"77,067",0,0,0,98,"393,356",0,"4,651",78,0,16,40,61,0,59,36,0,25,0,18,12,10,13,11,12,0,0,0
ID,16,Bennington,CDP,"=""06670""",12,0,12,"26,719",2,"1,893",6,"9,382",0,0,0,11,"42,855",0,530,9,0,2,5,6,0,7,3,0,4,1,2,3,1,0,1,1,0,1,0
ID,16,Blackfoot,city,"=""07840""","1,120",13,"1,120","2,756,320",377,"288,647",725,"1,087,665",48,51,75,"1,078","4,672,178",42,"36,671",965,0,402,478,582,60,631,435,0,227,96,151,170,144,123,112,109,93,112,10
ID,16,Blanchard,CDP,"=""08290""",25,0,25,"50,211",8,"5,681",14,"21,036",0,0,0,24,"84,952",0,"2,488",22,0,8,17,7,0,14,9,0,7,0,0,5,0,0,0,0,0,0,0
ID,16,Bliss,city,"=""08470""",28,0,28,"65,811",3,"4,761",14,"19,475",0,0,0,26,"94,928",0,"1,735",20,0,10,12,14,0,14,11,0,9,0,0,0,0,0,0,0,0,0,0
ID,16,Bloomington,city,"=""08560""",7,0,7,"16,971",2,"1,242",2,"6,133",0,0,0,6,"22,879",0,39,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,16,Boise City,city,"=""08830""","16,611",286,"16,611","33,746,325","4,071","3,071,005","8,349","10,843,536","1,016","1,016","1,538","15,704","54,580,223",880,"788,828","13,727",0,"5,246","9,920","6,190",438,"8,400","6,432",0,"3,800","1,836","2,896","3,518","1,777","1,560","1,541","1,293",971,931,14
ID,16,Bonners Ferry,city,"=""09370""",259,0,259,"644,011",71,"53,495",160,"249,476",0,9,12,241,"995,259",17,"12,905",207,0,85,124,130,0,162,82,0,84,27,39,49,35,23,19,23,20,23,0
ID,16,Bovill,city,"=""09730""",34,0,34,"83,915",5,"4,330",15,"23,933",0,0,0,33,"123,875",0,895,10,0,0,8,5,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0
ID,16,Buhl,city,"=""10810""",383,0,383,"966,405",113,"88,103",237,"350,046",14,15,16,363,"1,569,391",20,"19,414",313,0,130,159,214,11,183,172,0,105,30,52,77,48,39,38,40,25,30,0
ID,16,Burley,city,"=""11260""","1,009",18,"1,009","2,500,193",340,"258,247",645,"988,926",43,44,48,980,"4,170,323",29,"27,249",867,0,357,436,565,0,447,486,0,192,89,138,154,116,114,107,98,86,98,0
ID,16,Butte City,city,"=""11710""",7,0,7,"15,750",1,837,4,"4,962",0,0,0,7,"24,168",0,165,6,0,2,3,4,0,3,3,0,2,0,2,1,0,0,0,0,0,0,0
ID,16,Caldwell,city,"=""12250""","5,233",115,"5,233","13,868,712","1,694","1,267,357","3,541","5,168,398",291,222,361,"5,084","22,499,787",142,"125,527","4,594",2,"2,073","2,578","2,590",66,"2,555","2,390",0,911,347,654,888,687,633,578,511,409,417,10
ID,16,Cambridge,city,"=""12520""",26,0,26,"51,458",3,"3,831",11,"14,467",0,0,0,23,"75,698",0,"1,043",20,0,0,10,16,0,17,0,0,12,0,0,0,0,0,0,0,0,0,0
ID,16,Carey,city,"=""12790""",28,0,28,"64,711",5,"7,338",16,"25,554",0,0,0,24,"112,631",0,"2,428",17,0,0,0,21,0,16,0,0,13,0,0,0,0,0,0,0,0,0,0
ID,16,Cascade,city,"=""13150""",59,0,59,"134,132",13,"10,200",32,"45,966",0,0,0,55,"208,334",0,"1,174",48,0,17,32,26,0,33,21,0,22,0,8,17,0,0,0,0,0,0,0
ID,16,Castleford,city,"=""13240""",22,0,22,"55,298",4,"5,271",15,"20,417",0,0,0,20,"82,724",0,"3,072",16,0,0,0,14,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0
ID,16,Challis,city,"=""13780""",70,0,70,"145,955",11,"7,129",34,"42,935",0,0,0,65,"213,181",0,"4,294",55,0,11,29,41,0,44,18,0,24,10,14,13,11,0,0,0,0,0,0
ID,16,Chubbuck,city,"=""14680""","1,204",0,"1,204","2,892,569",335,"264,134",738,"1,082,534",76,67,107,"1,176","4,889,223",28,"19,136","1,040",0,442,603,532,69,671,447,0,218,122,185,214,152,119,122,105,81,94,0
ID,16,Clark Fork,city,"=""14950""",47,0,47,"91,462",4,"6,065",21,"31,123",0,0,0,44,"131,164",0,"1,067",35,0,11,20,24,0,31,11,0,16,9,9,10,0,0,0,0,0,0,0
ID,16,Clifton,city,"=""16120""",25,0,25,"62,780",12,"8,941",18,"44,985",0,0,0,25,"123,934",0,74,22,0,0,0,17,0,21,0,0,15,0,0,0,0,0,0,0,0,0,0
ID,16,Coeur d'Alene,city,"=""16750""","3,999",21,"3,999","8,613,025","1,010","754,315","2,132","2,772,961",236,186,311,"3,816","14,084,382",170,"144,853","3,382",0,"1,321","2,415","1,222",347,"2,068","1,540",0,832,417,693,805,479,395,401,296,236,207,0
