"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IL,17,Abingdon,city,"=""00113""",323,0,323,"752,002",94,"65,868",185,"203,029",0,0,21,313,"1,359,909",0,"10,452",294,0,109,158,161,0,124,171,0,53,34,53,64,46,33,36,20,0,20,0
IL,17,Addieville,village,"=""00230""",10,0,10,"24,192",2,"2,935",6,"7,502",0,0,0,10,"44,958",0,0,8,0,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Addison,village,"=""00243""","2,712",73,"2,712","6,421,096",730,"525,274","1,578","2,087,221",194,141,130,"2,523","10,876,274",188,"155,258","2,167",0,664,924,"1,752",36,"1,646",902,0,825,216,403,541,374,293,300,218,187,171,0
IL,17,Adeline,village,"=""00295""",6,0,6,"14,274",2,"1,246",4,"4,381",0,0,0,6,"25,549",0,47,5,0,2,3,4,0,3,3,0,2,0,0,1,0,0,0,0,0,0,0
IL,17,Albany,village,"=""00516""",56,0,56,"127,887",22,"14,783",33,"38,056",0,0,0,53,"246,230",0,"1,849",51,0,0,26,29,0,30,25,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Albers,village,"=""00555""",52,0,52,"105,797",17,"16,182",26,"35,232",0,0,0,51,"224,007",0,524,44,0,0,26,26,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Albion,city,"=""00568""",166,0,166,"347,360",50,"39,846",83,"112,130",0,0,0,158,"663,343",0,"6,426",127,0,36,28,138,0,106,48,0,36,16,24,32,22,0,0,21,15,0,0
IL,17,Aledo,city,"=""00646""",208,0,208,"451,045",68,"52,103",111,"149,071",0,0,0,198,"857,805",0,"12,076",183,0,67,78,128,0,110,81,0,58,19,33,35,26,22,16,25,0,17,0
IL,17,Alexis,village,"=""00672""",57,0,57,"135,278",19,"12,425",37,"44,087",0,0,0,56,"259,241",0,"1,594",51,0,18,31,26,0,25,28,0,14,0,0,0,0,0,0,0,0,0,0
IL,17,Algonquin,village,"=""00685""","1,070",19,"1,070","2,096,457",252,"182,257",504,"595,721",60,79,87,984,"3,567,896",86,"90,728",830,0,225,509,537,24,663,316,0,346,128,205,202,124,104,78,99,64,63,0
IL,17,Alhambra,village,"=""00737""",31,0,31,"60,188",9,"7,556",16,"18,976",0,0,0,31,"110,692",0,"1,268",25,0,11,12,19,0,19,10,0,12,0,0,0,0,0,0,0,0,0,0
IL,17,Allendale,village,"=""00815""",37,0,37,"84,537",4,"6,619",23,"28,402",0,0,0,35,"142,013",0,"2,460",31,0,15,0,30,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Allenville,village,"=""00867""",12,0,12,"26,911",4,"2,833",7,"9,686",1,0,1,11,"51,635",0,429,10,0,5,5,7,0,5,6,0,2,1,1,2,2,2,1,1,1,1,0
IL,17,Alma,village,"=""00919""",33,0,33,"77,228",9,"8,288",18,"22,683",0,0,0,32,"141,774",0,"1,694",29,0,15,11,22,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Alorton,village,"=""00958""",359,10,359,"1,131,764",61,"35,904",254,"310,563",11,13,7,356,"1,604,940",0,589,329,0,216,193,149,17,200,138,0,97,32,74,104,60,40,21,14,9,0,0
IL,17,Alpha,village,"=""00971""",33,0,33,"75,129",13,"11,364",19,"30,073",0,0,0,31,"142,341",0,"3,243",29,0,13,17,16,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Alsey,village,"=""00997""",37,0,37,"87,999",8,"6,116",16,"23,230",0,0,0,35,"155,432",0,"1,751",11,0,5,5,8,0,7,5,0,3,0,2,3,2,2,1,1,0,0,0
IL,17,Alsip,village,"=""01010""","1,678",24,"1,678","3,961,072",449,"342,574",978,"1,243,208",141,127,104,"1,637","7,053,206",41,"41,246","1,494",0,614,810,852,0,923,605,0,419,154,250,340,227,177,171,150,119,84,0
IL,17,Altamont,city,"=""01049""",219,0,219,"497,373",67,"49,946",128,"162,533",14,0,0,210,"958,831",0,"9,749",190,0,79,80,134,0,117,84,0,48,21,34,44,27,21,21,23,14,14,0
IL,17,Alton,city,"=""01114""","3,172",45,"3,172","8,104,337",651,"465,760","1,912","2,398,512",134,105,120,"3,096","13,170,774",73,"55,730","2,720",0,"1,303","1,605","1,315",251,"1,550","1,352",0,595,341,578,802,457,319,247,185,142,93,0
IL,17,Altona,village,"=""01140""",31,0,31,"57,678",6,"8,498",14,"13,281",0,0,0,29,"111,850",0,"4,014",27,0,0,16,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Alto Pass,village,"=""01205""",31,0,31,"70,557",4,"7,482",17,"20,282",0,0,0,30,"121,003",0,"1,112",27,0,11,17,12,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Alvan,village,"=""01242""",21,0,21,"52,962",3,"3,955",13,"16,355",0,0,0,20,"93,750",0,832,19,0,12,0,16,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Amboy,city,"=""01270""",164,0,164,"375,664",46,"35,618",96,"125,169",0,0,0,159,"707,721",0,"1,833",146,0,55,85,78,0,65,81,0,30,24,26,22,26,17,14,13,0,0,0
IL,17,Andalusia,village,"=""01426""",61,0,61,"138,285",25,"17,533",35,"38,378",0,0,0,60,"266,841",0,"1,514",56,0,0,33,29,0,31,23,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Andover,village,"=""01491""",62,0,62,"129,033",17,"17,358",21,"37,321",0,0,0,58,"241,754",0,"3,554",55,0,5,34,9,0,9,7,0,4,0,3,3,2,0,0,2,0,0,0
IL,17,Anna,city,"=""01543""",388,0,388,"935,881",101,"60,834",226,"282,974",15,0,21,381,"1,571,096",0,"6,699",340,0,153,192,191,0,178,175,0,69,52,52,78,68,47,30,26,21,0,0
IL,17,Annapolis,CDP,"=""01556""",3,0,3,"6,303",1,687,1,"2,856",0,0,0,3,"12,332",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Annawan,town,"=""01569""",49,0,49,"109,988",17,"15,439",26,"29,871",0,0,0,48,"223,931",0,81,48,0,0,22,27,0,28,19,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Antioch,village,"=""01595""",682,0,682,"1,403,616",166,"129,944",357,"422,467",27,42,45,643,"2,477,773",38,"34,234",567,0,208,331,337,14,375,237,0,170,87,113,143,80,59,60,59,36,44,0
IL,17,Apple Canyon Lake,CDP,"=""01647""",35,0,35,"68,475",5,"8,997",17,"19,249",0,0,0,33,"125,241",0,986,30,0,0,0,26,0,24,0,0,11,0,0,0,0,0,0,0,0,0,0
IL,17,Apple River,village,"=""01673""",20,0,20,"38,455",3,"5,053",10,"10,810",0,0,0,18,"70,335",0,554,17,0,0,0,15,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0
IL,17,Arcola,city,"=""01881""",230,0,230,"544,831",93,"70,838",140,"217,555",0,0,0,225,"1,077,918",0,"1,673",195,0,72,105,125,0,136,77,0,48,15,25,33,26,21,31,27,26,25,0
IL,17,Arenzville,village,"=""01946""",22,0,22,"49,222",4,"6,987",12,"15,616",0,0,0,21,"91,964",0,"1,008",17,0,0,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Argenta,village,"=""01972""",44,0,44,"99,570",12,"10,220",23,"31,276",0,0,0,43,"181,433",0,"1,290",40,0,15,23,20,0,24,18,0,11,0,0,9,0,0,0,0,0,0,0
IL,17,Arlington,village,"=""02102""",4,0,4,"9,608",1,725,2,"3,574",0,0,0,4,"16,993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Arlington Heights,village,"=""02154""","2,813",66,"2,813","5,053,912",547,"426,516","1,167","1,478,416",159,168,175,"2,466","7,961,433",346,"310,448","1,913",0,465,"1,052","1,615",146,"1,889",679,0,"1,078",414,520,602,290,227,236,204,159,152,0
IL,17,Armington,village,"=""02206""",16,0,16,"44,597",5,"5,493",12,"19,628",0,0,0,16,"87,692",0,"1,991",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Aroma Park,village,"=""02258""",119,0,119,"302,653",25,"28,901",73,"96,956",3,3,3,115,"550,854",0,"6,465",105,0,48,56,61,0,65,46,0,11,4,7,12,7,7,5,6,3,3,0
IL,17,Arrowsmith,village,"=""02342""",18,0,18,"33,540",4,"5,179",10,"11,883",0,0,0,16,"70,185",0,"1,031",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Arthur,village,"=""02414""",157,0,157,"329,462",62,"54,843",97,"189,659",0,0,0,150,"722,175",0,"2,711",117,0,34,38,118,0,94,55,0,64,13,18,20,0,0,15,18,25,22,0
IL,17,Ashkum,village,"=""02479""",43,0,43,"95,928",11,"9,929",25,"36,650",0,0,0,40,"195,789",0,"2,844",36,0,16,19,23,0,26,13,0,13,0,0,0,0,0,0,0,0,0,0
IL,17,Ashland,village,"=""02505""",94,0,94,"209,602",32,"25,555",55,"67,886",0,0,0,91,"395,914",0,"1,373",79,0,29,47,44,0,34,51,0,0,0,0,19,0,0,0,0,0,0,0
IL,17,Ashley,city,"=""02531""",47,0,47,"105,182",13,"9,272",23,"27,622",0,0,0,44,"182,376",0,"2,228",38,0,16,19,27,0,25,18,0,14,0,0,0,0,0,0,0,0,0,0
IL,17,Ashmore,village,"=""02557""",52,0,52,"124,326",22,"14,920",33,"39,486",0,0,0,50,"245,288",0,"2,074",45,0,16,30,21,0,31,19,0,0,0,0,0,0,0,0,0,0,0,0
IL,17,Ashton,village,"=""02583""",69,0,69,"150,836",17,"11,355",36,"49,433",0,0,0,65,"281,081",0,"1,849",56,0,17,36,34,0,36,27,0,21,0,0,0,0,0,0,0,0,0,0
IL,17,Assumption,city,"=""02609""",84,0,84,"190,050",30,"28,002",49,"60,042",0,0,0,83,"369,243",0,751,76,0,40,26,58,0,41,37,0,0,0,0,16,0,0,0,0,0,0,0
IL,17,Astoria,town,"=""02635""",96,0,96,"203,366",31,"24,443",51,"60,119",0,0,0,90,"401,492",0,"4,704",79,0,41,31,65,0,44,40,0,26,13,14,18,0,0,0,0,0,0,0
