"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IN,18,Aberdeen,CDP,"=""00140""",96,0,96,"205,720",25,"20,453",50,"61,640",4,5,8,94,"368,788",3,"3,005",83,0,31,55,39,2,45,42,0,17,10,18,20,11,8,8,8,6,6,0
IN,18,Advance,town,"=""00640""",67,0,67,"161,556",15,"15,041",37,"48,467",0,0,0,66,"290,922",0,"1,438",60,0,7,48,7,0,11,34,0,6,0,4,5,0,0,0,0,0,0,0
IN,18,Akron,town,"=""00748""",105,0,105,"261,556",36,"27,695",66,"93,668",0,0,0,102,"481,068",0,866,89,0,30,39,66,0,47,52,0,26,10,13,20,9,10,12,18,0,0,0
IN,18,Albany,town,"=""00802""",193,0,193,"421,701",55,"44,570",104,"128,222",0,0,0,185,"776,124",0,"5,075",168,0,74,100,90,0,91,83,0,37,17,33,42,25,18,18,15,0,14,0
IN,18,Albion,town,"=""00820""",137,0,137,"271,898",50,"43,457",72,"95,780",9,0,11,132,"587,123",0,"5,596",122,0,54,69,65,0,65,61,0,25,15,15,20,15,13,15,14,14,15,0
IN,18,Alexandria,city,"=""00910""",468,0,468,"1,013,971",119,"93,680",255,"315,856",12,19,31,455,"1,910,231",13,"9,996",412,0,215,245,219,0,206,214,0,83,56,82,96,54,44,32,41,31,30,0
IN,18,Alfordsville,town,"=""00964""",8,0,8,"16,640",2,"1,904",4,"6,618",0,0,0,7,"31,704",0,222,6,0,2,3,4,0,4,3,0,2,1,1,1,1,1,1,1,1,1,0
IN,18,Alton,town,"=""01270""",6,0,6,"11,945",1,"1,031",3,"3,871",0,0,0,5,"22,229",0,249,5,0,2,2,4,0,3,2,0,1,0,1,1,0,0,0,0,0,0,0
IN,18,Altona,town,"=""01288""",24,0,24,"58,114",8,"6,469",15,"19,504",1,1,1,24,"109,738",0,301,22,0,10,14,10,1,12,10,0,4,2,3,4,3,3,3,2,2,2,0
IN,18,Ambia,town,"=""01342""",22,0,22,"52,092",4,"6,593",14,"21,638",0,0,0,22,"97,098",0,"2,048",18,0,0,11,11,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
IN,18,Amboy,town,"=""01360""",24,0,24,"48,163",6,"4,491",13,"17,413",0,0,0,23,"89,216",0,456,21,0,8,11,13,0,13,9,0,7,0,0,0,0,0,0,0,0,0,0
IN,18,Americus,CDP,"=""01396""",35,1,35,"81,110",9,"6,822",20,"25,994",2,1,2,34,"140,389",1,945,31,0,13,18,15,2,18,13,0,6,4,6,8,4,3,3,2,2,2,0
IN,18,Amo,town,"=""01450""",48,0,48,"119,402",15,"14,074",20,"32,129",0,0,2,47,"219,713",0,"1,503",40,0,9,11,9,0,10,8,0,5,2,3,4,2,2,3,2,2,2,0
IN,18,Anderson,city,"=""01468""","6,448",53,"6,448","15,718,439","1,415","1,004,158","3,823","4,726,681",215,193,270,"6,337","26,230,859",109,"84,769","5,703",0,"3,109","3,832","2,502",92,"2,776","2,901",0,992,743,"1,239","1,498",850,605,542,427,275,241,0
IN,18,Andrews,town,"=""01612""",102,0,102,"246,521",35,"25,142",64,"89,860",0,0,0,99,"474,810",0,"4,346",93,0,34,46,49,0,44,52,0,15,0,14,23,11,0,11,0,0,11,0
IN,18,Angola,city,"=""01666""",703,9,703,"1,589,984",194,"145,524",394,"510,231",40,23,38,685,"2,896,832",18,"13,751",596,0,260,310,384,10,353,273,0,111,91,116,123,89,71,71,59,39,41,0
IN,18,Arcadia,town,"=""01954""",120,0,120,"282,058",34,"29,525",68,"93,595",0,0,0,114,"498,354",0,"3,268",103,0,41,68,50,0,55,54,0,33,0,17,30,15,12,11,0,0,0,0
IN,18,Argos,town,"=""02044""",155,0,155,"342,157",55,"47,039",87,"121,919",0,0,10,148,"662,810",0,"4,153",133,0,50,79,73,0,79,64,0,37,15,18,31,16,16,14,15,14,14,0
IN,18,Arlington,CDP,"=""02116""",26,0,26,"57,894",4,"6,365",16,"22,816",0,0,0,25,"106,138",0,359,21,0,10,11,15,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0
IN,18,Ashley,town,"=""02458""",98,0,98,"229,980",34,"27,270",60,"81,421",0,0,0,96,"460,462",0,"2,319",90,0,39,48,50,0,46,43,0,13,0,15,18,12,0,0,0,0,0,0
IN,18,Atlanta,town,"=""02602""",46,0,46,"113,918",11,"8,441",28,"39,130",0,0,0,44,"201,100",0,"3,089",39,0,18,19,27,0,24,19,0,13,0,8,10,0,0,0,0,0,0,0
IN,18,Attica,city,"=""02620""",233,0,233,"550,528",71,"51,063",133,"168,681",0,0,12,227,"995,117",0,"5,740",196,0,96,104,127,0,84,121,0,37,30,39,46,24,28,17,22,14,14,0
IN,18,Auburn,city,"=""02674""",988,0,988,"2,216,072",341,"271,500",565,"702,447",58,50,82,966,"4,284,875",22,"18,835",865,0,357,529,437,22,507,413,0,165,87,134,175,117,105,117,100,84,68,0
IN,18,Aurora,city,"=""02782""",339,0,339,"764,116",84,"64,561",184,"226,824",12,13,14,331,"1,346,714",8,"4,456",296,0,139,165,172,0,175,126,0,53,45,59,68,42,35,29,25,19,17,0
IN,18,Austin,city,"=""02800""",414,13,414,"972,092",114,"89,484",233,"285,760",0,0,0,404,"1,743,422",0,"5,309",370,0,223,178,234,0,211,168,0,67,56,68,87,41,45,38,28,22,26,0
IN,18,Avilla,town,"=""02872""",174,0,174,"378,035",63,"53,909",101,"137,435",0,0,19,168,"775,730",0,"5,779",149,0,56,99,75,0,94,69,0,37,20,21,23,19,16,19,19,17,19,0
IN,18,Avoca,CDP,"=""02890""",50,0,50,"116,190",14,"11,617",29,"36,530",1,1,1,49,"206,551",1,"1,151",44,0,20,23,26,1,25,21,0,10,5,8,10,6,5,5,4,3,4,0
IN,18,Avon,town,"=""02908""",651,8,651,"1,405,703",210,"173,098",367,"464,246",57,47,64,624,"2,578,197",26,"30,510",560,0,227,395,248,1,365,240,0,155,59,92,113,66,64,78,67,54,53,0
IN,18,Bainbridge,town,"=""03142""",52,0,52,"116,706",14,"10,749",27,"32,768",0,0,0,50,"207,252",0,879,45,0,20,23,29,0,26,21,0,12,0,9,10,7,0,0,0,0,0,0
IN,18,Bargersville,town,"=""03394""",211,0,211,"420,213",65,"54,701",118,"146,760",15,14,20,201,"830,471",0,"13,360",178,0,83,129,78,0,108,83,0,48,19,30,41,24,18,15,24,18,21,0
IN,18,Bass Lake,CDP,"=""03610""",132,0,132,"310,757",40,"32,004",78,"102,598",4,4,7,128,"548,976",4,"3,560",116,0,53,67,63,0,67,53,0,27,14,20,26,17,11,12,10,9,12,0
IN,18,Batesville,city,"=""03664""",381,0,381,"850,088",114,"86,402",216,"300,763",25,14,38,370,"1,607,377",0,"7,635",315,0,131,156,210,16,178,170,0,80,46,50,66,48,40,37,32,34,25,0
