"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
KS,20,Abilene,city,"=""00125""",561,0,561,"1,199,823",184,"147,291",325,"452,570",34,26,38,542,"2,256,734",19,"19,220",476,0,232,253,294,14,257,261,0,130,54,85,94,65,43,61,45,50,61,0
KS,20,Ada,CDP,"=""00225""",7,0,7,"14,975",2,"1,710",4,"5,857",0,0,1,7,"28,754",0,134,6,0,2,3,4,0,3,3,0,2,0,1,1,1,0,0,0,0,1,0
KS,20,Agra,city,"=""00550""",16,0,16,"25,283",6,"5,363",6,"9,051",0,0,0,15,"54,263",0,123,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Allen,city,"=""01275""",12,0,12,"27,597",3,"3,905",3,"6,740",0,0,0,10,"42,743",0,"3,137",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Alma,city,"=""01350""",37,0,37,"82,223",11,"8,483",21,"30,899",0,0,0,35,"155,959",0,"1,737",32,0,10,17,19,0,20,15,0,10,0,0,0,0,0,0,0,0,0,0
KS,20,Almena,city,"=""01425""",35,0,35,"81,681",7,"13,728",23,"24,943",0,0,0,32,"156,007",0,"5,438",26,0,0,0,29,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Altamont,city,"=""01550""",79,0,79,"197,103",26,"22,631",47,"60,734",0,0,0,77,"354,864",0,805,69,0,29,33,44,0,44,33,0,26,0,0,0,0,0,0,0,0,0,0
KS,20,Alta Vista,city,"=""01575""",37,0,37,"75,855",13,"10,917",21,"30,948",0,0,0,37,"156,461",0,0,34,0,19,14,21,0,18,15,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Alton,city,"=""01600""",9,0,9,"11,874",3,"1,798",3,"4,145",0,0,0,4,"21,434",0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Altoona,city,"=""01625""",38,0,38,"84,043",5,"9,369",21,"29,995",0,0,0,37,"147,922",0,797,31,0,18,17,21,0,13,20,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Americus,city,"=""01675""",65,0,65,"133,921",21,"18,884",34,"48,980",0,0,0,62,"264,736",0,"1,238",55,0,19,27,35,0,31,28,0,14,0,0,0,0,0,0,0,0,0,0
KS,20,Andale,city,"=""01775""",26,0,26,"56,971",5,"10,302",15,"24,420",0,0,0,26,"113,379",0,142,20,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Andover,city,"=""01800""",515,0,515,"1,166,290",167,"135,040",310,"398,806",47,45,53,494,"2,093,034",21,"27,573",450,0,168,306,197,0,265,214,0,113,39,78,73,60,61,60,57,42,39,0
KS,20,Anthony,city,"=""01975""",188,0,188,"432,033",58,"48,202",112,"152,666",0,0,0,182,"814,952",0,"3,380",172,0,110,43,144,0,75,94,0,47,0,31,33,23,18,24,0,0,0,0
KS,20,Arcadia,city,"=""02175""",29,0,29,"74,116",5,"3,025",16,"20,977",0,0,0,29,"118,593",0,238,25,0,13,12,16,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0
