"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
LA,22,Abbeville,city,"=""00100""","1,480",34,"1,480","4,263,680",325,"226,173",976,"1,270,617",39,22,38,"1,428","6,477,596",48,"40,645","1,277",0,772,622,777,72,958,454,0,376,112,271,326,261,155,89,78,67,46,0
LA,22,Abita Springs,town,"=""00240""",209,0,209,"550,823",51,"38,424",125,"158,120",15,11,14,201,"840,270",8,"12,441",185,0,86,103,101,0,123,74,0,65,14,34,48,32,20,20,18,14,8,0
LA,22,Addis,town,"=""00415""",481,0,481,"1,289,966",155,"121,907",317,"392,542",61,39,31,474,"2,262,067",0,"9,372",446,0,266,244,228,0,271,197,0,100,21,48,88,75,73,56,53,32,34,0
LA,22,Albany,village,"=""00835""",148,0,148,"391,149",35,"26,544",91,"117,864",10,0,8,145,"629,829",0,"3,155",133,0,69,56,90,0,96,45,0,43,6,25,35,23,15,12,13,9,9,0
LA,22,Alexandria,city,"=""00975""","7,138",137,"7,138","19,903,320","1,641","1,111,507","4,681","5,560,519",333,245,178,"7,040","31,367,029",86,"64,811","6,543",79,"4,160","3,438","3,487",189,"3,627","3,066",0,937,581,"1,194","1,599","1,164",859,636,425,274,158,0
LA,22,Ama,CDP,"=""01780""",142,0,142,"351,745",43,"28,809",88,"102,945",0,0,0,136,"617,157",0,"4,391",129,0,67,63,77,0,84,49,0,36,0,23,24,20,0,0,0,0,0,0
LA,22,Amelia,CDP,"=""01815""",318,4,318,"849,120",72,"55,982",185,"237,556",6,6,5,310,"1,378,701",4,"7,993",276,0,157,124,190,2,177,124,0,74,13,56,80,27,18,16,13,10,8,0
LA,22,Amite City,town,"=""01885""",423,9,423,"1,358,319",77,"53,943",275,"356,271",18,17,14,415,"2,016,449",7,"6,618",387,0,264,145,274,0,283,123,0,115,19,62,120,90,45,34,25,17,12,0
LA,22,Anacoco,village,"=""01920""",66,0,66,"168,701",19,"14,604",43,"55,488",0,0,0,64,"291,314",0,"4,147",59,0,30,30,34,0,29,32,0,13,6,10,11,12,6,6,0,6,6,0
LA,22,Angie,village,"=""02165""",30,0,30,"90,830",7,"4,761",21,"25,609",1,1,0,30,"138,008",0,541,28,0,17,13,17,0,18,11,0,10,2,5,7,5,4,3,2,1,1,0
LA,22,Arabi,CDP,"=""02550""",506,0,506,"1,339,992",109,"77,706",315,"394,333",39,24,22,488,"2,073,074",0,"14,989",446,0,249,213,278,0,282,192,0,167,43,85,119,87,58,40,33,25,0,0
LA,22,Arcadia,town,"=""02655""",407,0,407,"1,183,196",93,"52,972",272,"307,781",26,23,0,405,"1,910,083",0,"4,519",375,0,288,108,297,0,163,223,0,64,32,67,76,94,61,33,20,15,0,0
LA,22,Arnaudville,town,"=""03110""",103,0,103,"272,375",26,"19,826",62,"81,848",5,4,0,100,"448,125",3,"2,912",87,0,52,47,55,0,58,39,0,29,8,15,26,13,12,10,8,7,4,0
LA,22,Ashland,village,"=""03145""",24,0,24,"56,777",7,"4,622",11,"17,198",0,0,0,12,"99,214",0,280,3,0,2,1,2,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
LA,22,Athens,village,"=""03320""",25,0,25,"70,826",6,"5,414",17,"18,266",0,0,0,25,"113,980",0,0,22,0,15,9,16,0,12,12,0,7,0,0,7,0,0,0,0,0,0,0
LA,22,Atlanta,village,"=""03390""",15,0,15,"41,165",2,"2,228",10,"12,077",0,0,0,15,"66,861",0,49,13,0,9,6,8,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
LA,22,Avondale,CDP,"=""03810""",704,15,704,"2,043,031",158,"109,673",465,"579,444",46,42,21,689,"3,270,646",14,"11,314",650,23,386,284,410,10,391,278,0,190,39,103,170,132,84,64,55,33,21,0
LA,22,Baker,city,"=""03985""","2,021",23,"2,021","5,916,630",471,"327,489","1,300","1,651,438",171,147,73,"1,992","9,468,388",28,"24,510","1,892",18,"1,182",997,973,47,"1,213",731,0,542,86,261,456,348,248,230,167,103,48,0
LA,22,Baldwin,town,"=""04020""",321,1,321,"1,046,386",53,"33,058",182,"235,716",2,2,1,318,"1,584,429",1,"1,084",302,0,231,196,119,1,167,144,0,80,2,34,95,78,46,25,18,1,1,0
LA,22,Ball,town,"=""04055""",392,0,392,"1,012,314",116,"92,803",248,"310,837",25,0,18,381,"1,724,129",0,"9,120",358,0,206,208,180,0,195,177,0,78,28,59,82,57,39,35,37,23,31,0
LA,22,Banks Springs,CDP,"=""04230""",123,0,123,"321,057",26,"20,115",76,"89,653",0,0,0,120,"507,234",0,"1,793",109,0,79,42,80,0,59,53,0,30,11,25,29,21,9,9,7,5,6,0
LA,22,Barataria,CDP,"=""04300""",97,0,97,"224,151",9,"14,633",51,"60,603",0,0,0,84,"355,148",0,"15,385",72,0,42,23,74,0,76,0,0,57,0,0,0,0,0,0,0,0,0,0
LA,22,Basile,town,"=""04580""",153,0,153,"397,379",44,"32,022",91,"123,468",0,0,0,151,"671,550",0,"1,439",132,0,83,53,100,0,81,62,0,26,11,24,28,25,23,13,0,12,0,0
