"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MA,25,Abington,CDP,"=""00135""",727,0,727,"1,241,057",183,"144,082",309,"361,769",39,54,56,676,"2,369,715",52,"61,219",533,0,200,386,336,0,378,260,0,166,109,115,142,80,47,66,65,63,38,0
MA,25,Acushnet Center,CDP,"=""00530""",153,0,153,"276,875",45,"36,323",68,"74,041",11,10,10,144,"541,268",9,"7,067",114,0,44,70,79,0,82,55,0,35,13,29,29,17,19,14,12,11,9,0
MA,25,Adams,CDP,"=""00590""",471,0,471,"933,705",115,"87,397",221,"257,684",30,23,31,460,"1,754,809",0,"7,965",389,0,192,259,193,19,172,248,0,61,64,81,103,50,36,52,38,27,18,0
MA,25,Agawam Town,city,"=""00840""","1,581",0,"1,581","3,012,486",441,"355,478",750,"906,242",105,117,97,"1,489","5,438,684",92,"102,664","1,200",0,405,764,788,21,848,574,0,379,176,269,282,170,151,152,130,128,118,0
MA,25,Amesbury Town,city,"=""01260""",841,0,841,"1,442,437",194,"156,205",359,"412,182",46,37,58,786,"2,679,214",54,"49,481",632,0,266,446,373,22,368,346,0,158,127,181,176,72,63,71,61,47,40,0
MA,25,Amherst Center,CDP,"=""01360""",361,10,361,"637,746",62,"45,694",145,"174,855",16,26,29,336,"1,106,496",18,"21,443",269,0,86,185,111,25,196,119,0,66,50,72,71,36,22,21,20,20,9,0
MA,25,Andover,CDP,"=""01430""",180,0,180,"300,883",40,"31,975",71,"82,361",11,15,17,164,"562,952",15,"15,424",133,0,44,87,90,0,95,63,0,46,28,30,35,18,12,19,16,13,8,0
MA,25,Arlington,CDP,"=""01640""","1,044",0,"1,044","1,505,683",204,"151,644",350,"409,030",37,40,102,955,"2,673,076",87,"71,376",699,0,158,510,470,64,584,321,0,318,186,232,217,70,48,65,49,78,30,0
MA,25,Athol,CDP,"=""02515""",668,0,668,"1,393,264",188,"144,640",346,"419,708",33,27,45,636,"2,602,541",32,"26,654",544,0,265,394,265,0,271,325,0,108,77,124,112,87,72,58,58,39,38,0
MA,25,Attleboro,city,"=""02690""","2,724",25,"2,724","5,478,441",717,"556,293","1,360","1,593,221",188,157,185,"2,613","10,272,832",111,"128,433","2,200",0,838,"1,220","1,443",61,"1,279","1,161",0,513,326,440,530,288,299,286,228,175,146,0
