"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MD,24,Aberdeen,city,"=""00125""","1,508",25,"1,508","3,705,450",378,"293,563",939,"1,166,922",105,79,48,"1,478","6,285,759",30,"36,599","1,329",0,677,868,585,55,788,606,0,310,144,248,326,197,153,156,121,88,69,0
MD,24,Aberdeen Proving Ground,CDP,"=""00175""",138,0,138,"345,630",79,"58,018",113,"205,654",0,0,0,138,"886,218",0,0,136,0,48,95,36,0,51,86,0,0,0,0,0,0,0,0,27,34,23,0
MD,24,Accident,town,"=""00225""",26,0,26,"60,681",7,"4,964",14,"20,848",0,0,0,25,"102,749",0,801,22,0,8,13,12,0,11,12,0,7,0,5,6,0,0,0,0,0,0,0
MD,24,Accokeek,CDP,"=""00250""",580,0,580,"1,223,159",137,"113,813",309,"366,636",54,32,46,551,"2,080,900",29,"20,785",470,0,233,318,256,0,335,186,0,171,68,96,141,59,42,50,56,37,30,0
MD,24,Adamstown,CDP,"=""00350""",41,0,41,"65,163",4,"5,125",17,"23,832",0,0,0,35,"122,358",0,"3,800",26,0,10,22,18,0,26,13,0,14,0,9,0,0,0,0,0,0,0,0
MD,24,Adelphi,CDP,"=""00400""","1,764",75,"1,764","4,438,157",500,"349,105","1,120","1,459,106",102,97,48,"1,632","7,083,647",132,"107,940","1,273",0,406,478,"1,270",16,"1,208",472,0,680,114,268,393,260,183,176,168,122,78,0
MD,24,Algonquin,CDP,"=""00712""",175,3,175,"431,905",42,"28,821",109,"129,052",10,5,3,171,"700,146",4,"3,038",147,0,82,95,66,14,83,77,0,27,20,33,38,26,19,16,11,7,5,0
MD,24,Allen,CDP,"=""00800""",16,0,16,"39,084",4,"2,903",10,"11,989",0,0,0,15,"66,015",0,505,14,0,6,9,6,0,8,7,0,3,0,3,3,2,2,2,0,0,0,0
MD,24,Andrews AFB,CDP,"=""01450""",282,0,282,"717,302",152,"117,790",241,"369,224",38,25,48,282,"1,895,853",0,0,280,0,71,221,55,0,81,195,0,37,0,0,0,0,23,49,66,65,40,0
MD,24,Annapolis,city,"=""01600""","2,138",41,"2,138","4,914,828",548,"375,182","1,239","1,554,955",159,78,87,"2,055","8,145,666",82,"67,129","1,766",0,743,"1,113",927,60,"1,271",671,0,496,222,393,450,266,211,201,179,103,64,0
MD,24,Annapolis Neck,CDP,"=""01635""",559,10,559,"1,267,259",144,"95,473",321,"397,164",41,21,23,537,"2,077,391",21,"17,161",461,0,192,294,250,14,331,178,0,134,64,101,118,72,56,56,44,29,16,0
MD,24,Antietam,CDP,"=""01750""",6,0,6,"12,645",2,"1,469",3,"3,859",0,0,0,6,"23,936",0,415,5,0,2,4,3,0,3,2,0,1,1,1,1,1,1,0,1,0,0,0
MD,24,Aquasco,CDP,"=""01925""",51,0,51,"111,587",11,"9,139",28,"31,133",1,1,1,48,"198,303",0,"1,376",41,0,4,5,34,0,30,3,0,3,1,2,2,1,1,1,1,1,1,0
MD,24,Arbutus,CDP,"=""01975""","2,194",75,"2,194","5,448,687",583,"423,168","1,372","1,772,241",193,96,78,"2,129","9,057,616",65,"59,849","1,855",0,998,"1,028","1,107",53,"1,223",819,0,500,177,366,466,280,237,230,195,143,93,0
MD,24,Arden on the Severn,CDP,"=""02025""",59,0,59,"93,976",17,"13,950",26,"28,761",0,0,0,54,"177,211",0,"2,824",43,0,15,36,22,0,32,19,0,17,7,11,13,7,0,0,0,6,0,0
MD,24,Arnold,CDP,"=""02275""",726,0,726,"1,361,061",206,"157,061",347,"426,674",60,49,62,690,"2,366,655",36,"43,240",581,0,185,425,288,0,392,257,0,208,98,104,144,79,57,63,78,61,38,0
MD,24,Ashton-Sandy Spring,CDP,"=""02762""",169,0,169,"339,140",30,"29,041",78,"97,064",3,4,4,148,"568,657",7,"20,760",113,0,29,52,96,0,113,33,0,69,7,11,13,6,6,4,5,4,3,0
MD,24,Aspen Hill,CDP,"=""02825""","3,669",106,"3,669","8,403,020",931,"673,173","2,022","2,673,963",184,237,135,"3,318","13,294,350",334,"303,850","2,468",0,658,"1,098","2,459",87,"2,523",908,0,"1,470",313,586,778,447,384,342,336,243,204,0
MD,24,Baden,CDP,"=""03500""",107,0,107,"240,360",25,"18,731",62,"82,271",13,9,6,104,"434,008",3,"2,415",90,0,45,56,50,0,66,32,0,31,11,17,22,13,10,10,10,7,5,0
