"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ME,23,Anson,CDP,"=""01360""",81,0,81,"169,389",21,"16,504",39,"51,794",0,0,0,76,"275,743",0,"3,933",67,0,24,42,37,0,41,33,0,25,11,15,15,10,0,0,9,8,0,0
ME,23,Ashland,CDP,"=""01675""",64,0,64,"135,262",20,"14,573",35,"41,878",0,0,0,61,"256,929",0,"4,218",51,0,16,35,26,0,26,32,0,15,0,0,10,12,0,0,0,0,0,0
ME,23,Auburn,city,"=""02060""","2,066",25,"2,066","4,646,946",563,"410,362","1,163","1,426,128",145,83,136,"1,998","7,857,081",51,"57,147","1,804",0,849,"1,109",773,139,958,874,0,320,221,331,397,238,243,180,180,107,94,0
ME,23,Augusta,city,"=""02100""","1,665",0,"1,665","3,500,834",421,"303,728",862,"1,030,139",124,62,97,"1,592","5,963,226",70,"55,475","1,402",0,595,"1,051",543,56,671,800,0,299,197,306,300,196,172,157,141,79,70,0
ME,23,Bangor,city,"=""02795""","2,674",29,"2,674","5,146,160",592,"429,679","1,298","1,487,334",159,140,213,"2,575","8,987,646",94,"82,506","2,222",0,923,"1,547",884,226,"1,174","1,192",0,395,366,524,548,289,229,215,189,120,114,0
ME,23,Bar Harbor,CDP,"=""02830""",156,0,156,"226,804",34,"28,731",52,"61,527",10,10,10,146,"405,208",0,"9,316",107,0,44,76,53,0,58,37,0,32,13,31,40,11,0,0,0,0,0,0
ME,23,Bath,city,"=""03355""",705,0,705,"1,471,628",176,"136,977",368,"435,986",42,38,46,665,"2,466,720",40,"36,574",584,0,255,444,191,71,312,315,0,143,83,130,149,80,79,53,51,37,39,0
ME,23,Belfast,city,"=""03950""",620,0,620,"1,336,747",133,"95,964",328,"387,482",26,22,34,585,"2,173,576",34,"30,396",516,0,236,348,251,21,271,271,0,173,73,123,134,75,63,49,46,29,27,0
ME,23,Berwick,CDP,"=""04685""",161,0,161,"327,529",49,"41,647",88,"105,500",11,0,14,152,"595,944",9,"11,593",138,0,60,100,57,0,80,64,0,37,15,31,33,16,13,14,14,10,15,0
ME,23,Biddeford,city,"=""04860""","1,767",31,"1,767","3,739,027",469,"332,954",933,"1,062,425",117,73,128,"1,708","6,363,624",60,"45,010","1,480",0,692,"1,086",585,97,716,839,0,299,206,315,397,208,194,165,122,88,68,0
