"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MI,26,Addison,village,"=""00380""",44,0,44,"98,848",12,"9,206",25,"32,295",0,0,0,42,"174,118",0,875,36,0,11,19,23,0,24,17,0,14,0,7,9,6,0,6,0,0,0,0
MI,26,Adrian,city,"=""00440""","1,969",24,"1,969","4,706,177",498,"367,404","1,162","1,540,342",81,85,124,"1,911","8,132,440",58,"34,050","1,724",21,630,777,993,200,"1,075",766,0,328,219,308,425,257,212,180,150,115,96,0
MI,26,Advance,CDP,"=""00480""",27,0,27,"57,529",8,"5,702",15,"19,003",2,1,2,25,"105,302",1,"1,236",23,0,11,12,14,0,12,12,0,6,3,4,5,3,3,3,2,2,2,0
MI,26,Ahmeek,village,"=""00620""",14,0,14,"27,311",3,"2,204",7,"9,812",0,1,1,13,"48,918",1,474,11,0,4,9,5,0,6,6,0,3,2,2,3,1,1,1,1,1,1,0
MI,26,Akron,village,"=""00700""",35,0,35,"79,342",11,"9,101",21,"29,561",0,0,0,33,"149,782",0,"1,429",28,0,12,18,17,0,16,15,0,8,0,7,6,0,0,0,0,0,0,0
MI,26,Alanson,village,"=""00860""",73,0,73,"164,179",20,"16,158",40,"52,406",0,0,4,70,"284,070",0,"3,026",64,0,26,36,34,0,34,31,0,17,6,10,16,10,10,5,7,5,5,0
MI,26,Alba,CDP,"=""00900""",63,0,63,"151,354",15,"12,674",35,"50,745",0,0,0,61,"254,377",0,"2,015",58,0,12,13,12,0,11,11,0,6,1,2,5,2,1,2,1,1,1,0
MI,26,Albion,city,"=""00980""",827,17,827,"2,188,874",184,"131,963",518,"684,284",16,33,26,808,"3,531,218",20,"15,754",751,0,418,463,349,15,381,371,0,161,81,170,187,126,70,65,55,34,31,0
MI,26,Alden,CDP,"=""01060""",12,0,12,"28,011",3,"2,318",6,"8,221",0,0,0,11,"44,664",0,"1,508",9,0,3,6,6,0,7,4,0,4,0,0,3,0,0,0,0,0,0,0
MI,26,Algonac,city,"=""01180""",288,0,288,"603,091",67,"54,026",142,"173,161",9,9,14,268,"1,015,282",20,"14,181",227,0,84,127,159,0,165,95,0,86,35,58,61,29,29,27,20,12,18,0
