"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MO,29,Adrian,city,"=""00244""",157,0,157,"395,271",47,"33,665",96,"132,984",0,0,0,146,"661,409",12,"14,559",128,0,54,57,100,0,90,58,0,49,17,22,22,22,19,21,0,0,12,0
MO,29,Advance,city,"=""00262""",144,0,144,"301,795",35,"29,234",79,"96,171",0,0,0,137,"561,635",0,"9,902",114,0,49,65,76,0,71,60,0,31,16,28,27,15,13,11,11,0,14,0
MO,29,Affton,CDP,"=""00280""","1,447",16,"1,447","2,957,653",413,"323,514",725,"894,051",70,91,110,"1,335","4,950,533",112,"139,332","1,052",0,372,699,722,26,806,531,0,408,133,239,286,170,144,138,135,103,94,0
MO,29,Agency,village,"=""00298""",30,0,30,"60,489",12,"8,388",17,"21,254",0,0,0,28,"123,331",0,"1,275",23,0,8,14,16,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0
MO,29,Airport Drive,village,"=""00424""",67,1,67,"153,695",17,"12,391",39,"50,052",2,2,3,65,"266,472",2,"1,081",57,0,27,32,29,6,35,26,0,9,7,11,14,9,6,6,5,3,4,0
MO,29,Alba,city,"=""00496""",115,0,115,"284,726",40,"32,589",74,"105,944",0,0,0,112,"540,304",0,"1,859",104,0,44,68,45,0,48,60,0,13,2,6,7,7,5,3,3,0,5,0
MO,29,Albany,city,"=""00514""",177,0,177,"350,447",51,"37,908",83,"130,167",0,0,0,163,"625,941",0,"13,362",138,0,59,66,92,19,88,79,0,43,31,24,28,16,18,0,15,15,0,0
MO,29,Aldrich,village,"=""00568""",8,0,8,"21,616",1,"1,038",5,"7,411",0,0,0,8,"33,977",0,260,6,0,0,4,5,0,5,3,0,3,0,0,3,0,0,0,0,0,0,0
MO,29,Alexandria,city,"=""00604""",17,0,17,"35,797",3,"3,225",9,"11,635",0,0,0,15,"67,417",0,373,12,0,0,0,13,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0
MO,29,Allendale,village,"=""00712""",5,0,5,"12,530",1,"1,077",3,"3,841",0,0,0,5,"21,414",0,290,4,0,1,2,3,0,3,2,0,2,0,1,0,0,0,0,0,0,0,0
