"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MT,30,Absarokee,CDP,"=""00175""",49,0,49,"106,986",18,"12,680",28,"31,820",0,0,0,46,"168,110",0,"2,596",35,0,0,19,29,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Alberton,town,"=""00700""",37,0,37,"79,053",9,"8,444",19,"23,426",0,0,0,35,"120,120",0,"1,574",31,0,10,21,15,0,22,12,0,12,0,0,8,0,0,0,0,0,0,0
MT,30,Alder,CDP,"=""00850""",31,0,31,"55,596",10,"10,563",12,"22,258",0,0,0,15,"102,357",0,"7,245",5,0,1,3,4,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0
MT,30,Amsterdam,CDP,"=""01525""",9,0,9,"20,265",3,"2,539",5,"8,339",0,0,1,8,"34,038",0,577,7,0,2,4,5,0,5,3,0,4,1,1,1,0,1,0,1,0,1,0
MT,30,Anaconda-Deer Lodge County,city and county,"=""01675""",716,0,716,"1,441,350",164,"112,834",343,"446,286",21,0,33,687,"2,406,144",27,"17,270",548,0,235,292,338,81,382,259,0,102,135,111,132,95,69,64,47,34,24,0
MT,30,Arlee,CDP,"=""02425""",68,0,68,"162,606",18,"13,247",42,"57,485",0,0,0,65,"282,698",0,"2,297",61,0,31,26,40,0,32,31,0,15,7,11,14,9,6,8,0,0,0,0
MT,30,Ashland,CDP,"=""02800""",239,0,239,"589,461",76,"57,599",162,"220,186",0,0,0,238,"1,092,293",0,392,211,0,93,61,79,99,167,64,0,12,18,42,37,10,8,10,8,9,5,0
MT,30,Augusta,CDP,"=""03025""",24,0,24,"45,311",4,"3,882",4,"14,226",0,0,0,23,"71,414",0,"3,310",17,0,0,11,13,0,14,0,0,10,0,0,0,0,0,0,0,0,0,0
MT,30,Azure,CDP,"=""03212""",51,3,51,"133,210",15,"13,123",37,"46,220",2,0,0,51,"235,268",0,96,44,0,31,24,25,0,21,27,0,5,7,10,8,5,5,5,3,3,4,0
MT,30,Babb,CDP,"=""03250""",16,0,16,"40,063",3,"3,489",10,"11,811",0,0,0,16,"66,544",0,54,14,0,9,7,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Baker,city,"=""03475""",97,0,97,"209,694",27,"25,964",55,"71,827",0,0,0,93,"386,374",0,"4,607",72,0,26,43,54,0,57,38,0,26,0,17,19,0,0,0,0,0,0,0
MT,30,Ballantine,CDP,"=""03625""",26,0,26,"70,087",3,"4,629",17,"28,530",0,0,0,24,"119,186",0,934,21,0,8,13,12,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Basin,CDP,"=""04150""",7,0,7,"15,019",2,"1,580",4,"5,279",0,0,0,7,"27,394",0,356,5,0,2,4,3,0,4,3,0,2,0,1,0,0,0,0,0,0,0,0
MT,30,Bear Dance,CDP,"=""04410""",16,0,16,"30,828",4,"2,973",8,"9,887",0,0,1,14,"49,101",2,"1,394",12,0,4,9,7,0,10,4,0,7,2,3,4,2,1,1,1,1,1,0
MT,30,Beaver Creek,CDP,"=""04575""",22,0,22,"49,729",6,"4,267",12,"15,716",1,1,1,21,"85,031",1,635,18,0,10,9,12,1,9,11,0,4,3,4,4,3,2,2,2,1,1,0
MT,30,Belfry,CDP,"=""04900""",12,0,12,"22,949",4,"2,764",4,"5,741",0,0,0,10,"38,287",0,"1,373",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Belgrade,city,"=""04975""",620,0,620,"1,331,438",215,"171,603",368,"506,481",45,28,67,592,"2,345,156",28,"33,692",529,0,221,346,240,34,323,247,0,160,61,81,119,57,61,64,58,47,67,0
MT,30,Belknap,CDP,"=""05050""",12,0,12,"24,572",3,"1,987",6,"7,610",0,0,0,11,"38,325",0,491,10,0,4,6,6,0,6,4,0,4,1,3,3,2,0,0,0,0,0,0
MT,30,Belt,town,"=""05275""",28,0,28,"63,878",4,"6,306",14,"18,849",0,0,0,25,"104,291",0,"3,824",21,0,10,10,13,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0
MT,30,Big Arm,CDP,"=""05800""",10,0,10,"22,509",3,"2,128",3,"6,198",0,0,0,10,"33,268",0,188,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Bigfork,CDP,"=""05875""",278,0,278,"536,939",66,"51,924",132,"172,616",0,0,17,248,"855,324",30,"24,139",209,0,78,151,117,0,179,72,0,116,36,51,66,33,18,16,21,16,19,0
MT,30,Big Sandy,town,"=""06250""",30,0,30,"79,445",11,"8,259",19,"28,002",0,0,0,28,"123,641",0,"2,374",24,0,0,13,17,0,18,11,0,11,0,0,0,0,0,0,0,0,0,0
MT,30,Big Sky,CDP,"=""06325""",173,0,173,"193,536",20,"29,433",35,"44,061",0,0,0,160,"377,866",0,"8,722",132,0,43,93,76,0,99,42,0,53,0,31,56,0,0,0,0,0,0,0
MT,30,Big Timber,city,"=""06475""",112,0,112,"242,080",31,"23,422",60,"80,888",0,0,14,103,"394,383",0,"9,862",79,0,29,52,58,0,70,36,0,46,12,18,21,0,0,13,12,0,0,0
MT,30,Billings,city,"=""06550""","7,964",80,"7,964","16,785,521","2,229","1,731,175","4,327","5,451,898",547,298,582,"7,700","29,266,127",248,"276,788","6,724",0,"3,169","3,615","3,701",579,"4,195","2,927",0,"1,198",852,"1,383","1,522",891,790,761,633,455,420,18
MT,30,Black Eagle,CDP,"=""07150""",128,0,128,"279,393",37,"22,964",71,"88,749",0,0,0,124,"491,927",0,"1,837",107,0,49,65,48,0,61,57,0,0,0,22,29,0,0,0,0,0,0,0
MT,30,Boneau,CDP,"=""08162""",10,0,10,"26,482",4,"2,753",6,"9,334",0,0,0,9,"41,214",0,791,8,0,0,4,6,0,6,4,0,4,0,0,0,0,0,0,0,0,0,0
MT,30,Bonner-West Riverside,CDP,"=""08462""",182,0,182,"301,748",33,"26,139",78,"90,216",7,8,15,174,"509,898",7,"8,406",150,0,45,107,49,8,61,53,0,26,18,33,37,12,9,9,8,5,4,0
MT,30,Boulder,city,"=""08575""",90,0,90,"208,571",27,"21,842",52,"76,741",0,0,0,88,"371,479",0,269,75,0,41,49,39,0,43,35,0,19,0,0,0,0,0,0,0,0,0,0
MT,30,Box Elder,CDP,"=""08725""",20,1,20,"50,933",6,"5,017",14,"17,672",1,0,0,19,"89,956",0,37,17,0,12,9,10,0,8,11,0,2,3,4,3,2,2,2,1,1,1,0
MT,30,Boyd,CDP,"=""08800""",1,0,1,"3,116",1,258,1,"1,008",0,0,0,1,"4,605",0,217,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
MT,30,Bozeman,city,"=""08950""","2,305",0,"2,305","3,557,750",430,"339,839",888,"1,128,732",112,147,260,"2,135","6,004,918",148,"159,446","1,769",0,604,"1,369",745,158,"1,247",736,0,699,339,512,560,166,160,141,134,113,108,0
MT,30,Brady,CDP,"=""09250""",12,0,12,"19,637",2,"1,488",4,"6,324",0,0,0,12,"31,320",0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Bridger,town,"=""09475""",39,0,39,"79,014",12,"9,382",19,"25,092",0,0,0,34,"121,751",0,"3,542",28,0,11,15,23,0,24,11,0,14,0,0,0,0,0,0,0,0,0,0
MT,30,Broadus,town,"=""09700""",31,0,31,"61,755",5,"6,899",14,"17,379",0,0,0,27,"88,946",0,"4,812",23,0,0,0,20,0,19,0,0,13,0,0,0,0,0,0,0,0,0,0
MT,30,Broadview,town,"=""09775""",12,0,12,"19,624",1,648,3,"12,826",0,0,0,11,"35,369",0,"1,188",9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Brockton,town,"=""10000""",24,0,24,"59,740",6,"5,241",16,"18,173",0,0,0,24,"98,610",0,379,21,0,13,9,15,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Browning,town,"=""10375""",214,5,214,"592,869",63,"48,277",157,"191,267",5,0,5,212,"961,041",0,"2,691",195,0,147,71,128,15,77,127,0,33,26,37,34,29,26,22,21,13,7,0
