"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NE,31,Abie,village,"=""00205""",4,0,4,"6,618",1,564,2,"2,585",0,0,0,2,"12,739",0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,Adams,village,"=""00240""",23,0,23,"43,365",11,"8,991",13,"17,358",0,0,0,22,"89,204",0,"5,891",18,0,0,7,15,0,14,8,0,8,0,0,0,0,0,0,0,0,0,0
NE,31,Ainsworth,city,"=""00415""",128,0,128,"288,082",37,"29,856",69,"93,905",0,0,0,121,"491,489",0,"8,680",108,0,37,51,77,0,82,36,0,49,0,17,23,17,0,0,0,0,0,0
NE,31,Albion,city,"=""00555""",87,0,87,"180,967",27,"24,670",46,"68,031",0,0,0,78,"329,985",0,"11,909",70,0,20,28,58,0,59,25,0,39,0,0,16,0,0,0,0,0,0,0
NE,31,Alda,village,"=""00625""",79,0,79,"176,843",30,"25,023",48,"72,565",0,0,0,76,"364,206",0,"4,977",70,0,34,36,43,0,36,36,0,0,0,0,13,0,0,0,0,0,0,0
NE,31,Alexandria,village,"=""00730""",14,0,14,"35,342",4,"2,381",5,"11,018",0,0,0,13,"54,771",0,"2,119",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,Allen,village,"=""00870""",29,0,29,"66,558",5,"6,666",17,"25,401",0,0,0,27,"135,257",0,"2,442",22,0,0,0,21,0,17,11,0,12,0,0,0,0,0,0,0,0,0,0
NE,31,Alliance,city,"=""00905""",612,0,612,"1,472,806",172,"129,858",369,"529,644",45,0,38,586,"2,532,716",27,"23,751",540,0,276,196,403,0,272,294,0,124,69,107,97,70,72,63,57,33,39,0
NE,31,Alma,city,"=""00975""",78,0,78,"174,241",18,"13,450",44,"56,013",0,0,0,72,"275,893",0,"7,074",61,0,26,26,52,0,47,24,0,31,0,20,0,0,0,0,0,0,0,0
NE,31,Ames,CDP,"=""01220""",1,0,1,"3,457",1,263,1,"1,228",0,0,0,1,"6,053",0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,Amherst,village,"=""01290""",10,0,10,"23,661",2,"1,187",3,"7,504",0,0,0,9,"34,934",0,227,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,Anoka,village,"=""01465""",1,0,1,"1,177",1,78,1,470,0,0,0,1,"1,952",0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,Anselmo,village,"=""01500""",11,0,11,"29,176",3,"2,380",8,"14,012",0,0,0,10,"52,054",0,500,8,0,0,0,8,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0
NE,31,Ansley,village,"=""01535""",32,0,32,"75,334",5,"4,240",19,"24,627",0,0,0,29,"120,314",0,"1,975",26,0,0,0,22,0,20,11,0,14,0,0,0,0,0,0,0,0,0,0
NE,31,Arapahoe,city,"=""01780""",70,0,70,"168,846",19,"13,473",40,"63,773",0,0,0,64,"298,477",0,"6,525",59,0,19,30,39,0,38,29,0,18,0,0,0,0,0,0,0,0,0,0
NE,31,Arcadia,village,"=""01850""",29,0,29,"65,982",6,"7,010",18,"36,675",0,0,0,26,"124,257",0,"3,930",23,0,0,0,23,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0
NE,31,Arlington,village,"=""01990""",54,0,54,"110,941",19,"18,069",32,"41,996",0,0,0,51,"221,316",0,"1,901",47,0,19,25,28,0,26,24,0,14,0,0,0,0,0,0,0,0,0,0
NE,31,Arnold,village,"=""02095""",40,0,40,"76,681",6,"12,297",21,"23,567",0,0,0,36,"120,318",0,"7,246",28,0,0,0,29,0,29,0,0,25,0,0,0,0,0,0,0,0,0,0
NE,31,Arthur,village,"=""02200""",8,0,8,"13,244",2,"1,693",3,"4,677",0,0,0,3,"20,484",0,"4,276",0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0
NE,31,Ashland,city,"=""02305""",143,0,143,"324,867",35,"24,571",80,"126,538",12,0,15,136,"595,962",0,"9,878",123,0,40,83,58,0,78,55,0,41,15,20,28,20,13,12,14,0,12,0
NE,31,Ashton,village,"=""02375""",11,0,11,"29,201",3,"1,903",4,"10,466",0,0,0,11,"49,440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,Aten,CDP,"=""02480""",5,0,5,"11,007",1,942,3,"4,498",0,0,0,4,"18,718",0,786,4,0,0,2,4,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0
NE,31,Atkinson,city,"=""02550""",95,0,95,"227,560",35,"26,518",56,"87,563",0,0,0,89,"392,603",0,"7,921",76,0,23,28,67,0,68,24,0,48,0,0,18,0,0,0,0,0,0,0
NE,31,Auburn,city,"=""02655""",232,0,232,"522,614",59,"57,606",126,"172,633",0,0,19,226,"939,034",0,"6,945",198,0,89,107,113,0,118,103,0,48,33,29,47,23,20,24,23,0,18,0
