"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NJ,34,Absecon,city,"=""00100""",803,0,803,"1,856,680",229,"156,543",460,"558,720",75,58,37,770,"3,374,663",33,"28,833",637,0,315,331,458,0,386,340,0,136,66,108,159,110,100,86,77,58,38,0
NJ,34,Allendale,borough,"=""00700""",105,0,105,"134,055",9,"12,894",24,"24,659",0,0,0,91,"224,054",0,"23,924",64,0,0,40,65,0,66,23,0,35,23,23,0,0,0,0,0,0,0,0
NJ,34,Allenhurst,borough,"=""00730""",15,0,15,"19,452",1,691,3,"4,531",0,0,0,13,"26,600",0,"1,369",9,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,34,Allentown,borough,"=""00760""",39,0,39,"54,098",3,"4,817",13,"12,749",0,0,0,36,"101,538",0,"2,009",24,0,7,17,21,0,25,9,0,11,0,8,11,0,0,0,0,0,0,0
NJ,34,Allenwood,CDP,"=""00790""",29,0,29,"47,147",7,"4,382",8,"9,840",0,0,0,27,"66,921",0,"6,552",2,0,1,1,2,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0
NJ,34,Alloway,CDP,"=""00850""",157,2,157,"362,580",35,"36,727",90,"105,400",7,4,4,156,"664,213",0,"1,522",136,0,50,88,45,2,77,47,0,12,9,17,22,15,10,8,8,6,4,0
NJ,34,Alpha,borough,"=""01030""",177,2,177,"407,264",50,"37,240",103,"127,762",8,7,7,172,"737,145",5,"4,578",150,0,72,81,91,5,71,85,0,24,19,30,35,21,18,18,14,12,8,0
NJ,34,Alpine,borough,"=""01090""",25,0,25,"31,135",2,"1,203",8,"9,219",0,0,0,21,"52,079",0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,34,Anderson,CDP,"=""01300""",10,0,10,"19,853",1,"1,443",4,"5,589",0,0,0,9,"30,748",0,"1,277",7,0,0,3,6,0,6,3,0,3,0,0,3,0,0,0,0,0,0,0
NJ,34,Andover,borough,"=""01330""",16,0,16,"28,898",4,"2,834",7,"8,395",0,0,2,16,"54,055",0,993,12,0,4,8,8,0,10,5,0,4,2,3,3,2,0,2,2,0,0,0
NJ,34,Annandale,CDP,"=""01480""",36,0,36,"52,489",6,"5,088",12,"13,420",0,0,0,32,"95,017",0,"3,052",24,0,6,14,19,0,24,8,0,11,0,8,8,0,0,0,0,0,0,0
NJ,34,Asbury,CDP,"=""01900""",5,0,5,"11,542",1,511,3,"3,652",0,0,0,5,"19,306",0,464,4,0,0,2,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0
