"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NM,35,Abeytas,CDP,"=""00240""",10,0,10,"20,966",3,"2,285",5,"7,877",0,0,0,9,"39,007",0,239,9,0,3,5,5,0,6,4,0,2,0,0,0,0,0,0,0,0,0,0
NM,35,Abiquiu,CDP,"=""00310""",16,0,16,"36,333",3,"2,630",10,"10,600",0,0,0,15,"55,213",0,613,13,0,8,6,10,0,8,7,0,5,0,4,0,0,0,0,0,0,0,0
NM,35,Acomita Lake,CDP,"=""00765""",5,0,5,"10,891",1,874,2,"3,297",0,0,0,5,"19,180",0,17,4,0,3,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
NM,35,Adelino,CDP,"=""00940""",90,2,90,"233,176",27,"20,120",58,"76,592",4,3,5,88,"380,848",2,"1,708",81,0,40,47,40,3,38,46,0,15,7,14,17,13,11,9,8,6,5,0
NM,35,Agua Fria,CDP,"=""01220""",282,9,282,"696,250",99,"74,181",176,"222,791",12,12,10,271,"1,143,216",11,"8,590",235,1,111,101,135,46,171,98,0,59,24,37,52,35,37,35,28,20,13,0
NM,35,Alamillo,CDP,"=""01640""",7,0,7,"20,581",2,"1,444",5,"6,109",0,0,0,7,"33,364",0,32,6,0,4,2,4,0,2,5,0,1,1,1,1,1,1,0,1,0,0,0
NM,35,Alamo,CDP,"=""01710""",120,0,120,"364,973",36,"25,600",89,"108,333",0,0,0,119,"591,660",0,566,110,0,78,44,75,0,30,85,0,12,12,19,24,18,15,9,12,6,0,0
NM,35,Alamogordo,city,"=""01780""","3,007",33,"3,007","7,142,815",792,"582,279","1,806","2,296,968",167,94,139,"2,932","12,345,346",70,"65,225","2,734",0,"1,355","1,657","1,162",175,"1,351","1,371",0,456,291,508,636,364,321,264,207,166,162,0
NM,35,Albuquerque,city,"=""02000""","50,236","1,022","50,236","115,684,436","14,224","10,447,717","29,004","36,147,255","2,631","2,538","2,961","48,484","192,323,796","1,651","1,362,487","43,808",19,"19,328","26,360","20,723","2,886","23,613","22,317",0,"8,886","5,149","8,228","10,051","6,276","5,381","5,089","4,081","2,938","2,146",33
NM,35,Alcalde,CDP,"=""02070""",25,0,25,"62,467",9,"6,231",16,"18,625",0,0,0,25,"104,026",0,99,21,0,13,10,13,2,9,14,0,3,2,3,5,3,4,2,3,1,0,0
