"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NV,32,Alamo,CDP,"=""00500""",55,0,55,"116,017",8,"13,883",29,"44,544",0,0,0,55,"215,166",0,0,50,0,21,38,0,0,32,18,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Austin,CDP,"=""03700""",13,0,13,"21,563",2,"1,347",3,"6,087",0,0,0,12,"35,767",0,650,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Battle Mountain,CDP,"=""04900""",211,0,211,"456,254",63,"51,088",126,"161,058",0,0,0,206,"853,672",0,"4,328",178,0,94,85,125,0,62,120,0,28,21,42,37,27,0,24,17,17,0,0
NV,32,Beatty,CDP,"=""05100""",108,0,108,"275,500",26,"17,186",64,"81,373",0,0,0,107,"443,369",0,425,85,0,30,72,36,0,50,45,0,4,0,0,30,0,0,0,0,0,0,0
NV,32,Beaverdam,CDP,"=""05125""",3,0,3,"7,067",1,732,2,"2,728",0,0,0,3,"12,452",0,36,3,0,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Bennett Springs,CDP,"=""05275""",8,0,8,"18,128",3,"1,877",5,"6,999",0,0,0,8,"31,943",0,91,7,0,2,6,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Boulder City,city,"=""06500""",813,0,813,"1,730,232",211,"157,899",421,"561,073",40,29,43,776,"2,975,291",35,"29,687",644,0,258,464,313,0,388,300,0,184,76,141,152,95,90,79,66,46,41,0
NV,32,Bunkerville,CDP,"=""08100""",100,0,100,"261,821",32,"27,635",73,"119,848",0,0,0,99,"477,828",0,241,83,0,31,50,49,0,56,38,0,24,0,2,4,0,2,0,0,0,0,0
NV,32,Caliente,city,"=""08500""",62,0,62,"133,346",21,"13,806",38,"51,484",0,0,0,60,"234,971",0,670,53,0,16,42,20,0,21,30,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Carlin,city,"=""08900""",105,0,105,"276,015",27,"24,670",65,"91,842",0,0,0,105,"500,373",0,"2,727",95,0,51,68,37,0,25,68,0,0,0,0,26,0,0,0,0,0,0,0
NV,32,Carson City,city,"=""09700""","4,391",62,"4,391","9,559,251","1,438","1,092,392","2,482","3,055,066",227,170,159,"4,251","17,117,519",110,"98,793","3,631",0,"1,585","2,313","1,975",85,"1,865","2,053",0,608,405,702,774,523,472,457,409,278,242,0
NV,32,Carter Springs,CDP,"=""10200""",32,0,32,"66,695",9,"7,557",17,"21,722",2,2,2,31,"114,022",1,"1,883",26,0,11,17,14,1,16,13,0,7,4,5,6,3,3,3,4,2,2,0
NV,32,Cold Springs,CDP,"=""14090""",467,0,467,"951,742",162,"136,822",263,"358,395",27,22,31,446,"1,852,190",21,"15,813",404,0,158,282,178,0,224,201,0,90,42,69,79,40,45,59,40,42,43,0
NV,32,Crescent Valley,CDP,"=""16300""",0,0,0,"5,790",0,562,0,"2,526",0,0,0,0,"12,336",0,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Crystal Bay,CDP,"=""16700""",51,0,51,"73,567",10,"7,812",11,"18,800",0,0,0,46,"125,299",0,"5,244",33,0,1,3,27,0,34,1,0,2,1,1,1,0,0,0,0,0,0,0
NV,32,Dayton,CDP,"=""17500""",684,0,684,"1,557,500",239,"182,050",409,"555,645",49,27,34,672,"2,879,396",0,"13,112",591,0,238,381,291,0,319,304,0,113,54,96,100,80,86,76,79,54,56,0
NV,32,Double Spring,CDP,"=""19150""",10,0,10,"20,423",3,"2,314",5,"6,652",1,0,0,9,"34,916",0,577,8,0,3,5,4,0,5,4,0,2,1,1,2,1,1,1,1,1,1,0
NV,32,Dry Valley,CDP,"=""19800""",1,0,1,"2,477",1,269,1,971,0,0,0,1,"4,361",0,19,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Dyer,CDP,"=""20700""",25,0,25,"51,042",9,"6,378",9,"10,691",0,0,0,24,"74,754",0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,East Valley,CDP,"=""21520""",88,0,88,"182,873",25,"20,634",46,"59,474",5,4,4,84,"312,807",4,"5,229",71,0,29,48,37,3,45,34,0,21,11,14,17,9,9,8,10,6,5,0
NV,32,Elko,city,"=""22500""","1,142",20,"1,142","2,670,102",367,"281,148",701,"878,520",29,35,42,"1,120","4,861,793",18,"14,161",975,0,499,559,571,0,431,589,0,118,108,161,212,160,125,87,87,65,59,0
NV,32,Ely,city,"=""23500""",309,0,309,"691,455",79,"64,673",172,"229,574",0,0,0,304,"1,230,529",0,"5,566",260,0,95,127,154,0,119,122,0,30,23,48,38,24,22,21,16,0,15,0
NV,32,Empire,CDP,"=""23700""",1,0,1,545,1,83,1,108,0,0,0,1,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,32,Enterprise,CDP,"=""23770""","9,279",162,"9,279","20,068,122","3,027","2,371,304","5,330","6,867,705",878,590,495,"8,775","36,497,623",503,"447,772","7,563",0,"2,816","4,355","4,829",75,"5,446","3,110",0,"2,657",732,"1,301","1,721","1,035",939,"1,001","1,105",821,595,0
