"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NY,36,Accord,CDP,"=""00155""",38,0,38,"84,002",8,"6,092",20,"23,748",0,0,0,36,"141,269",0,"2,099",31,0,14,18,19,0,22,13,0,11,4,8,9,5,3,0,3,0,0,0
NY,36,Adams,village,"=""00199""",148,0,148,"342,408",52,"38,537",93,"122,602",0,0,11,144,"628,001",0,"2,254",131,0,66,73,66,9,64,74,0,28,14,19,25,17,12,17,16,11,14,0
NY,36,Adams Center,CDP,"=""00232""",136,0,136,"310,479",49,"36,069",81,"100,592",0,0,0,131,"578,772",0,"3,743",123,0,52,66,62,0,66,60,0,23,0,18,27,16,19,13,14,0,0,0
NY,36,Addison,village,"=""00276""",162,0,162,"358,527",48,"42,821",95,"116,543",0,0,10,156,"667,459",0,"2,963",141,0,70,88,64,10,79,69,0,29,20,28,32,19,12,12,13,13,13,0
NY,36,Afton,village,"=""00342""",65,0,65,"129,095",18,"15,582",33,"38,341",0,0,0,60,"236,103",0,"2,700",56,0,22,29,33,0,35,22,0,16,7,12,14,7,7,0,0,0,0,0
NY,36,Airmont,village,"=""00408""",707,17,707,"2,663,141",81,"51,788",532,"1,026,545",22,18,16,677,"3,801,958",25,"28,119",489,0,54,170,458,48,439,235,0,183,38,66,195,140,81,56,40,27,30,0
NY,36,Akron,village,"=""00441""",183,0,183,"331,876",54,"46,435",83,"108,106",7,9,17,173,"670,653",10,"8,310",152,0,53,75,101,0,106,58,0,39,18,27,37,19,17,12,21,14,16,0
NY,36,Albany,city,"=""01000""","9,877",331,"9,877","22,680,177","2,108","1,461,191","5,578","6,860,687",727,394,515,"9,646","37,538,528",218,"179,766","8,468",0,"4,853","4,006","4,884",984,"5,279","3,722",0,"1,440","1,280","2,077","2,193","1,135",969,887,639,416,194,0
NY,36,Albertson,CDP,"=""01011""",152,0,152,"241,142",18,"13,395",49,"62,321",0,2,2,127,"382,621",24,"22,814",82,0,4,38,112,0,119,22,0,63,22,34,31,2,2,2,2,2,0,0
NY,36,Albion,village,"=""01033""",559,11,559,"1,293,789",163,"117,750",333,"414,937",26,21,32,547,"2,351,356",12,"11,673",496,0,222,293,240,26,239,270,0,71,60,87,93,82,65,56,50,38,26,0
