"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OH,39,Aberdeen,village,"=""00142""",182,0,182,"426,316",33,"20,774",103,"124,517",0,0,0,176,"717,707",0,"3,384",156,0,90,84,97,0,79,78,0,33,31,26,44,22,24,17,0,0,0,0
OH,39,Ada,village,"=""00198""",262,0,262,"557,998",78,"57,146",134,"164,470",0,14,30,254,"1,021,660",0,"5,017",228,0,89,159,102,0,128,117,0,49,31,42,45,29,25,26,27,21,16,0
OH,39,Adamsville,village,"=""00380""",10,0,10,"24,223",3,"2,700",6,"8,038",0,0,0,10,"47,307",0,99,9,0,4,5,5,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
OH,39,Addyston,village,"=""00436""",148,0,148,"360,797",44,"33,653",97,"119,376",0,0,0,142,"656,015",0,"4,994",131,0,73,81,65,0,77,62,0,22,0,27,24,0,0,0,0,0,0,0
OH,39,Adelphi,village,"=""00450""",60,0,60,"154,264",16,"13,157",38,"45,990",0,0,0,59,"254,213",0,"1,163",48,0,8,12,12,0,16,7,0,7,2,3,5,4,2,3,0,2,2,0
OH,39,Adena,village,"=""00464""",45,0,45,"98,786",10,"6,818",21,"27,404",0,0,0,43,"169,431",0,"1,392",37,0,17,25,20,0,21,20,0,7,0,9,9,0,0,0,0,0,0,0
OH,39,Akron,city,"=""01000""","24,719",577,"24,719","63,466,632","5,115","3,593,606","14,908","18,814,227",752,"1,057","1,012","24,206","101,263,849",430,"383,348","21,828",56,"11,682","12,923","10,773",992,"13,034","9,571",0,"4,807","2,600","4,672","5,947","3,506","2,396","2,059","1,594",995,679,0
OH,39,Albany,village,"=""01042""",72,0,72,"162,884",21,"16,527",39,"48,754",0,5,6,67,"285,013",4,"3,105",60,0,21,41,30,0,36,31,0,22,7,10,15,11,6,6,6,5,5,0
OH,39,Alexandria,village,"=""01154""",27,0,27,"54,362",9,"6,869",16,"19,304",0,0,0,25,"102,569",0,"1,989",23,0,9,15,12,0,14,11,0,7,0,0,0,0,0,0,0,0,0,0
OH,39,Alger,village,"=""01210""",64,0,64,"132,293",15,"12,184",32,"44,525",0,0,0,61,"249,624",0,"3,247",57,0,25,32,31,0,34,24,0,15,0,12,9,8,0,0,0,0,0,0
OH,39,Alliance,city,"=""01420""","2,145",27,"2,145","5,013,120",523,"413,199","1,232","1,511,633",64,97,119,"2,091","8,747,333",55,"39,383","1,877",0,923,"1,106","1,006",34,"1,082",874,0,362,224,387,461,281,209,175,167,120,113,0
OH,39,Alvordton,CDP,"=""01588""",20,0,20,"40,844",7,"7,219",11,"15,785",0,0,0,18,"82,420",0,"3,783",16,0,7,8,12,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0
OH,39,Amanda,village,"=""01630""",63,0,63,"134,581",22,"18,299",36,"43,572",0,0,0,60,"255,911",0,"2,042",51,0,22,29,31,0,37,22,0,17,4,11,10,6,7,6,7,6,5,0
OH,39,Amberley,village,"=""01672""",320,5,320,"776,445",74,"53,311",187,"231,179",18,18,17,313,"1,296,454",7,"4,714",280,0,136,199,107,14,167,125,0,56,38,54,72,44,32,29,25,17,10,0
OH,39,Amelia,village,"=""01742""",383,0,383,"878,662",110,"83,257",224,"277,430",19,17,22,371,"1,550,919",12,"9,406",339,0,174,203,174,5,179,162,0,77,36,63,79,51,38,35,30,26,22,0
OH,39,Amesville,village,"=""01784""",12,0,12,"34,376",3,"2,402",8,"10,845",0,0,0,11,"53,385",0,355,10,0,0,6,6,0,8,4,0,5,0,0,0,0,0,0,0,0,0,0
OH,39,Amherst,city,"=""01798""",695,0,695,"1,382,247",189,"161,345",333,"408,548",26,35,47,671,"2,570,147",24,"12,327",578,0,208,365,299,31,368,266,0,129,69,122,131,82,71,65,57,43,51,0
OH,39,Amsterdam,village,"=""01938""",30,0,30,"74,459",10,"9,095",18,"19,980",0,0,0,30,"128,796",0,"1,182",26,0,13,16,14,0,13,15,0,8,0,0,7,0,0,0,0,0,0,0
OH,39,Andersonville,CDP,"=""02022""",70,1,70,"169,278",16,"12,273",41,"50,592",2,3,3,68,"285,081",2,"1,471",60,1,28,31,34,4,40,25,0,13,8,12,16,10,7,5,5,4,3,0
OH,39,Andover,village,"=""02050""",90,0,90,"194,953",22,"17,272",48,"65,353",0,0,0,87,"356,403",0,"1,500",77,0,31,46,39,0,48,33,0,22,12,14,17,11,8,6,6,7,7,0
OH,39,Anna,village,"=""02092""",73,0,73,"173,124",28,"24,613",45,"54,862",0,0,0,72,"347,040",0,"2,469",62,0,20,28,44,0,40,32,0,15,0,13,11,0,8,0,8,0,10,0
OH,39,Ansonia,village,"=""02120""",98,0,98,"220,497",32,"28,079",57,"69,528",0,0,0,95,"422,604",0,"4,203",82,0,24,37,60,0,55,35,0,23,11,14,18,13,0,0,0,0,0,0
OH,39,Antioch,village,"=""02148""",2,0,2,"4,543",1,336,1,"1,211",0,0,0,2,"7,229",0,161,2,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
OH,39,Antwerp,village,"=""02204""",128,0,128,"290,730",38,"29,865",70,"90,603",0,0,0,125,"543,236",0,"3,030",111,0,45,60,67,0,62,55,0,22,12,21,20,18,15,13,14,0,0,0
OH,39,Apple Creek,village,"=""02232""",73,0,73,"154,629",29,"23,911",45,"78,692",0,0,0,69,"310,050",4,"2,492",56,0,15,23,48,0,52,18,0,28,5,10,12,6,6,7,7,8,13,0
OH,39,Apple Valley,CDP,"=""02266""",332,0,332,"703,767",106,"81,961",185,"257,220",0,0,26,312,"1,283,789",20,"23,927",277,0,83,205,124,0,183,118,0,102,35,50,50,41,33,32,34,29,25,0
OH,39,Aquilla,village,"=""02274""",14,0,14,"26,078",3,"2,781",6,"7,720",1,1,1,13,"45,778",1,732,11,0,4,8,6,0,8,5,0,3,2,2,3,1,1,1,1,1,1,0
OH,39,Arcadia,village,"=""02316""",45,0,45,"90,747",13,"13,263",22,"31,110",0,0,0,43,"186,013",0,"1,126",37,0,11,21,22,0,27,15,0,10,0,0,0,0,0,0,0,0,0,0
OH,39,Arcanum,village,"=""02330""",141,0,141,"303,225",50,"41,921",82,"109,676",0,9,10,133,"577,879",8,"7,633",117,0,36,72,69,0,84,49,0,39,15,21,22,13,11,13,14,16,14,0
OH,39,Archbold,village,"=""02344""",287,0,287,"617,086",95,"84,942",166,"233,937",0,14,25,275,"1,200,133",0,"9,845",246,0,94,153,134,0,156,108,0,55,35,28,56,27,29,28,34,21,27,0
OH,39,Arlington,village,"=""02400""",82,0,82,"184,352",31,"28,112",46,"65,831",0,0,0,79,"359,796",0,"2,628",74,0,18,41,39,0,43,35,0,20,0,0,16,0,0,0,14,0,0,0
OH,39,Arlington Heights,village,"=""02428""",79,1,79,"194,188",20,"14,237",47,"59,589",5,5,4,77,"331,699",1,994,69,0,33,47,30,2,41,31,0,14,8,14,17,11,9,7,7,4,3,0
OH,39,Ashland,city,"=""02568""","1,613",0,"1,613","3,546,812",433,"355,334",873,"1,120,212",38,64,86,"1,559","6,372,814",53,"40,964","1,363",0,480,949,612,51,791,683,0,306,193,259,290,214,156,145,122,109,119,0
OH,39,Ashley,village,"=""02582""",96,0,96,"229,068",34,"27,006",56,"72,361",0,0,0,93,"406,190",0,"2,174",85,0,40,62,31,0,46,42,0,24,0,14,17,14,9,11,0,0,10,0
OH,39,Ashtabula,city,"=""02638""","2,053",35,"2,053","5,200,118",457,"326,102","1,233","1,581,997",70,74,93,"2,008","8,740,471",42,"31,133","1,834",12,893,"1,214",778,37,952,912,0,315,215,368,439,278,226,166,138,86,83,0
OH,39,Ashville,village,"=""02680""",268,0,268,"625,238",95,"66,956",164,"209,841",9,17,15,262,"1,172,081",0,"9,109",240,0,115,142,117,9,129,121,0,47,25,36,44,32,32,28,25,26,18,0
OH,39,Athalia,village,"=""02722""",30,0,30,"71,177",8,"6,526",17,"20,126",1,1,1,29,"124,318",1,794,27,0,13,14,14,2,13,15,0,5,3,5,6,4,3,3,3,2,1,0
OH,39,Athens,city,"=""02736""",930,34,930,"1,530,440",140,"109,188",344,"406,387",25,65,93,889,"2,744,755",41,"33,518",779,0,273,558,364,0,421,396,0,191,152,232,219,77,70,48,59,37,33,0
OH,39,Attica,village,"=""02820""",66,0,66,"137,550",23,"20,504",37,"45,425",0,0,0,64,"277,587",0,"1,163",58,0,23,23,42,0,33,29,0,18,0,10,10,0,0,0,0,0,0,0
OH,39,Atwater,CDP,"=""02848""",44,0,44,"92,807",13,"10,798",22,"31,310",0,3,3,42,"174,382",0,"1,722",37,0,12,24,20,0,26,15,0,12,6,7,7,5,4,4,4,4,4,0
OH,39,Aurora,city,"=""03086""",472,0,472,"923,896",105,"88,028",211,"271,783",23,31,52,446,"1,662,836",27,"20,184",365,0,117,248,218,0,266,157,0,132,49,88,98,49,38,47,39,38,27,0
OH,39,Austinburg,CDP,"=""03142""",26,0,26,"57,551",6,"5,242",15,"19,008",0,0,0,24,"106,962",0,614,21,0,9,14,11,0,13,11,0,7,0,0,6,0,0,0,0,0,0,0
