"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OK,40,Achille,town,"=""00100""",80,0,80,"212,124",15,"13,751",50,"76,944",0,0,0,73,"340,219",0,"7,375",68,0,43,31,47,0,43,32,0,30,0,0,0,0,0,0,0,0,0,0
OK,40,Ada,city,"=""00200""","1,809",35,"1,809","4,157,434",519,"409,471","1,057","1,347,622",88,53,57,"1,763","7,344,017",40,"32,370","1,557",0,890,785,912,101,"1,072",617,0,340,227,272,320,203,163,169,147,121,93,0
OK,40,Adair,town,"=""00250""",27,0,27,"73,681",8,"5,510",19,"24,528",0,0,0,26,"117,249",0,"1,065",25,0,13,12,14,0,14,12,0,8,0,5,4,3,4,0,0,0,0,0
OK,40,Addington,town,"=""00450""",10,0,10,"27,669",3,"1,649",7,"8,768",0,0,0,10,"45,226",0,190,9,0,5,5,5,0,6,4,0,2,1,2,2,2,0,1,0,0,0,0
OK,40,Afton,town,"=""00600""",65,0,65,"166,158",16,"11,507",38,"52,517",0,0,0,61,"257,412",4,"2,519",56,0,26,24,39,0,38,23,0,20,8,9,14,10,8,6,3,3,4,0
OK,40,Agra,town,"=""00700""",27,0,27,"72,824",6,"5,147",17,"24,911",0,0,0,25,"115,705",0,"2,003",23,0,9,8,18,0,17,9,0,11,0,0,5,0,0,0,0,0,0,0
OK,40,Akins,CDP,"=""00900""",57,1,57,"146,432",14,"11,191",36,"45,910",1,1,2,55,"232,729",2,"1,486",50,0,31,14,41,1,31,22,0,15,5,10,11,9,5,5,4,3,4,0
OK,40,Albany,CDP,"=""00950""",15,0,15,"37,514",4,"2,932",9,"12,115",0,0,0,14,"62,246",0,268,13,0,7,5,10,0,9,5,0,5,1,3,3,2,1,0,0,0,0,0
OK,40,Albion,town,"=""01050""",4,0,4,"9,342",1,452,2,"2,680",0,0,0,4,"15,372",0,136,3,0,2,2,2,0,3,1,0,2,0,0,1,0,0,0,0,0,0,0
OK,40,Alderson,town,"=""01150""",54,0,54,"146,817",9,"12,296",33,"43,524",0,0,0,52,"270,451",0,815,49,0,26,0,37,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,Alex,town,"=""01250""",25,0,25,"59,406",8,"6,681",12,"19,879",0,0,0,24,"104,009",0,450,22,0,6,4,7,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,Aline,town,"=""01350""",14,0,14,"31,541",5,"3,673",5,"10,345",0,0,0,13,"54,628",0,212,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,Allen,town,"=""01400""",55,0,55,"149,475",14,"11,470",34,"47,115",0,0,0,53,"252,540",0,"1,771",50,0,28,15,34,0,31,12,0,11,0,10,8,7,6,0,0,0,0,0
OK,40,Altus,city,"=""01700""","2,008",43,"2,008","5,150,536",628,"486,589","1,337","1,759,806",107,81,83,"1,968","9,283,956",37,"43,687","1,836",0,915,994,904,78,810,"1,024",0,307,142,290,379,265,207,186,204,144,150,0
OK,40,Alva,city,"=""01800""",289,0,289,"619,069",86,"64,207",155,"200,437",17,0,0,268,"1,083,482",21,"15,310",247,0,110,138,151,0,128,126,0,82,34,40,65,29,30,29,20,20,20,0
OK,40,Amber,town,"=""01900""",26,0,26,"67,564",10,"8,110",18,"23,870",0,0,0,25,"118,177",0,198,24,0,12,10,16,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,Ames,town,"=""01950""",13,0,13,"31,215",3,"2,100",4,"11,286",0,0,0,12,"50,789",0,402,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,Anadarko,city,"=""02050""",751,19,751,"2,005,751",245,"181,328",517,"682,708",28,0,14,744,"3,511,046",0,"4,789",682,0,482,279,461,0,309,389,0,66,66,121,117,113,93,84,66,52,37,0
OK,40,Antlers,city,"=""02250""",277,0,277,"726,332",63,"47,501",177,"226,355",0,0,0,270,"1,161,273",0,"5,114",246,0,135,71,204,0,178,81,0,80,26,52,57,36,27,24,19,20,15,0
OK,40,Apache,town,"=""02300""",147,0,147,"351,941",46,"34,855",93,"116,926",0,0,0,145,"619,124",0,"1,486",132,0,79,70,63,14,79,57,0,25,17,24,27,18,14,13,16,10,0,0
OK,40,Arapaho,town,"=""02500""",56,0,56,"113,551",21,"23,957",29,"41,939",0,0,0,54,"247,274",0,"1,114",53,0,27,0,41,0,27,28,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,Arcadia,town,"=""02550""",12,0,12,"28,419",3,"1,943",6,"8,647",0,0,0,11,"43,655",0,406,10,0,5,6,6,0,7,4,0,4,0,3,2,0,0,0,0,0,0,0
OK,40,Ardmore,city,"=""02600""","2,504",34,"2,504","6,116,751",745,"590,446","1,576","1,954,898",107,69,73,"2,449","10,541,603",49,"64,222","2,258",0,"1,329","1,127","1,342",34,"1,382",951,0,406,220,394,477,303,281,235,207,153,145,0
OK,40,Arkoma,town,"=""02650""",225,0,225,"599,412",45,"31,527",139,"178,773",0,0,0,222,"930,163",0,"1,472",193,0,125,52,147,25,159,56,0,47,27,31,49,45,0,23,0,0,0,0
OK,40,Armstrong,town,"=""02750""",11,0,11,"28,079",3,"2,287",7,"8,652",0,0,0,10,"46,467",0,112,9,0,5,4,6,0,6,4,0,4,1,2,2,1,1,1,0,1,0,0
OK,40,Arnett,town,"=""02800""",25,0,25,"57,116",4,"6,354",15,"21,068",0,0,0,24,"97,988",0,692,21,0,0,10,15,0,16,0,0,11,0,0,0,0,0,0,0,0,0,0
OK,40,Asher,town,"=""03000""",39,0,39,"100,276",4,"6,146",21,"25,599",0,0,0,38,"149,094",0,"1,047",35,0,20,16,22,0,24,11,0,13,0,0,11,0,0,0,0,0,0,0
OK,40,Ashland,town,"=""03050""",5,0,5,"13,997",2,"1,054",4,"4,657",0,0,0,5,"23,480",0,142,5,0,3,1,4,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0
OK,40,Atoka,city,"=""03300""",326,0,326,"831,045",76,"59,347",202,"260,950",0,7,11,314,"1,363,407",12,"11,242",279,0,155,79,210,37,181,131,0,92,35,55,72,42,29,31,26,19,17,0
OK,40,Atwood,town,"=""03350""",6,0,6,"15,335",1,"1,657",4,"4,205",0,0,0,6,"28,432",0,45,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,Avant,town,"=""03500""",27,0,27,"65,744",8,"6,773",17,"23,873",1,1,1,26,"116,990",1,"1,166",24,0,12,12,14,0,14,11,0,6,2,3,5,2,2,2,2,2,2,0
OK,40,Ballou,CDP,"=""04075""",17,0,17,"46,186",5,"3,732",11,"15,408",0,0,0,17,"73,445",0,649,15,0,7,7,10,0,11,6,0,5,2,3,3,3,2,1,1,1,1,0
