"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
OR,41,Adair Village,city,"=""00275""",31,1,31,"45,794",5,"3,955",11,"13,829",2,2,4,29,"80,171",1,"1,099",25,0,7,22,7,2,14,12,0,5,6,7,7,2,2,2,2,2,1,0
OR,41,Adams,city,"=""00350""",25,0,25,"55,219",4,"5,934",16,"20,425",0,0,0,24,"107,005",0,"1,246",21,0,10,12,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,41,Adrian,city,"=""00500""",21,0,21,"52,718",6,"4,330",15,"19,602",1,0,1,20,"87,154",0,508,17,0,7,9,12,0,12,8,0,4,2,3,4,3,2,2,2,1,2,0
OR,41,Albany,city,"=""01000""","3,808",45,"3,808","8,217,775","1,040","789,510","2,133","2,775,726",248,189,267,"3,691","14,001,910",116,"88,039","3,188",0,"1,309","2,287","1,357",164,"1,816","1,638",0,586,398,664,734,437,402,346,310,227,276,0
OR,41,Aloha,CDP,"=""01650""","2,695",79,"2,695","5,757,355",796,"613,297","1,497","1,989,884",190,160,255,"2,588","9,834,515",107,"105,653","2,245",0,830,"1,638",959,98,"1,279","1,150",0,555,264,416,487,289,292,281,243,214,199,0
OR,41,Alpine,CDP,"=""01700""",9,0,9,"21,835",3,"2,425",6,"7,530",0,0,0,9,"35,903",0,463,7,0,3,6,3,0,6,3,0,3,0,1,2,0,1,0,0,0,0,0
OR,41,Alsea,CDP,"=""01800""",9,0,9,"20,821",1,"1,727",5,"7,598",0,0,0,9,"33,429",0,167,7,0,3,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,41,Altamont,CDP,"=""01850""","1,645",30,"1,645","3,791,860",449,"339,759","1,011","1,288,818",116,61,115,"1,593","6,397,365",52,"41,343","1,386",0,553,787,784,75,781,745,0,265,164,280,298,230,169,157,127,111,103,0
OR,41,Amity,city,"=""02000""",107,0,107,"235,914",32,"28,807",62,"93,967",0,0,10,104,"426,882",0,"1,511",89,0,39,63,41,0,49,49,0,19,0,18,19,11,10,0,11,9,12,0
OR,41,Annex,CDP,"=""02200""",24,1,24,"62,450",6,"4,384",15,"21,001",1,1,1,23,"99,705",1,495,19,0,10,9,15,0,11,11,0,3,3,4,4,3,3,2,2,1,1,0
