"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
PA,42,Aaronsburg,CDP,"=""00100""",43,0,43,"74,234",9,"10,903",21,"29,013",0,0,0,40,"156,427",0,"1,656",36,0,0,20,23,0,27,4,0,16,0,0,0,0,0,0,0,0,0,0
PA,42,Aaronsburg,CDP,"=""00104""",14,0,14,"33,621",4,"2,603",8,"9,632",0,0,0,14,"59,431",0,104,12,0,6,6,8,0,7,6,0,0,0,3,3,0,0,0,0,0,0,0
PA,42,Abbottstown,borough,"=""00116""",68,0,68,"142,248",21,"16,609",35,"44,451",0,0,0,65,"279,265",0,"2,604",58,0,19,35,30,0,37,24,0,12,6,10,11,9,8,8,5,0,6,0
PA,42,Ackermanville,CDP,"=""00244""",36,0,36,"77,751",10,"8,019",20,"24,628",2,2,2,35,"146,642",1,"1,488",30,0,13,19,16,0,16,17,0,7,4,6,7,4,3,3,3,3,3,0
PA,42,Adamstown,borough,"=""00364""",126,0,126,"255,392",25,"29,668",68,"91,335",0,0,4,121,"492,494",1,"4,245",106,0,41,63,60,0,67,50,0,14,5,6,8,6,4,5,5,5,1,0
PA,42,Adamsville,CDP,"=""00372""",0,0,0,"8,056",0,674,0,"3,191",0,0,0,0,"15,027",0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,Addison,borough,"=""00396""",8,0,8,"16,479",3,"1,823",3,"3,677",0,0,0,7,"27,075",0,553,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,Akron,borough,"=""00540""",257,0,257,"543,399",86,"62,313",151,"206,491",25,21,25,252,"1,073,986",0,"3,843",215,0,76,126,113,19,135,105,0,47,25,25,44,29,28,29,30,27,17,0
PA,42,Alba,borough,"=""00572""",14,0,14,"29,768",4,"3,187",8,"10,126",0,0,1,13,"58,303",0,362,12,0,5,5,8,0,6,7,0,2,2,2,3,2,1,1,1,1,1,0
PA,42,Albion,borough,"=""00628""",137,0,137,"299,298",33,"26,787",73,"95,296",0,0,14,133,"557,727",0,"1,698",119,0,45,72,59,0,59,64,0,25,13,28,30,15,13,12,0,8,11,0
