"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
RI,44,Ashaway,CDP,"=""03520""",99,0,99,"198,299",26,"21,276",54,"65,889",0,0,0,90,"334,562",0,"11,243",79,0,25,53,38,0,52,37,0,27,12,18,21,0,0,0,0,0,0,0
RI,44,Bradford,CDP,"=""08020""",128,0,128,"268,465",39,"29,146",69,"77,717",0,0,0,122,"494,210",0,"7,531",109,0,55,66,56,0,56,61,0,27,0,24,21,19,15,14,0,0,0,0
RI,44,Carolina,CDP,"=""12340""",47,0,47,"80,162",7,"5,634",17,"19,515",0,0,1,44,"141,984",1,"2,389",39,0,12,29,16,2,22,14,0,5,2,9,6,2,2,1,1,1,0,0
RI,44,Central Falls,city,"=""14140""","2,959",162,"2,959","8,225,660",803,"546,574","1,955","2,421,122",94,105,56,"2,900","13,736,011",58,"60,884","2,523",0,"1,147",623,"2,158",178,"1,862",966,0,604,232,482,617,532,366,287,216,129,97,0
RI,44,Chepachet,CDP,"=""14860""",90,0,90,"152,271",21,"15,012",38,"42,384",6,0,6,82,"279,148",8,"5,488",64,0,22,39,46,5,54,26,0,28,14,18,16,8,7,7,8,7,0,0
RI,44,Clayville,CDP,"=""15940""",8,0,8,"14,858",2,"1,743",4,"4,546",0,0,0,8,"26,627",0,746,6,0,2,3,5,0,5,3,0,3,1,1,2,1,0,0,0,0,0,0
RI,44,Cranston,city,"=""19180""","6,874",138,"6,874","15,694,805","1,776","1,291,568","3,764","4,557,097",350,405,366,"6,582","27,155,094",276,"261,187","5,564",0,"2,022","2,323","4,156",381,"4,239","2,063",0,"1,656",686,"1,135","1,523",884,704,673,549,374,276,0
RI,44,Cumberland Hill,CDP,"=""20260""",352,0,352,"719,787",98,"75,834",182,"201,777",20,24,23,335,"1,332,081",17,"16,170",282,0,105,136,198,19,200,127,0,70,40,56,76,41,33,35,32,22,16,0
RI,44,East Providence,city,"=""22960""","3,568",21,"3,568","7,150,360",969,"748,951","1,794","2,025,561",199,163,230,"3,421","13,069,289",147,"147,604","2,865",0,"1,265","1,396","1,931",241,"1,882","1,361",0,654,391,638,749,425,350,327,289,241,134,0
RI,44,Foster Center,CDP,"=""27640""",20,0,20,"35,227",5,"4,131",9,"10,779",0,0,0,18,"63,132",0,"1,770",14,0,5,8,11,0,12,6,0,7,3,4,5,2,0,0,0,0,0,0
RI,44,Greene,CDP,"=""31240""",38,0,38,"70,005",3,"5,794",17,"20,894",0,0,0,35,"126,386",0,"3,354",29,0,11,17,21,0,23,12,0,10,0,0,9,0,0,0,0,0,0,0
RI,44,Greenville,CDP,"=""31600""",287,0,287,"476,951",75,"56,675",111,"114,698",3,4,4,269,"914,203",3,"16,962",211,0,72,127,150,0,170,85,0,71,35,51,57,26,31,26,6,3,3,0
RI,44,Harmony,CDP,"=""33040""",52,0,52,"87,342",12,"8,611",22,"24,312",3,0,4,47,"160,118",4,"3,148",37,0,12,22,26,3,31,15,0,16,8,10,9,5,4,4,5,4,0,0
RI,44,Harrisville,CDP,"=""33400""",86,0,86,"173,645",25,"20,392",44,"49,606",6,0,6,82,"312,166",0,"2,977",71,0,26,38,41,0,42,33,0,20,10,15,16,6,10,7,8,5,0,0
RI,44,Hope Valley,CDP,"=""34660""",91,0,91,"193,196",22,"17,577",46,"52,258",0,0,0,85,"320,977",0,"3,948",72,0,26,49,39,0,49,34,0,27,11,19,19,10,8,0,0,0,0,0
RI,44,Kingston,CDP,"=""38980""",62,0,62,"106,605",9,"10,163",25,"29,580",1,1,1,59,"187,915",2,"1,619",49,0,6,32,26,2,32,23,0,6,3,5,4,2,2,1,1,1,1,0
RI,44,Melville,CDP,"=""45010""",52,0,52,"104,394",15,"11,761",27,"33,917",4,3,5,49,"199,271",3,"2,040",42,0,18,28,21,3,25,22,0,11,5,9,10,6,5,5,5,4,3,0
RI,44,Misquamicut,CDP,"=""46000""",34,0,34,"67,655",8,"6,179",17,"19,415",2,2,2,32,"121,061",2,"1,327",28,0,12,17,15,3,16,14,0,7,5,6,7,4,3,3,3,2,1,0
RI,44,Narragansett Pier,CDP,"=""48700""",132,0,132,"225,706",27,"19,522",55,"57,703",7,8,9,123,"385,371",9,"7,697",103,0,38,64,57,10,66,46,0,32,15,27,39,14,10,8,10,0,0,0
RI,44,Newport,city,"=""49960""","1,686",28,"1,686","3,720,680",376,"273,475",898,"1,093,024",79,49,91,"1,606","6,279,838",80,"78,676","1,408",0,750,867,705,114,809,701,0,338,228,351,423,190,127,126,107,74,55,0
RI,44,Newport East,CDP,"=""50140""",741,0,741,"1,545,888",221,"174,959",401,"512,021",63,43,68,707,"2,944,352",34,"27,529",610,0,275,395,299,47,352,324,0,155,67,125,139,82,76,74,73,54,49,0
RI,44,Pascoag,CDP,"=""54460""",258,0,258,"527,673",75,"59,182",134,"153,651",16,16,1,249,"1,016,895",0,"17,489",219,0,105,130,120,0,114,117,0,48,25,46,56,29,22,23,26,0,18,0
