"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
SC,45,Abbeville,city,"=""00100""",700,12,700,"1,910,189",171,"114,543",417,"531,699",40,41,20,683,"2,866,329",17,"17,154",627,0,417,247,432,21,376,293,0,160,38,107,156,102,94,79,58,41,24,0
SC,45,Aiken,city,"=""00550""","2,922",40,"2,922","7,262,928",637,"457,422","1,724","2,129,768",182,138,113,"2,829","11,324,739",89,"81,012","2,602",0,"1,406","1,219","1,557",112,"1,587","1,112",0,610,229,548,714,376,273,226,191,143,101,0
SC,45,Alcolu,CDP,"=""00775""",54,0,54,"154,683",10,"5,355",34,"40,284",0,0,0,52,"223,617",0,612,47,0,34,13,40,0,28,23,0,13,5,10,13,12,7,0,0,0,0,0
SC,45,Allendale,town,"=""00955""",564,15,564,"1,613,488",114,"75,296",367,"414,791",19,35,0,556,"2,359,702",0,"7,690",512,0,382,199,363,0,363,176,0,137,42,97,155,92,66,42,44,15,0,0
SC,45,Anderson,city,"=""01360""","3,074",35,"3,074","8,006,767",733,"531,897","1,868","2,379,105",168,125,106,"2,997","12,377,081",71,"72,933","2,720",0,"1,575","1,211","1,779",79,"1,912",967,0,642,233,503,713,426,333,262,242,163,120,0
SC,45,Andrews,town,"=""01450""",440,6,440,"1,203,779",86,"58,324",275,"336,402",18,17,10,432,"1,806,980",8,"5,899",396,0,242,214,222,0,193,215,0,109,38,84,109,74,44,34,24,16,16,0
SC,45,Arcadia,CDP,"=""02080""",418,5,418,"1,075,042",118,"81,262",263,"335,191",22,14,13,407,"1,690,326",7,"6,648",363,2,213,170,238,9,224,165,0,54,21,47,65,48,41,35,23,16,13,0
SC,45,Arcadia Lakes,town,"=""02125""",57,0,57,"135,465",18,"14,021",37,"53,690",5,5,3,56,"255,140",2,962,51,0,27,31,24,2,30,24,0,12,5,8,9,8,5,5,4,5,7,0
SC,45,Arial,CDP,"=""02440""",276,3,276,"695,597",77,"56,988",174,"223,564",15,9,10,268,"1,113,911",8,"6,180",242,0,133,105,163,7,142,112,0,56,22,43,55,40,31,27,22,18,17,0
SC,45,Atlantic Beach,town,"=""03205""",27,0,27,"51,537",4,"2,994",12,"13,525",1,1,1,25,"80,746",1,"1,054",22,0,10,15,11,0,14,9,0,6,3,6,8,3,2,2,1,1,1,0
SC,45,Awendaw,town,"=""03385""",160,0,160,"384,252",37,"24,304",88,"98,654",0,0,0,153,"590,179",0,"6,830",135,0,78,69,87,0,97,54,0,32,11,27,35,26,20,16,12,0,0,0
SC,45,Aynor,town,"=""03430""",68,0,68,"179,709",19,"14,740",44,"54,562",3,0,0,66,"289,412",0,"2,057",59,0,31,27,40,0,38,25,0,18,6,12,14,10,7,5,6,4,4,0
SC,45,Bamberg,town,"=""03790""",421,0,421,"1,198,671",92,"60,959",281,"336,650",22,24,16,410,"1,773,885",11,"7,358",383,0,246,167,250,0,204,195,0,103,29,73,98,67,60,46,24,13,10,0
SC,45,Barnwell,city,"=""04060""",637,19,637,"1,860,588",150,"103,899",426,"539,140",27,25,20,627,"2,717,342",11,"10,260",579,0,361,219,417,0,425,182,0,189,36,110,178,87,71,58,45,33,18,0
SC,45,Batesburg-Leesville,town,"=""04300""",593,0,593,"1,534,681",156,"116,730",368,"475,328",21,20,18,574,"2,455,474",19,"19,984",499,0,317,231,355,0,322,238,0,120,49,93,117,97,70,58,46,30,32,0
SC,45,Beaufort,city,"=""04690""","1,355",1,"1,355","3,435,412",397,"312,103",886,"1,157,021",93,59,71,"1,314","5,961,482",31,"26,993","1,204",0,581,770,486,81,693,593,0,249,79,165,274,148,116,105,122,98,78,0
