"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
SD,46,Aberdeen,city,"=""00100""","1,907",25,"1,907","4,234,295",589,"467,578","1,134","1,493,916",232,81,206,"1,851","8,274,464",54,"54,604","1,656",0,624,"1,026",803,45,773,960,0,324,183,281,341,181,218,208,195,149,108,0
SD,46,Agency Village,CDP,"=""00520""",16,0,16,"39,028",5,"4,048",11,"13,434",1,0,0,15,"73,071",0,307,14,0,8,8,8,0,6,9,0,2,2,3,3,2,2,2,2,1,1,0
SD,46,Akaska,town,"=""00540""",2,0,2,"3,291",1,467,1,"1,334",0,0,0,2,"6,193",0,102,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,46,Albee,town,"=""00620""",1,0,1,"1,989",1,217,1,755,0,0,0,1,"3,383",0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,46,Alcester,city,"=""00700""",41,0,41,"98,554",4,"4,626",23,"34,513",0,0,0,38,"170,367",0,"3,244",33,0,0,16,26,0,24,14,0,17,0,0,10,0,0,0,0,0,0,0
SD,46,Alexandria,city,"=""00820""",27,0,27,"69,422",5,"4,683",15,"28,047",0,0,0,25,"125,470",0,"1,906",22,0,0,12,15,0,19,0,0,12,0,0,0,0,0,0,0,0,0,0
SD,46,Allen,CDP,"=""00900""",44,0,44,"122,169",12,"8,920",30,"37,874",0,0,0,44,"208,374",0,0,41,0,35,0,32,0,21,20,0,0,7,0,9,0,0,0,0,0,0,0
SD,46,Alpena,town,"=""01020""",13,0,13,"30,223",5,"3,699",5,"14,679",0,0,0,11,"60,128",0,"1,723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SD,46,Altamont,town,"=""01140""",2,0,2,"4,340",1,624,1,"1,676",0,0,0,2,"9,044",0,168,2,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
SD,46,Anderson,CDP,"=""01450""",28,1,28,"63,195",10,"7,939",17,"23,135",3,2,3,27,"127,884",1,"1,128",25,0,8,16,12,1,11,15,0,4,2,3,4,3,3,3,4,3,2,0
SD,46,Antelope,CDP,"=""01740""",100,0,100,"271,310",30,"25,230",71,"95,171",0,0,0,98,"504,217",0,"1,498",90,0,76,22,76,0,22,69,0,9,13,16,16,12,14,7,9,6,6,0
