"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
VA,51,Abingdon,town,"=""00148""",743,0,743,"1,552,835",168,"131,292",372,"455,915",17,17,25,707,"2,692,194",29,"28,569",654,0,236,356,379,0,373,290,0,172,71,118,155,85,55,61,50,41,35,0
VA,51,Accomac,town,"=""00180""",60,0,60,"154,435",14,"8,207",39,"45,144",0,6,0,59,"274,831",0,597,50,0,32,24,36,0,31,25,0,10,0,9,12,7,10,10,0,0,0,0
VA,51,Adwolf,CDP,"=""00468""",150,0,150,"332,337",39,"29,665",80,"94,933",3,3,3,145,"598,661",4,"3,610",134,0,74,68,79,3,69,65,0,24,17,28,30,22,14,11,11,9,7,0
VA,51,Alberta,town,"=""00724""",35,0,35,"95,573",10,"6,696",22,"25,440",0,0,0,35,"159,909",0,0,32,0,17,23,13,0,18,14,0,0,0,6,7,5,5,4,0,0,0,0
VA,51,Alexandria,city,"=""01000""","8,657",468,"8,657","18,621,192","2,006","1,425,320","4,590","5,866,470",515,512,380,"7,814","31,098,915",818,"680,099","6,452",0,"1,954","3,265","5,087",289,"5,678","2,346",0,"3,089",933,"1,577","1,874","1,094",855,764,695,443,328,0
VA,51,Allisonia,CDP,"=""01256""",11,0,11,"22,022",4,"2,605",6,"6,633",0,0,0,11,"41,509",0,709,10,0,5,5,6,0,5,5,0,2,0,2,0,0,0,0,0,0,0,0
VA,51,Altavista,town,"=""01528""",378,0,378,"851,464",99,"78,757",215,"233,933",19,17,0,369,"1,540,528",0,"8,648",335,0,138,222,148,0,152,193,0,36,34,64,81,49,34,43,32,20,21,0
VA,51,Amelia Court House,CDP,"=""01640""",84,0,84,"193,957",23,"17,242",48,"58,628",4,3,3,81,"334,021",3,"2,283",73,0,33,54,30,0,39,39,0,18,8,15,17,11,10,7,7,6,4,0
VA,51,Amherst,town,"=""01672""",180,0,180,"421,745",51,"35,669",105,"130,102",11,7,8,174,"745,288",6,"4,756",156,0,69,101,75,0,82,82,0,35,16,26,36,25,22,20,14,10,9,0
VA,51,Annandale,CDP,"=""01912""","2,818",122,"2,818","6,249,447",649,"461,909","1,412","1,908,376",127,206,90,"2,420","9,244,383",397,"413,637","1,943",0,362,814,"1,905",98,"2,030",600,0,"1,295",283,451,624,374,279,247,226,186,142,0
VA,51,Appalachia,town,"=""02040""",175,0,175,"427,814",35,"25,776",100,"126,165",0,0,0,171,"697,817",0,965,157,0,107,84,90,0,55,97,0,18,25,33,34,32,15,12,0,0,0,0
VA,51,Apple Mountain Lake,CDP,"=""02064""",75,0,75,"142,490",24,"21,164",38,"50,319",0,0,0,69,"275,347",6,"5,891",60,0,20,43,31,0,44,25,0,16,7,12,17,9,0,0,0,0,8,0
VA,51,Appomattox,town,"=""02072""",186,0,186,"441,742",46,"32,993",110,"143,175",13,9,7,182,"782,064",5,"3,395",164,0,63,104,81,0,82,89,0,37,14,32,39,28,19,18,16,11,10,0
VA,51,Aquia Harbour,CDP,"=""02112""",361,5,361,"854,887",111,"84,553",229,"316,149",32,29,26,349,"1,563,963",12,"12,526",322,0,129,223,126,12,193,142,0,89,29,51,62,47,36,37,36,29,33,0
VA,51,Arcola,CDP,"=""02248""",12,1,12,"27,541",4,"3,008",7,"9,440",1,1,1,11,"44,560",1,890,9,0,2,4,8,0,8,3,0,4,1,1,2,2,1,1,2,1,1,0
