"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
VT,50,Albany,village,"=""00400""",28,0,28,"73,622",6,"5,440",17,"21,930",0,0,0,27,"126,227",0,830,21,0,0,2,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,50,Alburg,village,"=""00625""",45,0,45,"94,900",13,"9,852",26,"27,709",0,0,0,43,"173,662",0,"1,841",37,0,20,23,21,0,15,24,0,8,0,8,8,0,5,0,0,0,0,0
VT,50,Arlington,CDP,"=""01375""",92,0,92,"187,586",26,"21,650",44,"62,934",0,0,8,84,"345,883",7,"8,905",68,0,27,44,34,0,39,33,0,24,8,10,17,10,10,0,0,0,0,0
VT,50,Ascutney,CDP,"=""01750""",86,0,86,"154,854",20,"15,766",29,"40,137",0,0,3,80,"275,909",3,"3,605",67,0,16,47,15,0,38,20,0,8,7,8,8,1,4,4,4,1,0,0
VT,50,Barnet,CDP,"=""02800""",11,0,11,"19,336",2,"1,975",5,"7,521",0,0,3,10,"32,182",0,"1,900",8,0,3,6,5,0,7,3,0,5,0,3,0,0,0,0,0,0,0,0
VT,50,Barre,city,"=""03175""",683,0,683,"1,351,278",209,"165,915",356,"396,067",53,22,43,653,"2,512,201",30,"19,357",548,0,255,390,241,52,279,330,0,115,103,113,117,73,73,63,59,47,33,0
VT,50,Barton,village,"=""03475""",83,0,83,"186,074",23,"16,160",48,"57,271",0,0,0,76,"330,044",0,"5,776",65,0,35,33,49,0,53,23,0,24,9,14,19,11,9,9,0,0,0,0
VT,50,Beecher Falls,CDP,"=""04150""",21,0,21,"41,390",4,"2,542",9,"10,655",0,0,0,21,"77,242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,50,Bellows Falls,village,"=""04225""",279,0,279,"563,598",76,"57,849",143,"162,558",0,0,18,272,"1,070,149",0,"5,256",227,0,137,141,120,18,110,131,0,35,39,52,48,30,36,21,25,15,0,0
VT,50,Bennington,CDP,"=""04750""",957,0,957,"2,092,842",259,"186,978",520,"609,280",44,24,57,922,"3,769,311",35,"20,246",808,0,384,583,334,41,322,523,0,160,119,196,170,122,97,89,80,49,33,0
VT,50,Benson,CDP,"=""05125""",30,0,30,"59,087",8,"6,442",15,"17,054",0,0,3,29,"108,534",2,"1,127",24,0,11,14,15,0,15,13,0,8,5,5,5,3,3,2,3,2,0,0
VT,50,Bethel,CDP,"=""05725""",41,0,41,"86,477",13,"9,510",22,"28,514",0,0,0,38,"150,444",0,"1,816",32,0,12,22,17,0,20,17,0,14,5,8,7,5,0,5,0,0,0,0
VT,50,Bradford,CDP,"=""07225""",70,0,70,"144,777",26,"19,770",38,"44,988",0,0,0,65,"270,408",0,"3,535",57,0,26,37,30,0,34,31,0,16,7,11,9,9,7,9,9,5,0,0
VT,50,Brandon,CDP,"=""07675""",131,0,131,"250,443",34,"28,074",62,"78,797",0,0,12,124,"458,074",7,"5,874",97,0,41,66,62,0,71,48,0,32,19,24,25,13,12,10,11,7,9,0
VT,50,Brattleboro,CDP,"=""07975""",693,0,693,"1,254,502",169,"123,627",294,"339,021",43,26,58,643,"2,181,504",37,"30,617",540,0,206,373,209,50,313,249,0,143,87,114,125,64,51,58,41,37,26,0
VT,50,Bristol,CDP,"=""08950""",140,0,140,"277,352",40,"30,374",68,"81,331",0,0,13,127,"483,407",13,"12,106",102,0,40,79,54,0,73,52,0,44,19,22,26,17,12,14,14,11,0,0
VT,50,Burlington,city,"=""10675""","2,423",55,"2,423","4,246,197",485,"368,448","1,004","1,258,263",103,95,226,"2,287","7,506,736",127,"110,105","1,707",0,586,"1,209",887,310,"1,273",841,0,459,410,522,521,196,177,187,158,106,107,0
VT,50,Cabot,village,"=""11050""",21,0,21,"51,425",2,"3,318",12,"17,393",0,0,0,18,"74,170",0,"1,018",15,0,0,9,11,0,14,6,0,11,0,0,0,0,0,0,0,0,0,0
VT,50,Cambridge,village,"=""11425""",18,0,18,"30,740",5,"4,991",8,"10,494",0,0,0,17,"62,456",0,638,13,0,5,10,7,0,9,6,0,6,0,0,5,0,0,0,0,0,0,0
VT,50,Canaan,CDP,"=""11725""",30,0,30,"75,109",4,"5,610",15,"19,885",0,0,0,28,"125,191",0,897,22,0,9,0,21,0,16,13,0,11,0,0,0,0,0,0,0,0,0,0
VT,50,Castleton,CDP,"=""11875""",34,0,34,"60,611",11,"8,631",16,"18,546",0,0,0,33,"123,624",0,"1,254",27,0,12,17,17,0,17,15,0,9,4,7,6,0,0,0,0,0,0,0
VT,50,Cavendish,CDP,"=""12175""",18,0,18,"36,994",2,"1,919",9,"13,053",0,0,0,17,"64,387",0,689,14,0,7,9,9,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0
VT,50,Chester,CDP,"=""13600""",79,0,79,"156,406",22,"17,674",38,"46,773",0,0,8,71,"281,576",8,"4,835",60,0,25,35,41,0,47,24,0,31,10,14,15,8,7,7,8,5,0,0
VT,50,Concord,CDP,"=""15175""",27,0,27,"56,689",9,"6,353",15,"19,065",0,0,0,26,"106,598",0,383,23,0,11,13,14,0,12,12,0,7,0,0,5,0,0,0,0,0,0,0
VT,50,Coventry,CDP,"=""16075""",6,0,6,"13,756",1,"1,048",3,"3,895",0,0,0,5,"23,470",0,524,4,0,1,2,4,0,4,2,0,3,0,0,1,0,0,0,0,0,0,0
VT,50,Danville,CDP,"=""17050""",27,0,27,"57,115",8,"6,634",14,"18,547",0,0,0,23,"97,404",0,"3,253",19,0,5,13,14,0,15,8,0,12,0,4,5,0,0,0,0,0,0,0
VT,50,Derby Center,village,"=""17425""",74,0,74,"159,915",19,"14,239",38,"45,704",0,0,9,69,"283,786",0,"4,268",57,0,29,31,42,0,47,22,0,19,8,14,13,10,9,8,0,0,0,0
VT,50,Derby Line,village,"=""17500""",73,0,73,"174,302",26,"16,275",44,"54,569",0,0,0,69,"312,585",0,"3,894",63,0,28,31,39,0,46,24,0,15,0,13,11,0,13,10,0,0,0,0
VT,50,Dorset,CDP,"=""17650""",10,0,10,"18,054",2,"1,369",4,"4,643",0,0,0,9,"29,398",0,643,7,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,50,East Barre,CDP,"=""19075""",84,0,84,"155,730",29,"22,806",43,"51,508",2,1,2,80,"314,831",1,"1,724",66,0,32,45,33,2,37,40,0,5,5,5,5,3,3,3,3,2,1,0
VT,50,East Burke,CDP,"=""19600""",10,0,10,"14,364",2,"1,772",4,"4,954",0,0,0,8,"25,857",0,"1,506",6,0,0,5,5,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0
VT,50,East Middlebury,CDP,"=""21700""",88,0,88,"158,907",16,"18,059",32,"35,784",0,1,2,78,"280,114",1,"4,607",61,0,6,41,44,2,41,33,0,6,4,5,4,2,2,2,3,2,1,0
VT,50,East Montpelier,CDP,"=""21850""",5,0,5,"7,676",1,"1,186",2,"2,270",0,0,0,5,"14,739",0,502,4,0,0,3,2,0,3,2,0,2,0,0,1,0,0,0,0,0,0,0
VT,50,Enosburg Falls,village,"=""24025""",120,0,120,"252,942",40,"33,839",65,"80,081",9,0,7,112,"482,007",9,"8,764",94,0,41,52,66,0,50,59,0,31,12,19,22,14,13,11,10,10,8,0
VT,50,Essex Junction,village,"=""24400""",460,0,460,"811,189",141,"112,569",208,"236,005",44,27,49,439,"1,571,949",19,"22,711",339,0,127,249,155,29,198,197,0,85,51,64,86,41,40,46,50,29,23,0
VT,50,Fair Haven,CDP,"=""25450""",221,0,221,"431,653",60,"47,063",109,"124,584",0,0,20,210,"792,879",11,"8,235",173,0,80,106,113,0,110,95,0,55,34,40,39,24,22,15,20,17,0,0
VT,50,Fairlee,CDP,"=""25600""",11,0,11,"18,949",3,"1,996",5,"5,809",0,0,0,10,"32,890",0,613,8,0,3,6,4,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0
VT,50,Glover,CDP,"=""28000""",29,0,29,"60,594",3,"6,549",15,"19,206",0,0,0,28,"98,139",0,664,21,0,10,14,15,0,17,7,0,11,0,0,0,0,0,0,0,0,0,0
VT,50,Graniteville,CDP,"=""29425""",38,0,38,"86,020",13,"8,963",24,"31,723",0,0,0,38,"169,864",0,84,34,0,12,24,13,0,15,21,0,0,0,0,0,0,0,0,0,0,0,0
VT,50,Greensboro,CDP,"=""30100""",1,0,1,"1,780",1,180,1,638,0,0,0,1,"2,933",0,70,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,50,Greensboro Bend,CDP,"=""30325""",23,0,23,"52,813",3,"5,335",12,"18,929",0,0,0,21,"87,027",0,"2,078",17,0,0,9,13,0,16,0,0,11,0,0,0,0,0,0,0,0,0,0
VT,50,Groton,CDP,"=""30475""",35,0,35,"68,673",10,"8,160",20,"24,758",0,0,0,33,"136,728",0,"1,144",27,0,8,17,17,0,23,10,0,12,0,0,0,0,0,0,0,0,0,0
VT,50,Hardwick,CDP,"=""31750""",142,0,142,"328,204",32,"28,384",76,"101,860",0,0,0,132,"542,192",0,"6,223",110,0,43,69,71,0,77,53,0,51,19,24,27,18,14,13,0,0,0,0
VT,50,Hartland,CDP,"=""32350""",25,0,25,"43,965",8,"6,901",11,"12,112",0,0,0,22,"79,091",4,"4,030",19,0,9,15,9,0,12,11,0,8,1,4,5,0,1,0,1,0,0,0
VT,50,Hinesburg,CDP,"=""33550""",43,0,43,"77,955",13,"11,111",19,"21,374",0,0,5,40,"145,465",4,"3,785",31,0,11,25,17,0,20,18,0,13,6,6,10,4,4,4,0,0,0,0
VT,50,Hyde Park,village,"=""34975""",35,0,35,"73,802",11,"8,907",19,"24,462",0,0,0,32,"135,268",4,"3,054",27,0,10,20,15,0,18,15,0,12,4,5,6,5,5,0,0,0,0,0
VT,50,Irasburg,CDP,"=""35500""",14,0,14,"33,899",4,"2,582",8,"9,599",0,0,0,13,"57,836",0,"1,292",10,0,3,4,10,0,10,4,0,6,0,0,3,0,0,0,0,0,0,0
VT,50,Island Pond,CDP,"=""35725""",78,0,78,"160,500",18,"15,601",37,"41,327",0,0,0,71,"277,218",0,"4,900",63,0,29,37,38,0,48,25,0,25,0,14,13,0,0,0,0,0,0,0
VT,50,Jacksonville,village,"=""36025""",13,0,13,"22,078",3,"2,365",3,"5,647",0,0,0,12,"31,823",0,"1,999",7,0,0,8,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0
VT,50,Jeffersonville,village,"=""36475""",57,0,57,"102,256",20,"15,332",27,"34,823",7,0,9,54,"202,428",0,"2,647",44,0,18,38,18,0,28,23,0,16,7,6,12,0,0,7,6,0,0,0
VT,50,Jericho,village,"=""36625""",51,0,51,"88,901",14,"12,740",21,"23,040",0,0,7,47,"160,125",0,"5,006",39,0,13,32,18,0,25,21,0,15,6,7,14,0,0,0,0,0,0,0
VT,50,Johnson,village,"=""37000""",119,0,119,"248,527",34,"28,191",64,"67,663",9,0,8,113,"451,061",0,"4,707",96,0,41,67,47,0,47,60,0,28,16,22,20,10,14,13,10,0,0,0
VT,50,Lowell,CDP,"=""40450""",23,0,23,"47,343",2,"4,166",14,"14,879",0,0,0,21,"86,811",0,"1,262",18,0,5,11,12,0,13,9,0,9,0,0,0,0,0,0,0,0,0,0
VT,50,Ludlow,village,"=""41200""",65,0,65,"118,995",20,"14,612",31,"33,288",0,0,0,60,"211,632",0,"3,140",49,0,27,36,28,0,30,27,0,16,0,13,14,0,0,0,0,0,0,0
VT,50,Lyndonville,village,"=""41950""",113,0,113,"225,202",37,"28,164",59,"70,188",9,0,8,106,"419,103",7,"6,678",89,0,32,58,53,0,54,50,0,32,11,17,22,15,13,9,8,9,9,0
VT,50,Manchester,village,"=""42700""",87,0,87,"173,871",19,"13,075",38,"45,476",5,0,7,78,"283,486",6,"6,465",43,0,20,26,34,0,32,23,0,21,8,12,9,7,7,5,6,0,0,0
VT,50,Manchester Center,CDP,"=""42925""",140,0,140,"282,435",35,"23,545",67,"77,053",13,0,16,126,"489,065",14,"9,509",101,0,47,60,79,0,75,54,0,50,19,27,21,17,17,11,15,0,0,0
VT,50,Marshfield,village,"=""43525""",26,0,26,"52,105",6,"4,238",14,"22,715",0,0,0,22,"77,300",0,"4,165",16,0,6,18,7,0,17,7,0,12,0,6,4,0,0,0,0,0,0,0
VT,50,Middlebury,CDP,"=""44275""",277,0,277,"477,080",79,"60,469",113,"136,092",0,15,27,262,"865,722",15,"11,190",204,0,63,140,113,24,146,103,0,61,46,50,43,26,24,19,30,23,15,0
VT,50,Milton,CDP,"=""45175""",128,0,128,"249,257",39,"31,806",65,"76,971",11,6,10,120,"482,217",7,"7,515",101,0,38,74,48,5,56,58,0,30,14,19,23,15,12,13,12,9,9,0
VT,50,Montpelier,city,"=""46000""",564,0,564,"863,287",147,"123,516",202,"234,724",33,18,51,514,"1,578,823",42,"42,030",400,0,132,330,173,44,299,190,0,145,89,96,103,38,47,44,37,32,27,0
VT,50,Morrisville,village,"=""46825""",168,0,168,"327,864",48,"37,662",85,"106,909",12,0,17,158,"606,783",9,"7,641",136,0,50,93,65,9,70,80,0,41,26,26,31,19,15,20,15,8,8,0
VT,50,Newbury,village,"=""48100""",33,0,33,"67,815",4,"5,557",15,"20,124",0,0,0,30,"119,917",0,"2,406",23,0,9,17,16,0,19,11,0,9,0,0,0,0,0,0,0,0,0,0
VT,50,Newfane,village,"=""48325""",10,0,10,"18,194",3,"2,475",4,"5,231",0,0,0,9,"31,284",0,892,7,0,3,4,6,0,6,4,0,4,0,2,0,0,0,0,0,0,0,0
VT,50,Newport,city,"=""48850""",408,0,408,"806,819",102,"72,842",205,"243,981",24,14,28,383,"1,494,682",25,"14,176",325,0,154,197,196,15,233,132,0,93,64,70,88,44,35,31,33,26,17,0
VT,50,Newport Center,CDP,"=""49000""",24,0,24,"46,252",7,"4,295",11,"15,800",0,0,0,22,"81,911",0,"1,539",17,0,7,8,15,0,14,7,0,8,0,5,5,0,0,0,0,0,0,0
VT,50,North Bennington,village,"=""49075""",94,0,94,"160,519",28,"22,491",41,"48,113",0,0,0,86,"302,469",0,"5,169",73,0,29,53,38,0,46,37,0,29,18,15,16,0,0,11,10,0,0,0
VT,50,Northfield,village,"=""50200""",108,0,108,"212,408",33,"24,240",56,"66,482",0,0,12,104,"414,828",0,"1,602",90,0,43,69,33,0,44,52,0,21,16,17,17,11,14,9,12,0,0,0
VT,50,North Hartland,CDP,"=""50500""",26,0,26,"60,513",4,"2,410",9,"17,913",0,0,0,24,"93,326",0,740,21,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
VT,50,North Springfield,CDP,"=""51925""",46,0,46,"94,982",9,"9,340",24,"26,835",1,1,1,44,"170,840",1,"1,365",37,0,20,22,22,1,18,23,0,3,2,3,3,1,2,2,1,1,1,0
VT,50,North Troy,village,"=""52075""",51,0,51,"116,563",15,"11,297",28,"34,429",0,0,0,47,"198,368",0,"2,257",42,0,21,19,31,0,32,14,0,13,0,7,12,0,7,0,0,0,0,0
VT,50,North Westminster,village,"=""52375""",21,0,21,"43,321",6,"4,447",11,"12,495",0,0,1,21,"82,257",0,404,17,0,11,11,9,1,8,10,0,3,3,4,4,2,3,2,2,1,0,0
VT,50,Norwich,CDP,"=""52825""",25,0,25,"35,641",6,"4,498",8,"9,812",0,0,0,21,"61,415",0,"3,515",17,0,6,14,10,0,14,10,0,9,0,7,6,0,0,0,0,0,0,0
VT,50,Orleans,village,"=""53575""",100,0,100,"213,819",24,"18,740",54,"64,066",0,0,0,95,"394,886",0,"6,499",79,0,42,42,55,0,60,34,0,29,11,14,19,14,14,10,0,0,0,0
VT,50,Perkinsville,village,"=""54850""",7,0,7,"12,249",2,"2,147",3,"3,493",0,0,0,6,"25,976",0,662,5,0,3,4,3,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0
VT,50,Pittsford,CDP,"=""55525""",54,0,54,"106,922",16,"12,191",27,"34,445",0,0,0,50,"199,797",0,"3,315",42,0,16,25,24,0,29,16,0,13,8,9,8,0,0,0,0,0,0,0
VT,50,Plainfield,CDP,"=""55750""",37,0,37,"63,680",12,"9,962",18,"19,560",0,0,5,33,"114,682",0,"2,503",26,0,8,21,14,0,22,12,0,13,5,5,7,0,5,0,0,0,0,0
VT,50,Poultney,village,"=""56800""",99,0,99,"192,343",32,"24,944",49,"55,430",0,0,0,95,"357,318",0,"2,601",80,0,31,57,42,0,49,45,0,21,12,19,15,14,9,9,0,10,0,0
VT,50,Proctorsville,CDP,"=""57400""",31,0,31,"70,556",11,"6,783",18,"23,036",0,0,0,30,"127,084",0,221,24,0,2,15,15,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0
VT,50,Putney,CDP,"=""57625""",44,0,44,"76,697",10,"7,921",17,"19,922",0,0,4,38,"130,031",5,"3,774",31,0,13,25,17,0,24,14,0,17,6,9,10,4,0,4,3,0,0,0
VT,50,Quechee,CDP,"=""57775""",104,0,104,"188,965",18,"19,224",49,"58,132",3,1,3,94,"331,955",2,"9,341",81,0,41,58,43,1,54,39,0,29,5,6,6,4,2,3,4,2,0,0
VT,50,Randolph,CDP,"=""58000""",165,0,165,"329,118",48,"35,697",80,"102,994",14,0,16,157,"605,353",0,"10,403",130,0,60,97,53,14,73,76,0,36,22,28,29,19,19,16,13,10,9,0
VT,50,Readsboro,CDP,"=""58525""",24,0,24,"44,846",4,"2,739",11,"14,075",0,0,0,21,"76,967",0,"2,022",18,0,0,13,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,50,Richford,CDP,"=""59050""",142,0,142,"334,047",36,"29,550",80,"98,618",0,0,0,138,"576,208",0,"2,858",117,0,56,72,68,0,46,80,0,24,13,23,33,17,11,11,13,10,0,0
VT,50,Richmond,CDP,"=""59200""",30,0,30,"48,546",9,"6,640",13,"15,783",0,0,4,27,"88,364",0,"2,068",21,0,9,15,13,0,14,12,0,7,4,7,4,0,0,0,0,0,0,0
VT,50,Rochester,CDP,"=""60025""",20,0,20,"35,285",5,"3,289",9,"8,610",0,0,0,18,"59,472",0,"1,241",14,0,0,11,8,0,8,9,0,7,0,0,0,0,0,0,0,0,0,0
VT,50,Rutland,city,"=""61225""","1,443",22,"1,443","2,739,803",318,"233,439",671,"760,760",48,42,109,"1,377","4,867,803",59,"57,701","1,130",0,527,762,620,55,712,540,0,267,214,265,311,137,131,95,80,70,48,0
VT,50,St. Albans,city,"=""61675""",584,0,584,"1,202,482",168,"134,535",313,"379,108",31,27,46,560,"2,188,579",24,"21,009",477,0,220,297,262,25,221,290,0,121,77,95,112,74,49,54,42,42,38,0
VT,50,St. Johnsbury,CDP,"=""62125""",544,0,544,"1,165,391",138,"102,917",277,"364,794",18,18,43,517,"2,065,285",28,"28,078",431,0,185,235,258,20,221,245,0,123,85,81,85,62,52,46,46,29,26,0
VT,50,Saxtons River,village,"=""62950""",83,0,83,"157,104",22,"18,463",42,"45,935",0,0,1,77,"279,734",0,"3,938",61,0,35,40,39,1,41,31,0,23,3,4,4,2,3,2,2,1,0,0
VT,50,Shelburne,CDP,"=""64225""",24,0,24,"40,579",5,"4,237",9,"12,027",2,0,3,22,"73,008",2,"3,218",18,0,6,14,10,0,12,10,0,6,3,4,6,0,0,2,3,0,0,0
VT,50,South Barre,CDP,"=""66025""",119,0,119,"251,048",34,"27,279",54,"71,894",4,2,3,116,"450,998",2,"3,220",98,0,28,47,27,4,32,40,0,8,7,8,8,5,5,5,4,3,2,0
VT,50,South Burlington,city,"=""66175""",891,2,891,"1,530,761",227,"175,244",376,"444,770",65,48,106,833,"2,841,131",58,"55,306",648,0,211,483,337,70,478,307,0,212,131,169,188,77,70,89,60,64,41,0
VT,50,South Royalton,CDP,"=""68050""",68,0,68,"117,593",17,"13,731",29,"36,304",0,0,7,59,"207,368",9,"5,389",51,0,25,39,26,0,35,27,0,22,15,14,9,6,7,0,6,0,0,0
VT,50,South Shaftsbury,CDP,"=""68200""",48,0,48,"90,575",17,"13,332",24,"29,124",0,0,0,44,"168,311",0,"2,073",34,0,15,26,21,0,27,19,0,17,6,7,7,6,0,0,0,0,0,0
VT,50,Springfield,CDP,"=""69475""",338,0,338,"710,069",96,"73,300",178,"209,064",16,12,26,327,"1,310,418",11,"8,140",293,0,161,168,153,18,135,160,0,62,46,62,67,29,36,34,25,23,15,0
VT,50,Stowe,CDP,"=""70450""",43,0,43,"59,794",8,"6,508",14,"16,510",4,0,4,39,"114,150",3,"2,444",33,0,13,24,17,0,22,14,0,10,6,10,10,4,0,3,0,0,0,0
VT,50,Swanton,village,"=""71650""",198,0,198,"416,391",61,"46,532",104,"127,867",9,7,10,189,"775,995",9,"8,737",161,0,73,99,95,0,75,101,0,41,22,38,34,26,19,20,15,12,13,0
VT,50,Troy,CDP,"=""73450""",21,0,21,"48,867",6,"4,736",12,"14,434",0,0,0,20,"83,162",0,946,18,0,9,8,13,0,13,6,0,6,0,3,5,0,3,0,0,0,0,0
VT,50,Vergennes,city,"=""74650""",150,0,150,"264,234",45,"35,906",70,"82,047",11,0,14,137,"486,776",13,"10,421",112,0,37,85,56,9,79,55,0,39,19,27,31,12,15,14,12,12,0,0
VT,50,Waitsfield,CDP,"=""75250""",11,0,11,"15,818",3,"2,464",4,"4,775",0,0,0,9,"28,707",2,"1,255",7,0,4,6,4,0,6,3,0,4,2,0,2,0,0,0,0,0,0,0
VT,50,Wallingford,CDP,"=""75850""",54,0,54,"106,131",13,"9,421",25,"35,243",0,0,0,49,"187,620",0,"4,078",38,0,14,24,27,0,34,15,0,18,0,10,12,0,0,0,0,0,0,0
VT,50,Waterbury,village,"=""76900""",108,0,108,"197,590",34,"29,818",52,"57,290",9,0,12,102,"371,191",0,"5,635",88,0,41,62,46,0,52,48,0,31,12,17,23,10,9,12,12,0,0,0
VT,50,Websterville,CDP,"=""77800""",56,0,56,"95,828",20,"15,995",25,"30,157",1,1,1,54,"204,326",1,"2,665",50,0,12,20,12,1,14,18,0,3,3,3,3,2,2,2,2,1,1,0
VT,50,Wells,CDP,"=""77875""",31,0,31,"68,605",11,"9,818",19,"19,476",0,0,0,30,"122,368",0,"1,126",23,0,11,10,21,0,17,13,0,10,0,0,7,0,0,0,0,0,0,0
VT,50,Wells River,village,"=""78025""",45,0,45,"90,912",14,"11,926",22,"24,220",0,0,0,43,"158,946",0,311,35,0,11,22,21,0,24,18,0,12,0,0,0,0,0,0,0,0,0,0
VT,50,West Brattleboro,CDP,"=""78850""",221,0,221,"414,319",57,"41,867",101,"113,701",16,10,21,208,"725,471",14,"8,102",174,0,75,126,77,18,105,91,0,52,32,42,46,23,19,21,15,14,10,0
VT,50,West Burke,village,"=""79150""",27,0,27,"62,826",9,"6,763",15,"21,496",0,0,0,26,"115,789",0,"2,250",22,0,7,14,12,0,14,12,0,8,0,0,4,0,0,0,0,0,0,0
