"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WA,53,Aberdeen,city,"=""00100""","1,393",29,"1,393","3,105,878",365,"282,885",780,"1,001,123",54,46,48,"1,358","5,634,753",35,"30,978","1,197",23,473,834,493,66,520,722,0,171,171,237,257,175,141,129,110,97,68,0
WA,53,Aberdeen Gardens,CDP,"=""00135""",25,1,25,"54,683",6,"4,981",14,"17,626",1,1,1,24,"99,206",1,545,21,0,8,15,9,1,9,13,0,3,3,4,5,3,2,2,2,2,1,0
WA,53,Acme,CDP,"=""00275""",21,0,21,"32,102",4,"4,529",6,"9,184",0,0,0,19,"57,358",0,"1,825",15,0,2,14,2,0,10,3,0,2,1,1,1,1,0,1,0,0,0,0
WA,53,Addy,CDP,"=""00380""",16,0,16,"39,962",5,"4,478",9,"14,757",0,0,0,15,"62,024",0,537,13,0,4,9,7,0,9,6,0,6,0,0,4,0,0,0,0,0,0,0
WA,53,Ahtanum,CDP,"=""00800""",382,6,382,"920,966",129,"92,365",238,"319,871",24,14,12,374,"1,716,079",8,"9,293",324,0,105,209,161,13,155,196,0,49,31,46,70,54,47,46,35,25,27,0
WA,53,Airway Heights,city,"=""00905""",574,0,574,"1,363,429",194,"147,045",363,"447,365",44,27,41,564,"2,518,658",0,"15,495",514,0,243,347,209,0,177,335,0,59,55,86,78,71,73,73,46,43,46,0
WA,53,Albion,town,"=""01010""",101,1,101,"183,295",14,"18,438",44,"54,502",2,2,4,99,"323,316",1,809,92,0,6,78,7,0,30,61,0,4,5,6,6,2,2,2,2,2,1,0
WA,53,Alder,CDP,"=""01045""",12,0,12,"26,359",4,"3,356",7,"8,616",0,0,1,12,"48,592",0,185,10,0,4,8,4,0,5,6,0,2,1,2,2,1,1,1,1,1,1,0
WA,53,Alderton,CDP,"=""01150""",160,0,160,"331,819",52,"42,051",85,"104,254",10,7,11,155,"619,170",5,"5,170",139,0,52,104,52,2,62,81,0,23,16,23,28,19,16,17,17,12,11,0
WA,53,Alderwood Manor,CDP,"=""01185""",455,17,455,"868,845",135,"106,292",224,"277,005",25,29,22,427,"1,543,843",28,"30,539",358,0,92,247,180,27,224,178,0,104,57,80,80,43,43,39,43,35,34,0
WA,53,Alger,CDP,"=""01255""",16,0,16,"36,901",5,"4,109",10,"12,122",1,0,1,16,"66,039",0,423,14,0,5,9,7,0,7,7,0,2,2,3,3,2,2,2,2,1,1,0
