"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WI,55,Abbotsford,city,"=""00100""",150,0,150,"353,123",55,"43,612",91,"136,352",0,0,0,144,"621,616",0,"4,338",111,0,25,77,72,0,74,70,0,31,0,0,32,18,18,0,16,17,0,0
WI,55,Abrams,CDP,"=""00150""",15,0,15,"27,170",4,"3,691",7,"8,711",0,0,0,15,"48,928",0,587,13,0,3,8,8,0,11,4,0,5,0,3,0,0,0,0,0,0,0,0
WI,55,Adams,city,"=""00275""",198,0,198,"423,706",43,"34,027",107,"129,533",0,0,0,191,"732,307",0,"3,528",169,0,86,78,112,0,67,108,0,31,22,42,43,26,15,18,0,0,12,0
WI,55,Adell,village,"=""00450""",26,0,26,"48,989",6,"4,909",11,"13,823",0,0,0,24,"78,830",0,"1,313",18,0,0,11,15,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0
WI,55,Albany,village,"=""00750""",66,0,66,"142,343",23,"18,317",37,"49,191",0,0,0,64,"263,465",0,"2,857",53,0,19,30,34,0,33,26,0,18,0,10,0,0,0,0,0,0,0,0
WI,55,Algoma,city,"=""01000""",222,0,222,"476,286",60,"47,066",115,"161,591",14,0,17,213,"845,513",0,"8,442",192,0,64,92,128,0,110,93,0,53,31,39,31,29,23,25,14,0,18,0
WI,55,Allenton,CDP,"=""01100""",40,0,40,"82,381",10,"7,564",20,"23,590",0,0,0,38,"147,051",0,"1,025",32,0,13,22,18,0,19,14,0,0,0,0,9,0,0,0,0,0,0,0
WI,55,Allouez,village,"=""01150""",980,18,980,"2,216,454",263,"205,168",556,"701,770",45,40,76,949,"3,783,830",31,"18,743",834,0,361,496,453,31,510,386,0,154,106,176,211,111,96,85,66,63,61,0
WI,55,Alma,city,"=""01225""",49,0,49,"87,217",11,"8,151",22,"34,302",0,0,0,43,"157,498",0,"4,819",34,0,0,11,38,0,34,11,0,24,9,0,0,0,0,0,0,0,0,0
WI,55,Alma Center,village,"=""01300""",47,0,47,"93,198",20,"16,008",28,"43,030",0,0,0,45,"204,945",0,696,38,0,0,17,30,0,30,15,0,13,0,0,0,0,0,0,0,0,0,0
WI,55,Almena,village,"=""01325""",58,0,58,"132,780",19,"13,859",35,"47,297",0,0,0,53,"224,121",0,"2,110",48,0,20,24,33,0,29,24,0,16,0,10,11,0,0,0,0,0,0,0
WI,55,Almond,village,"=""01400""",31,0,31,"58,058",9,"6,697",16,"18,530",0,0,0,30,"109,380",0,"1,717",25,0,6,14,16,0,18,12,0,7,0,6,7,0,0,0,0,0,0,0
WI,55,Altoona,city,"=""01550""",575,0,575,"1,212,893",148,"121,531",301,"374,123",48,24,58,549,"2,144,164",25,"21,592",492,0,180,302,245,28,288,234,0,105,60,103,121,70,59,42,50,30,37,0
WI,55,Amberg,CDP,"=""01650""",16,0,16,"35,688",2,"1,934",9,"10,337",0,0,0,14,"52,789",0,"1,351",13,0,0,8,7,0,8,7,0,5,0,0,5,0,0,0,0,0,0,0
WI,55,Amery,city,"=""01725""",208,0,208,"430,870",62,"52,443",111,"134,942",11,9,23,195,"772,346",12,"12,473",175,0,69,85,120,0,122,70,0,49,23,31,38,22,26,18,17,17,15,0
WI,55,Amherst,village,"=""01750""",68,0,68,"134,410",16,"12,897",34,"47,231",0,0,7,63,"251,042",0,"4,371",52,0,11,29,36,0,44,20,0,24,8,13,13,0,0,0,0,0,0,0
WI,55,Amherst Junction,village,"=""01800""",16,0,16,"31,262",5,"3,326",8,"9,565",0,0,0,14,"53,738",0,"1,029",12,0,4,5,10,0,9,6,0,6,0,0,0,0,0,0,0,0,0,0
WI,55,Angelica,CDP,"=""01950""",6,0,6,"13,023",2,"1,689",3,"4,632",0,0,0,6,"23,944",0,303,5,0,1,3,3,0,4,2,0,2,1,1,1,1,1,1,1,0,1,0
WI,55,Aniwa,village,"=""02075""",18,0,18,"34,422",2,"2,478",9,"10,666",0,0,0,17,"61,978",0,887,14,0,5,8,10,0,10,6,0,5,0,0,0,0,0,0,0,0,0,0
WI,55,Antigo,city,"=""02250""",695,0,695,"1,452,727",169,"140,978",368,"452,620",21,26,37,670,"2,590,363",25,"22,291",565,0,231,301,384,0,376,253,0,133,80,125,143,74,67,59,53,43,49,0
WI,55,Appleton,city,"=""02375""","4,793",19,"4,793","9,831,783","1,346","1,078,240","2,509","3,269,216",262,272,406,"4,629","17,656,082",157,"142,862","3,986",0,"1,269","2,649","1,834",276,"2,440","1,889",0,730,543,829,892,512,439,428,428,351,319,0
WI,55,Arcadia,city,"=""02500""",165,0,165,"352,340",66,"56,202",93,"133,426",0,0,0,151,"695,489",14,"13,976",123,0,21,38,125,0,103,59,0,42,17,18,28,15,20,19,19,15,14,0
WI,55,Arena,village,"=""02550""",57,0,57,"120,709",20,"14,860",28,"38,178",0,0,0,53,"197,139",0,"3,494",48,0,12,24,32,0,28,25,0,17,0,0,16,0,0,0,0,0,0,0
WI,55,Argonne,CDP,"=""02600""",10,0,10,"20,298",3,"2,368",5,"6,430",0,0,0,9,"34,216",0,325,7,0,0,3,7,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0
WI,55,Argyle,village,"=""02650""",55,0,55,"111,837",17,"13,199",30,"38,680",0,0,0,49,"189,212",0,"9,448",40,0,14,17,38,0,32,20,0,21,0,0,10,0,0,0,0,0,0,0
WI,55,Arkansaw,CDP,"=""02700""",12,0,12,"23,567",4,"2,934",5,"6,555",0,0,0,11,"37,897",0,"1,268",9,0,0,4,8,0,7,4,0,5,0,0,0,0,0,0,0,0,0,0
WI,55,Arkdale,CDP,"=""02725""",13,0,13,"26,280",3,"1,913",6,"7,285",0,0,0,12,"44,963",0,414,10,0,4,5,7,0,6,6,0,4,2,3,3,0,0,0,0,0,0,0
WI,55,Arlington,village,"=""02800""",24,0,24,"50,156",5,"10,224",12,"15,290",0,0,0,23,"86,755",0,658,21,0,0,11,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,55,Arpin,village,"=""03025""",23,0,23,"47,505",7,"5,701",12,"19,364",0,0,0,21,"87,546",0,"2,288",16,0,5,10,11,0,14,7,0,7,0,0,0,0,0,0,0,0,0,0
WI,55,Ashippun,CDP,"=""03175""",7,0,7,"13,238",2,"2,348",4,"5,494",0,0,0,7,"25,621",0,"1,084",6,0,2,3,4,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0
WI,55,Ashland,city,"=""03225""",699,0,699,"1,398,291",159,"120,334",348,"461,874",29,24,51,666,"2,455,161",34,"23,975",576,0,212,385,278,36,325,285,0,144,90,150,141,87,51,48,49,45,34,0
WI,55,Ashwaubenon,village,"=""03425""","1,140",11,"1,140","2,444,315",349,"266,405",615,"786,961",67,59,99,"1,102","4,405,730",38,"35,286",976,0,336,596,516,28,618,427,0,168,109,180,222,125,121,123,107,84,65,0
WI,55,Athens,village,"=""03550""",68,0,68,"129,473",20,"17,741",32,"43,971",0,0,0,61,"235,423",7,"7,817",43,0,13,26,41,0,46,18,0,28,7,9,12,6,7,5,7,0,8,0
WI,55,Auburndale,village,"=""03775""",37,0,37,"70,246",11,"10,304",18,"25,921",0,0,0,35,"137,646",0,"1,769",25,0,0,13,25,0,25,11,0,13,0,0,0,0,0,0,0,0,0,0
WI,55,Augusta,city,"=""03825""",97,0,97,"235,022",29,"24,013",60,"84,311",0,0,0,93,"416,484",0,"3,060",79,0,26,40,53,0,59,31,0,26,11,16,16,12,0,0,0,0,11,0
WI,55,Avoca,village,"=""04025""",58,0,58,"118,888",15,"11,826",28,"33,400",0,0,0,53,"210,049",0,"2,706",43,0,17,2,43,0,29,24,0,18,1,1,1,1,1,1,0,1,0,0
WI,55,Bagley,village,"=""04250""",27,0,27,"58,848",4,"7,283",14,"16,730",0,0,0,25,"96,745",0,"3,108",20,0,0,10,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
WI,55,Baileys Harbor,CDP,"=""04300""",14,0,14,"22,553",2,"2,261",6,"7,080",0,0,0,13,"41,119",0,938,10,0,0,6,8,0,9,5,0,5,0,0,0,0,0,0,0,0,0,0
WI,55,Baldwin,village,"=""04400""",209,0,209,"427,269",72,"59,381",114,"139,484",19,14,28,196,"779,593",0,"17,312",176,0,61,107,99,0,103,91,0,39,16,33,34,17,22,27,20,23,16,0
WI,55,Balsam Lake,village,"=""04475""",68,0,68,"142,823",22,"15,924",36,"45,065",0,0,0,64,"246,042",0,"2,192",57,0,19,29,37,0,41,21,0,20,0,12,12,0,1,0,0,0,0,0
WI,55,Bancroft,CDP,"=""04525""",37,0,37,"82,998",14,"9,815",22,"32,304",0,0,0,36,"156,145",0,103,30,0,12,14,21,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0
WI,55,Bangor,village,"=""04550""",66,0,66,"139,699",22,"20,434",35,"46,191",0,0,0,61,"258,301",0,"5,766",54,0,19,26,39,0,44,19,0,22,0,10,11,0,0,0,0,0,0,0
WI,55,Baraboo,city,"=""04625""","1,022",0,"1,022","2,112,855",296,"226,947",528,"665,006",67,43,64,979,"3,731,065",43,"26,535",867,0,326,450,547,25,436,484,0,159,105,157,212,135,104,102,78,62,64,0
WI,55,Barneveld,village,"=""04775""",50,0,50,"87,745",15,"11,549",25,"29,643",0,0,0,42,"169,383",0,"12,294",37,0,12,23,26,0,28,19,0,19,0,0,0,0,0,0,0,0,0,0
WI,55,Barron,city,"=""04875""",420,33,420,"851,365",118,"97,874",216,"288,910",0,0,19,404,"1,566,661",17,"24,112",306,0,118,134,281,0,177,195,0,77,59,72,64,40,42,54,40,23,25,0
WI,55,Barronett,CDP,"=""04925""",6,0,6,"15,920",1,759,4,"5,892",0,0,0,5,"25,930",0,398,5,0,0,0,4,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0
WI,55,Bay City,village,"=""05325""",24,0,24,"45,405",3,"6,217",12,"10,506",0,0,0,21,"78,510",0,"1,806",19,0,10,15,9,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0
WI,55,Bayfield,city,"=""05350""",86,0,86,"183,049",21,"15,418",46,"55,901",0,0,0,82,"324,548",0,"1,722",68,0,26,54,17,15,39,39,0,9,11,17,18,10,8,8,6,0,0,0
WI,55,Bayside,village,"=""05450""",98,0,98,"158,775",19,"14,217",39,"48,799",6,9,10,90,"273,141",8,"6,915",73,0,17,55,41,0,58,31,0,29,14,22,19,7,8,8,9,7,5,0
WI,55,Bear Creek,village,"=""05575""",23,0,23,"49,830",8,"6,300",12,"18,317",0,0,0,21,"85,539",0,734,18,0,0,8,15,0,15,7,0,7,0,0,0,0,0,0,0,0,0,0
WI,55,Beaver Dam,city,"=""05900""","1,238",18,"1,238","2,525,221",372,"318,857",646,"797,711",92,43,75,"1,200","4,600,192",38,"24,237","1,058",0,433,564,633,41,520,600,0,174,135,191,225,145,122,106,112,96,101,0
WI,55,Belgium,village,"=""06150""",92,0,92,"169,457",27,"21,236",46,"63,837",0,0,0,86,"347,999",0,"5,194",73,0,23,44,45,0,49,37,0,18,0,0,14,0,0,14,0,0,0,0
WI,55,Bell Center,village,"=""06225""",8,0,8,"19,588",2,"1,093",5,"6,774",0,0,0,7,"31,017",0,445,6,0,2,3,5,0,5,3,0,3,1,0,1,0,0,1,0,0,0,0
