"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WV,54,Accoville,CDP,"=""00196""",113,0,113,"280,434",14,"17,579",76,"83,099",0,0,0,112,"489,187",0,454,103,0,72,55,54,0,39,66,0,2,0,0,3,2,0,0,0,0,0,0
WV,54,Addison (Webster Springs),town,"=""00364""",95,0,95,"211,564",18,"13,329",47,"59,934",0,0,0,93,"371,663",0,"2,065",77,0,27,59,28,8,35,46,0,15,16,15,18,13,11,9,0,0,0,0
WV,54,Albright,town,"=""00748""",30,0,30,"62,488",7,"4,714",15,"17,375",0,0,0,27,"112,204",0,"1,834",24,0,9,18,12,0,17,12,0,9,0,5,0,5,0,0,0,0,0,0
WV,54,Alderson,town,"=""00772""",113,0,113,"272,040",29,"23,297",66,"83,099",0,0,0,109,"471,374",0,"2,649",98,0,50,69,39,0,51,52,0,23,13,20,24,14,13,10,0,0,8,0
WV,54,Alum Creek,CDP,"=""01396""",115,0,115,"249,442",29,"22,610",63,"77,506",0,0,0,111,"464,142",0,"1,656",96,0,53,66,47,0,47,59,0,14,0,22,20,12,13,0,0,0,0,0
WV,54,Amherstdale,CDP,"=""01660""",12,0,12,"29,249",4,"2,578",7,"8,492",0,0,0,11,"53,122",0,84,10,0,7,6,5,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Anawalt,town,"=""01780""",54,0,54,"115,439",12,"8,434",30,"25,757",0,0,0,54,"196,367",0,84,42,0,5,27,6,2,6,6,0,1,1,2,3,2,2,1,1,0,0,0
WV,54,Anmoore,town,"=""01900""",151,1,151,"352,387",42,"31,784",85,"100,908",1,1,3,145,"619,777",1,"4,261",126,0,80,73,74,2,74,65,0,8,7,11,11,7,5,4,3,3,3,0
WV,54,Ansted,town,"=""01996""",139,0,139,"336,039",39,"29,295",81,"108,501",0,0,0,137,"621,637",0,520,118,0,51,101,35,0,52,76,0,3,0,21,25,19,0,0,17,0,0,0
WV,54,Apple Grove,CDP,"=""02188""",14,0,14,"31,638",3,"2,752",7,"9,762",0,0,0,13,"56,741",0,234,11,0,5,5,9,0,6,7,0,3,0,0,0,0,0,0,0,0,0,0
WV,54,Athens,town,"=""03292""",53,0,53,"109,558",12,"9,404",26,"31,974",0,1,1,51,"200,005",1,"1,684",43,0,21,29,22,0,22,25,0,4,2,10,11,4,2,2,2,2,1,0
WV,54,Auburn,town,"=""03364""",12,0,12,"28,279",4,"3,712",4,"9,421",0,0,0,11,"61,394",0,640,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Aurora,CDP,"=""03460""",18,0,18,"36,636",5,"4,206",9,"10,080",0,0,0,16,"69,227",0,"1,221",14,0,5,8,10,0,8,8,0,5,1,1,1,1,1,1,0,0,0,0
WV,54,Bancroft,town,"=""04204""",93,0,93,"204,593",19,"13,607",47,"58,178",0,0,0,92,"373,126",0,195,86,0,47,58,18,0,14,49,0,5,4,8,8,5,4,5,3,0,3,0
WV,54,Barboursville,village,"=""04276""",272,0,272,"571,942",78,"62,995",147,"175,447",8,9,16,263,"1,035,896",9,"8,045",234,0,89,139,124,8,115,129,0,49,25,49,60,35,25,22,19,15,22,0
WV,54,Barrackville,town,"=""04612""",191,1,191,"410,369",50,"40,941",109,"120,095",3,2,6,186,"754,035",2,"6,758",167,0,87,114,74,2,93,77,0,13,11,19,22,12,8,7,7,4,4,0
WV,54,Bartley,CDP,"=""04732""",9,0,9,"21,388",2,"1,001",5,"5,325",0,0,0,9,"36,197",0,0,8,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Bartow,CDP,"=""04780""",16,0,16,"38,509",3,"1,951",9,"12,497",0,0,0,16,"69,828",0,37,14,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Bath (Berkeley Springs),town,"=""04876""",60,0,60,"129,733",15,"11,184",32,"38,128",1,2,3,57,"230,656",2,"1,428",53,0,25,32,26,1,26,26,0,13,7,11,12,8,5,4,4,4,4,0
WV,54,Bayard,town,"=""04924""",30,0,30,"54,325",6,"4,457",9,"14,313",0,0,0,27,"94,804",0,"2,752",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Beards Fork,CDP,"=""05068""",16,0,16,"38,426",3,"2,832",10,"9,943",0,0,0,16,"68,532",0,0,14,0,9,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Beaver,CDP,"=""05260""",100,0,100,"221,763",25,"19,038",55,"65,660",0,0,0,97,"395,014",0,"2,620",85,0,40,53,42,5,39,49,0,14,14,14,22,15,9,11,5,5,5,0
WV,54,Beckley,city,"=""05332""","1,565",15,"1,565","3,642,653",334,"244,926",890,"1,057,960",37,42,71,"1,536","6,228,163",27,"23,721","1,345",0,736,847,635,76,632,754,0,189,190,296,364,198,141,103,87,63,52,0
WV,54,Beech Bottom,village,"=""05452""",35,0,35,"70,545",9,"6,893",17,"18,984",0,0,2,34,"131,278",0,598,30,0,14,15,16,4,17,14,0,6,4,7,7,4,3,3,2,2,2,0
WV,54,Belington,town,"=""05788""",192,0,192,"432,073",46,"34,522",103,"131,912",0,0,8,187,"781,850",0,"1,660",165,0,55,81,101,10,83,84,0,34,24,30,44,22,23,15,14,0,13,0
WV,54,Belle,town,"=""05836""",75,0,75,"175,480",21,"15,699",46,"52,589",0,0,0,74,"309,938",0,"1,678",64,0,39,43,29,0,26,41,0,9,8,11,17,9,9,6,5,5,5,0
WV,54,Belmont,city,"=""06004""",45,0,45,"111,183",6,"7,713",27,"29,479",0,0,0,45,"190,483",0,109,41,0,28,19,23,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Belva,CDP,"=""06052""",14,0,14,"32,957",4,"3,692",4,"10,695",0,0,0,14,"64,699",0,0,11,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Benwood,city,"=""06340""",153,0,153,"382,252",40,"29,447",87,"111,517",0,0,0,152,"677,811",0,91,132,0,66,70,64,18,67,73,0,0,0,21,40,24,15,0,0,0,0,0
WV,54,Bergoo,CDP,"=""06436""",10,0,10,"21,564",2,"1,359",5,"6,109",0,0,0,9,"37,883",0,210,8,0,3,6,3,1,4,5,0,2,2,1,2,1,1,1,0,0,0,0
WV,54,Berwind,CDP,"=""06748""",6,0,6,"14,799",1,973,4,"4,006",0,0,0,6,"25,624",0,43,5,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Bethany,town,"=""06844""",22,0,22,"32,532",5,"3,856",5,"6,788",0,0,0,21,"63,479",0,262,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Bethlehem,village,"=""06940""",199,2,199,"417,500",42,"32,373",99,"116,283",6,7,11,193,"722,959",5,"3,593",162,0,73,93,76,30,105,74,0,29,27,40,47,24,17,14,12,9,8,0
WV,54,Beverly,town,"=""06988""",73,0,73,"161,721",19,"14,787",40,"45,708",0,0,0,70,"297,108",0,"1,949",63,0,32,42,27,0,27,37,0,10,7,12,16,10,8,6,6,0,0,0
WV,54,Big Chimney,CDP,"=""07204""",110,1,110,"236,827",23,"17,016",54,"64,794",2,2,3,108,"408,390",1,950,96,0,31,61,22,2,23,55,0,8,8,13,15,9,7,4,4,3,2,0
WV,54,Big Creek,CDP,"=""07228""",27,0,27,"77,417",5,"4,977",17,"22,722",0,0,0,27,"131,236",0,197,25,0,18,0,17,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Big Sandy,CDP,"=""07516""",46,0,46,"122,280",9,"6,386",27,"42,618",0,0,0,44,"214,400",0,350,39,0,3,26,4,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Birch River,CDP,"=""07756""",8,0,8,"15,591",2,"1,718",4,"4,868",0,0,0,7,"30,073",0,234,7,0,3,4,3,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0
WV,54,Blacksville,town,"=""08092""",16,0,16,"42,257",4,"4,074",11,"12,838",0,0,0,16,"84,774",0,0,14,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Blennerhassett,CDP,"=""08308""",245,2,245,"552,987",58,"45,898",132,"168,239",3,3,13,239,"964,838",3,"4,660",211,0,100,145,89,7,110,110,0,36,31,41,52,34,21,19,15,15,17,0
WV,54,Bluefield,city,"=""08524""","1,216",12,"1,216","2,970,308",230,"166,214",696,"854,606",18,42,38,"1,193","4,872,879",23,"20,445","1,072",0,668,589,590,37,510,568,0,211,147,230,280,181,113,88,71,54,48,0
WV,54,Bluewell,CDP,"=""08764""",249,3,249,"607,112",47,"33,973",142,"174,676",4,9,8,244,"995,986",5,"4,179",219,0,137,120,120,8,104,116,0,43,30,47,57,37,23,18,15,11,10,0
WV,54,Boaz,CDP,"=""08836""",84,0,84,"171,841",22,"18,966",43,"50,650",0,5,7,81,"324,821",0,"1,600",72,0,32,49,31,0,40,35,0,15,10,11,17,11,7,7,5,6,8,0
WV,54,Bolivar,town,"=""08932""",70,0,70,"145,101",19,"14,757",39,"50,610",3,0,3,67,"271,752",3,"2,835",60,0,31,44,25,0,34,28,0,16,8,13,14,7,7,6,5,4,6,0
WV,54,Bolt,CDP,"=""08956""",34,0,34,"73,266",8,"7,306",8,"15,830",0,0,0,33,"124,426",0,251,27,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Boomer,CDP,"=""09100""",71,0,71,"154,452",12,"13,825",40,"39,652",0,0,0,71,"275,706",0,0,63,0,42,43,28,0,4,39,0,0,3,3,3,0,0,0,0,0,0,0
WV,54,Bradley,CDP,"=""09676""",218,0,218,"496,550",62,"48,194",126,"152,652",0,0,0,213,"888,704",0,"7,912",187,0,95,106,104,0,91,104,0,17,18,21,31,21,13,12,11,5,6,0
WV,54,Bradshaw,town,"=""09700""",85,0,85,"211,924",10,"14,159",52,"60,944",0,0,0,84,"342,057",0,483,76,0,48,50,35,0,6,57,0,4,0,0,5,0,0,0,0,0,0,0
WV,54,Bramwell,town,"=""09796""",23,0,23,"57,413",4,"5,838",14,"17,711",0,0,0,23,"103,185",0,0,20,0,12,11,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Brandonville,town,"=""09844""",8,0,8,"17,232",2,"1,271",4,"5,631",0,0,1,7,"30,639",0,231,6,0,2,4,3,0,4,3,0,2,1,1,2,1,1,0,1,0,0,0
WV,54,Brandywine,CDP,"=""09868""",29,0,29,"67,768",8,"5,971",18,"22,837",0,0,0,29,"131,833",0,199,26,0,15,13,16,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,Brenton,CDP,"=""09964""",12,0,12,"30,358",2,"1,661",6,"8,672",0,0,0,12,"45,672",0,0,9,0,6,3,6,2,7,4,0,3,0,2,3,0,0,0,0,0,0,0
WV,54,Bridgeport,city,"=""10180""",430,0,430,"853,859",116,"85,881",221,"269,605",18,17,31,408,"1,574,447",21,"20,985",350,0,123,239,148,0,187,173,0,74,47,74,85,42,33,26,38,30,23,0
WV,54,Brookhaven,CDP,"=""10420""",389,4,389,"793,213",88,"73,079",193,"235,603",14,15,26,374,"1,440,208",11,"11,810",336,0,149,259,120,7,195,128,0,54,41,58,70,41,28,26,23,17,16,0
WV,54,Bruceton Mills,town,"=""10852""",7,0,7,"15,399",2,"1,136",4,"5,032",0,0,0,6,"27,380",0,207,6,0,2,4,3,0,4,2,0,2,1,1,1,1,1,0,1,0,0,0
WV,54,Bruno,CDP,"=""10876""",78,0,78,"191,130",14,"14,282",44,"62,570",0,0,0,75,"344,942",0,"3,708",67,0,45,36,40,0,10,42,0,4,0,0,6,3,0,0,0,0,0,0
WV,54,Brush Fork,CDP,"=""10948""",141,1,141,"343,540",27,"19,224",81,"98,842",2,5,4,138,"563,587",3,"2,365",124,0,77,68,68,4,59,66,0,24,17,27,32,21,13,10,8,6,6,0
WV,54,Buckhannon,city,"=""11188""",495,0,495,"1,108,159",114,"90,240",269,"331,970",9,10,24,482,"1,973,441",13,"9,529",419,0,212,226,256,13,214,223,0,75,65,91,105,68,47,34,25,27,31,0
