"STATE","STFIPS","city","CLASS","plc_fip","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
WY,56,Afton,town,"=""00245""",123,0,123,"291,784",42,"32,430",79,"117,591",0,0,11,118,"493,638",0,"4,880",100,0,31,65,58,0,68,46,0,45,16,21,16,13,15,0,0,0,16,0
WY,56,Albin,town,"=""00825""",10,0,10,"25,075",4,"2,816",4,"11,787",0,0,0,9,"48,645",0,64,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Alpine,town,"=""01695""",55,0,55,"107,942",13,"14,179",25,"38,424",0,0,0,51,"185,273",0,"4,830",42,0,0,33,21,0,32,13,0,21,0,0,0,0,0,0,0,0,0,0
WY,56,Alpine Northeast,CDP,"=""01888""",18,0,18,"32,846",5,"4,676",7,"8,649",0,0,0,17,"57,175",0,"1,893",13,0,0,11,7,0,10,6,0,6,0,0,0,0,0,0,0,0,0,0
WY,56,Alpine Northwest,CDP,"=""01936""",22,0,22,"39,050",6,"5,559",9,"10,283",0,0,0,20,"67,975",0,"2,250",15,0,0,13,8,0,12,8,0,7,0,0,0,0,0,0,0,0,0,0
WY,56,Alta,CDP,"=""01985""",16,0,16,"30,902",5,"3,269",7,"10,669",0,0,0,7,"48,898",0,"2,098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Antelope Valley-Crestview,CDP,"=""02900""",78,0,78,"176,111",27,"20,721",48,"57,047",7,2,5,76,"334,864",2,"2,268",69,0,37,36,41,0,35,37,0,12,8,13,14,9,9,7,9,5,4,0
WY,56,Arapahoe,CDP,"=""03000""",245,1,245,"605,302",85,"60,253",167,"233,611",4,2,3,243,"1,156,494",2,"2,100",227,24,151,29,198,0,134,95,0,9,31,14,11,8,8,6,6,5,4,0
WY,56,Arlington,CDP,"=""03245""",1,0,1,"3,386",1,272,1,"1,292",0,0,0,1,"5,291",0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Auburn,CDP,"=""04160""",19,0,19,"40,705",5,"7,757",13,"24,144",0,0,0,17,"81,211",0,"2,627",15,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Baggs,town,"=""04740""",21,0,21,"35,459",7,"6,087",7,"15,605",0,0,0,19,"74,376",0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Bar Nunn,town,"=""05245""",132,1,132,"270,730",37,"27,595",68,"83,270",8,3,6,129,"492,704",3,"3,268",113,0,54,72,53,7,59,57,0,17,17,27,24,15,14,11,10,7,7,0
WY,56,Basin,town,"=""05320""",76,0,76,"177,538",20,"15,038",40,"52,331",0,0,0,73,"285,105",0,"4,430",63,0,26,38,38,0,32,34,0,21,0,0,0,0,0,0,0,0,0,0
WY,56,Bear River,town,"=""05625""",32,0,32,"76,870",10,"7,397",20,"26,324",1,1,2,32,"139,837",0,442,29,0,14,17,16,0,13,17,0,4,3,6,6,4,4,3,3,2,2,0
WY,56,Bedford,CDP,"=""06045""",5,0,5,"10,370",2,"1,176",2,"3,287",0,0,0,5,"18,488",0,103,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Big Horn,CDP,"=""06770""",60,0,60,"108,532",16,"16,190",22,"37,983",2,1,1,58,"226,374",1,"1,275",51,0,9,15,10,1,12,11,0,5,3,5,5,3,2,2,2,2,2,0
WY,56,Big Piney,town,"=""07060""",23,0,23,"47,454",7,"5,641",13,"14,926",0,0,0,22,"87,197",0,364,17,0,8,14,9,0,11,9,0,5,0,6,0,0,0,0,0,0,0,0
WY,56,Boulder,CDP,"=""09235""",0,0,0,"12,893",0,"1,404",0,"5,512",0,0,0,0,"22,519",0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,Boulder Flats,CDP,"=""09307""",18,0,18,"35,937",5,"4,298",9,"11,430",1,1,1,18,"65,511",1,615,15,0,8,10,8,0,7,9,0,3,3,3,3,2,2,2,1,1,1,0
WY,56,Brookhurst,CDP,"=""10175""",19,0,19,"43,566",6,"4,396",11,"13,908",1,0,0,19,"81,028",0,197,16,0,9,9,9,0,9,8,0,2,3,3,4,3,2,2,1,0,1,0
WY,56,Buffalo,city,"=""10685""",257,0,257,"486,575",71,"62,368",127,"165,520",0,0,13,240,"888,124",15,"15,672",216,0,68,117,136,0,124,97,0,72,27,51,59,22,23,17,20,0,21,0
WY,56,Burlington,town,"=""11120""",17,0,17,"36,745",4,"6,501",13,"26,503",0,0,0,16,"76,926",0,"1,505",15,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
