"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AL,01,Congressional District 1,"=""0101 """,19,0,19,"52,560",4,"2,743",12,"14,351",1,1,0,18,"82,854",0,437,17,0,9,10,9,0,10,7,0,5,2,3,4,3,2,2,2,1,1,0
AL,01,Congressional District 1,"=""0101 """,159,0,159,"469,619",32,"16,314",93,"115,374",0,0,0,155,"672,815",0,"3,720",142,0,111,48,104,0,106,46,0,41,0,27,34,39,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","1,705",23,"1,705","4,780,494",381,"279,181","1,110","1,389,139",66,66,35,"1,674","7,667,830",31,"20,510","1,555",0,968,810,855,40,817,778,0,352,111,281,415,288,169,152,119,97,71,0
AL,01,Congressional District 1,"=""0101 """,81,0,81,"183,772",9,"13,620",39,"48,577",0,0,0,78,"309,278",0,939,71,0,35,30,45,0,49,29,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,50,0,50,"132,929",14,"10,151",30,"35,063",0,0,0,49,"217,839",0,236,46,0,27,21,28,0,28,19,0,10,3,6,13,6,6,5,5,0,0,0
AL,01,Congressional District 1,"=""0101 """,68,0,68,"181,322",9,"16,820",43,"53,604",0,0,0,66,"298,794",0,"1,315",59,0,36,32,36,0,37,30,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,407,0,407,"1,083,981",110,"81,718",268,"334,478",0,0,0,397,"1,810,561",0,"9,071",374,0,217,160,240,0,245,144,0,80,40,53,85,69,44,39,33,0,29,0
AL,01,Congressional District 1,"=""0101 """,69,0,69,"207,811",9,"12,938",41,"56,430",0,0,0,69,"328,021",0,0,62,0,40,31,38,0,36,30,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,523,0,523,"1,599,974",117,"84,688",328,"438,569",0,0,0,510,"2,353,654",0,"12,843",470,0,308,218,300,0,313,192,0,146,34,71,134,93,56,53,30,28,22,0
AL,01,Congressional District 1,"=""0101 """,341,0,341,"1,030,833",68,"46,166",206,"261,213",14,16,0,337,"1,566,129",0,"3,402",315,0,221,96,243,0,183,147,0,85,14,49,88,59,48,27,22,21,0,0
AL,01,Congressional District 1,"=""0101 """,35,0,35,"119,806",6,"4,021",22,"30,651",0,0,0,35,"180,050",0,0,32,0,23,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","1,152",22,"1,152","3,767,608",237,"154,312",776,"971,236",53,55,24,"1,136","5,432,575",0,"14,904","1,067",0,643,580,566,0,638,473,0,275,55,175,298,230,138,108,74,37,36,0
AL,01,Congressional District 1,"=""0101 """,171,0,171,"550,255",28,"20,385",109,"138,872",0,0,0,169,"794,170",0,"3,543",155,0,98,60,110,0,111,56,0,41,0,21,40,34,23,25,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,147,0,147,"484,408",34,"20,259",89,"118,104",0,0,0,144,"700,014",0,"1,357",137,0,94,69,75,0,86,58,0,36,0,0,30,33,20,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,30,0,30,"88,409",7,"5,107",20,"23,740",0,0,0,29,"134,019",0,310,28,0,16,14,16,0,17,13,0,7,0,5,7,5,3,4,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,155,0,155,"450,648",32,"21,490",99,"136,001",0,0,0,151,"690,226",0,"3,865",130,0,56,80,73,0,94,52,0,43,0,0,42,31,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,73,0,73,"235,798",9,"7,525",43,"54,505",0,0,0,73,"339,648",0,0,63,0,45,29,43,0,36,34,0,0,0,0,26,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,5,0,5,"15,714",1,872,3,"3,547",0,0,0,5,"23,711",0,0,5,0,4,2,4,0,3,2,0,1,0,0,2,1,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,8,0,8,"17,139",1,"1,597",4,"4,528",0,0,0,7,"29,272",0,602,6,0,4,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","2,074",28,"2,074","6,413,840",490,"315,798","1,394","1,817,196",86,145,43,"2,050","9,982,565",24,"15,820","1,930",0,"1,206","1,044","1,012",0,"1,045",945,0,590,81,301,499,393,281,198,151,111,56,0
AL,01,Congressional District 1,"=""0101 """,88,0,88,"230,945",23,"17,415",52,"56,098",0,0,0,86,"386,240",0,"1,488",81,0,41,43,44,0,38,44,0,0,0,0,21,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,161,0,161,"485,488",42,"32,187",107,"142,441",0,0,0,155,"760,491",0,"2,373",144,0,89,50,107,0,86,72,0,46,0,0,44,25,28,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","2,196",31,"2,196","6,515,478",553,"374,913","1,481","1,931,424",135,113,51,"2,151","10,376,176",45,"32,229","2,049",22,"1,130","1,077","1,103",0,"1,186",928,0,519,115,278,519,396,289,205,172,128,89,0
AL,01,Congressional District 1,"=""0101 """,359,0,359,"1,027,261",52,"38,457",213,"274,568",0,0,0,339,"1,442,632",0,"24,124",261,0,141,80,256,23,232,110,0,104,27,75,112,60,34,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,128,0,128,"367,782",34,"22,405",88,"118,110",0,0,0,118,"558,281",0,"9,383",104,0,69,51,74,0,95,28,0,40,0,0,40,27,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,90,0,90,"256,228",9,"16,855",54,"66,272",0,0,0,88,"388,804",0,554,81,0,57,21,66,0,48,38,0,34,0,21,21,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,233,0,233,"692,863",48,"28,387",144,"169,803",0,0,0,227,"1,025,806",0,"5,491",207,0,125,71,159,0,157,70,0,73,0,29,68,37,33,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,502,0,502,"1,461,849",112,"80,463",349,"463,602",0,21,0,487,"2,258,097",0,"7,346",456,0,251,169,329,0,307,178,0,173,37,76,138,69,48,32,43,28,30,0
AL,01,Congressional District 1,"=""0101 """,925,0,925,"2,833,341",186,"143,201",635,"806,582",23,37,23,905,"4,214,401",0,"28,257",853,0,522,229,691,0,545,344,0,336,48,167,237,166,92,68,56,40,48,0
AL,01,Congressional District 1,"=""0101 """,299,0,299,"827,518",54,"37,615",202,"244,293",0,0,0,289,"1,179,128",0,"6,729",265,0,139,111,182,0,202,81,0,112,27,68,81,39,27,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,192,0,192,"522,057",47,"36,374",123,"150,498",0,0,0,184,"841,642",0,"5,663",177,0,106,68,124,0,119,65,0,57,0,32,47,26,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","1,908",0,"1,908","4,720,921",516,"393,183","1,161","1,489,213",171,164,134,"1,847","8,099,918",61,"60,074","1,714",0,859,"1,018",854,36,"1,032",759,0,480,109,279,398,264,223,203,175,133,117,0
AL,01,Congressional District 1,"=""0101 """,529,0,529,"1,245,704",138,"100,711",311,"390,067",48,32,46,501,"2,077,197",28,"51,616",457,0,227,291,232,0,291,193,0,155,35,98,111,65,59,44,37,42,37,0
AL,01,Congressional District 1,"=""0101 """,70,0,70,"147,553",9,"13,571",35,"43,464",0,0,0,66,"228,989",0,"4,075",57,0,32,28,41,0,48,0,0,32,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,64,0,64,"190,672",9,"6,883",41,"48,498",0,0,0,62,"284,691",0,"1,304",58,0,39,0,44,0,38,24,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,681,0,681,"1,684,575",166,"117,823",413,"509,749",40,21,29,651,"2,678,032",30,"38,895",590,0,294,383,293,0,354,270,0,186,56,129,153,90,81,64,43,27,37,0
AL,01,Congressional District 1,"=""0101 ""","1,644",0,"1,644","4,109,168",365,"269,533",961,"1,200,134",94,79,118,"1,571","6,398,326",72,"62,949","1,470",0,752,850,766,28,972,545,0,512,142,273,402,231,172,151,121,73,75,0
AL,01,Congressional District 1,"=""0101 """,79,0,79,"174,338",9,"8,888",37,"43,870",0,0,0,69,"269,518",0,"8,840",62,0,30,42,35,0,45,26,0,22,0,0,23,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","2,976",52,"2,976","8,146,795",708,"504,477","1,900","2,391,693",164,103,95,"2,884","12,710,759",92,"84,984","2,676",0,"1,514","1,647","1,305",24,"1,667","1,109",0,790,222,511,745,460,325,245,188,151,124,0
AL,01,Congressional District 1,"=""0101 """,174,0,174,"510,675",45,"28,999",110,"146,848",0,0,0,168,"771,607",0,"8,307",152,0,75,91,81,0,104,60,0,51,0,0,41,33,27,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,49,0,49,"148,708",4,"2,905",33,"33,589",0,0,0,48,"219,683",0,402,46,0,28,0,31,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,55,0,55,"124,437",9,"10,826",33,"36,887",0,0,0,51,"201,702",0,"2,347",47,0,25,0,34,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","1,541",0,"1,541","4,545,256",367,"276,636","1,066","1,377,212",65,58,52,"1,511","6,994,555",30,"17,077","1,412",0,849,546,967,28,940,541,0,399,90,245,385,249,174,124,111,70,89,0
AL,01,Congressional District 1,"=""0101 ""","1,082",0,"1,082","2,421,176",253,"197,866",594,"720,385",76,40,60,"1,013","3,820,045",68,"64,802",922,0,476,665,405,0,621,349,0,348,111,206,250,141,94,97,72,54,56,0
AL,01,Congressional District 1,"=""0101 ""","1,493",24,"1,493","4,221,294",377,"266,336",990,"1,292,674",40,47,44,"1,464","6,534,064",28,"34,461","1,279",0,722,533,926,34,880,527,0,410,98,257,385,238,137,111,103,88,72,0
AL,01,Congressional District 1,"=""0101 """,624,0,624,"1,933,156",117,"76,531",398,"476,113",20,39,15,610,"2,821,894",14,"12,293",576,0,433,181,438,0,344,261,0,164,32,89,189,105,65,52,45,29,17,0
AL,01,Congressional District 1,"=""0101 """,148,0,148,"348,141",30,"20,688",73,"92,731",0,0,0,140,"493,850",0,"11,008",119,0,46,74,73,0,98,43,0,69,0,30,33,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,96,0,96,"297,529",28,"21,512",61,"79,034",0,0,0,94,"461,210",0,"1,224",89,0,67,24,71,0,48,44,0,28,0,0,22,22,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,307,0,307,"688,010",66,"43,684",167,"208,687",0,0,0,289,"1,106,584",0,"9,829",264,0,92,151,146,0,190,87,0,99,45,54,64,47,35,21,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,869,0,869,"2,395,303",210,"158,112",565,"715,301",56,42,36,853,"3,788,936",0,"15,096",794,0,466,424,438,0,472,343,0,252,50,148,208,121,93,88,66,54,38,0
AL,01,Congressional District 1,"=""0101 """,515,0,515,"1,679,631",109,"78,813",342,"440,173",25,46,0,513,"2,388,948",0,"3,261",490,0,372,123,391,0,319,184,0,210,0,91,139,77,56,43,43,29,24,0
AL,01,Congressional District 1,"=""0101 """,79,0,79,"164,302",9,"8,056",37,"52,664",0,0,0,72,"260,581",0,"4,242",65,0,32,39,40,0,44,24,0,25,0,0,21,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,38,0,38,"123,155",3,"2,188",21,"29,516",0,0,0,37,"176,729",0,167,35,0,28,0,31,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,314,0,314,"881,138",64,"49,243",176,"226,097",0,0,0,297,"1,346,370",0,"12,588",259,0,145,81,227,0,226,81,0,114,0,47,71,55,37,29,0,0,21,0
AL,01,Congressional District 1,"=""0101 """,32,0,32,"73,881",4,"2,730",9,"17,951",0,0,0,31,"105,114",0,915,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,596,0,596,"1,839,305",130,"83,408",394,"471,036",0,32,0,580,"2,685,850",0,"15,400",553,0,372,160,422,0,370,215,0,209,27,101,160,110,67,32,48,39,0,0
AL,01,Congressional District 1,"=""0101 """,425,0,425,"872,116",80,"59,933",210,"245,588",27,0,0,394,"1,307,881",31,"37,185",345,0,163,237,182,0,241,132,0,151,50,85,116,50,26,29,32,0,0,0
AL,01,Congressional District 1,"=""0101 """,204,0,204,"543,326",51,"40,538",133,"156,282",0,0,0,198,"879,537",0,"4,265",181,0,87,105,94,0,116,79,0,48,0,30,56,24,21,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,71,0,71,"150,758",9,"10,300",34,"38,116",0,0,0,67,"240,847",0,"3,022",60,0,46,25,45,0,37,26,0,25,0,0,22,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","1,407",0,"1,407","3,725,004",407,"303,429",920,"1,199,095",84,54,71,"1,368","6,111,860",39,"39,516","1,274",0,680,748,641,0,733,594,0,333,108,194,303,205,164,117,127,99,86,0
AL,01,Congressional District 1,"=""0101 """,87,0,87,"250,678",9,"8,060",48,"63,678",0,0,0,83,"371,825",0,"2,411",77,0,55,0,64,0,54,30,0,26,0,0,29,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,73,0,73,"186,960",9,"16,998",46,"47,726",0,0,0,72,"283,622",0,"1,438",68,0,43,26,47,0,48,0,0,23,0,0,22,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","1,288",0,"1,288","3,493,772",353,"251,476",839,"1,084,478",81,81,61,"1,262","5,642,380",26,"25,332","1,196",0,659,546,729,0,695,533,0,309,75,185,279,195,143,141,106,78,83,0
AL,01,Congressional District 1,"=""0101 """,434,0,434,"1,115,936",112,"87,907",263,"327,590",30,25,0,418,"1,815,349",0,"17,057",387,0,218,169,263,0,255,156,0,120,29,70,96,63,43,36,35,37,22,0
AL,01,Congressional District 1,"=""0101 """,130,0,130,"323,193",31,"24,052",77,"109,011",0,0,0,126,"488,258",0,"2,466",114,0,52,73,53,0,70,53,0,38,0,0,27,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","1,774",0,"1,774","4,677,796",495,"393,373","1,165","1,484,185",137,110,73,"1,731","7,839,453",43,"34,575","1,626",0,822,740,"1,015",0,993,682,0,485,110,219,393,265,198,178,153,122,129,0
AL,01,Congressional District 1,"=""0101 """,378,0,378,"993,319",96,"76,058",236,"318,430",27,0,0,357,"1,568,675",21,"14,344",327,0,177,198,177,0,218,142,0,120,25,44,92,64,43,34,25,25,26,0
AL,01,Congressional District 1,"=""0101 """,44,0,44,"103,376",8,"5,713",9,"23,364",0,0,0,42,"171,386",0,83,38,0,0,21,22,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,136,0,136,"361,811",33,"22,025",82,"102,848",0,0,0,135,"580,176",0,72,126,0,62,74,61,0,63,64,0,27,0,23,25,22,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,184,0,184,"535,639",43,"32,511",121,"145,657",0,0,0,182,"828,463",0,"1,530",169,0,116,98,86,0,96,80,0,47,0,28,46,35,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,621,0,621,"1,719,102",144,"111,669",385,"519,080",29,0,26,604,"2,636,055",0,"9,148",563,0,324,334,279,0,350,222,0,177,56,116,119,100,69,59,43,36,22,0
AL,01,Congressional District 1,"=""0101 """,33,0,33,"109,947",5,"3,059",22,"25,126",0,0,0,32,"151,255",0,"1,560",31,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","3,041",43,"3,041","9,477,991",615,"431,020","2,073","2,754,469",141,154,96,"2,979","14,175,176",61,"39,447","2,815",0,"1,856","1,000","2,003",38,"1,821","1,098",0,947,128,457,886,568,315,239,189,135,116,0
AL,01,Congressional District 1,"=""0101 """,47,0,47,"130,834",9,"8,100",32,"37,883",0,0,0,44,"194,673",0,"3,332",39,0,22,0,36,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,65,0,65,"176,193",9,"13,065",34,"43,388",0,0,0,64,"290,184",0,29,59,0,34,0,49,0,40,22,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,103,0,103,"286,345",29,"20,607",66,"81,285",0,0,0,102,"460,008",0,104,96,0,62,28,73,0,55,42,0,21,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","1,235",0,"1,235","3,701,649",314,"235,495",877,"1,197,818",45,32,38,"1,209","5,635,818",26,"27,762","1,132",0,676,435,786,0,741,429,0,387,74,175,318,204,110,93,97,77,82,0
AL,01,Congressional District 1,"=""0101 """,55,0,55,"153,600",9,"8,696",30,"39,469",0,0,0,52,"229,031",0,"2,991",46,0,25,0,34,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,78,0,78,"152,118",9,"6,057",26,"30,187",0,0,0,74,"235,780",0,"1,659",66,0,37,26,47,0,50,23,0,26,0,0,24,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","1,593",26,"1,593","5,217,734",205,"109,538","1,018","1,261,524",67,124,24,"1,572","7,454,889",21,"8,640","1,490",0,"1,145",388,"1,165",40,906,622,0,451,61,296,518,357,177,94,54,22,0,0
AL,01,Congressional District 1,"=""0101 ""","1,223",33,"1,223","3,758,078",182,"121,999",707,"864,385",40,94,44,"1,206","5,400,517",0,"12,824","1,134",0,809,370,830,23,689,482,0,348,64,226,397,235,114,81,48,39,0,0
AL,01,Congressional District 1,"=""0101 ""","5,548",122,"5,548","19,515,618",739,"464,452","3,799","5,013,102",199,354,79,"5,500","27,759,711",48,"32,320","5,252",26,"3,976","1,433","4,024",91,"3,333","2,064",0,"1,731",205,871,"1,918","1,223",518,353,233,154,71,0
AL,01,Congressional District 1,"=""0101 ""","3,137",84,"3,137","10,002,697",487,"286,561","1,994","2,569,250",133,252,91,"3,105","14,859,785",32,"19,252","2,952",0,"2,086",926,"2,166",45,"1,796","1,199",0,859,150,508,946,685,326,217,165,86,53,0
AL,01,Congressional District 1,"=""0101 ""","1,012",0,"1,012","3,192,864",172,"103,657",627,"806,615",49,57,37,"1,001","4,651,226",0,"8,394",951,0,677,271,714,27,583,383,0,269,53,180,301,195,116,73,54,28,0,0
AL,01,Congressional District 1,"=""0101 ""","3,757",73,"3,757","11,069,458",732,"503,395","2,407","3,221,237",242,356,148,"3,669","17,443,590",88,"54,485","3,482",0,"2,257","1,320","2,365",72,"2,011","1,569",0,968,224,541,941,711,432,350,263,158,132,0
AL,01,Congressional District 1,"=""0101 ""","3,217",76,"3,217","9,726,818",604,"397,979","2,061","2,671,729",213,294,128,"3,156","14,948,872",61,"58,382","2,984",0,"1,938","1,119","2,044",54,"1,782","1,307",0,897,156,492,919,618,361,278,175,139,75,0
AL,01,Congressional District 1,"=""0101 ""","2,762",59,"2,762","9,592,154",350,"198,686","1,753","2,296,843",90,187,32,"2,745","13,618,909",0,"12,892","2,636",0,"2,042",630,"2,086",46,"1,642","1,025",0,752,89,493,922,631,261,169,113,64,0,0
AL,01,Congressional District 1,"=""0101 """,993,0,993,"3,184,028",185,"123,956",677,"874,796",42,64,25,984,"4,756,958",0,"6,037",934,0,615,350,628,0,589,364,0,262,38,160,284,207,95,77,52,47,32,0
AL,01,Congressional District 1,"=""0101 ""","1,012",0,"1,012","3,508,665",140,"93,342",670,"849,595",27,77,0,"1,010","4,988,954",0,647,964,0,733,249,754,0,606,375,0,286,27,171,331,218,112,72,44,0,0,0
AL,01,Congressional District 1,"=""0101 ""","1,768",24,"1,768","5,325,957",364,"250,626","1,164","1,444,407",98,119,57,"1,743","8,186,432",25,"12,707","1,665",0,"1,080",571,"1,176",21,976,709,0,461,86,272,483,299,211,151,118,88,57,0
AL,01,Congressional District 1,"=""0101 """,47,0,47,"91,127",9,"7,377",9,"18,315",0,0,0,46,"163,477",0,799,43,0,0,27,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","2,813",46,"2,813","9,353,153",395,"239,659","1,782","2,264,326",107,201,48,"2,795","13,498,013",0,"11,677","2,679",0,"2,045",658,"2,102",53,"1,647","1,088",0,780,94,481,926,577,295,207,127,70,36,0
AL,01,Congressional District 1,"=""0101 ""","2,546",40,"2,546","7,918,339",490,"334,058","1,673","2,130,607",193,218,104,"2,493","12,257,976",53,"33,029","2,396",0,"1,586",809,"1,695",42,"1,505",948,0,741,102,359,637,514,321,244,159,127,81,0
AL,01,Congressional District 1,"=""0101 ""","1,458",27,"1,458","4,044,354",328,"252,061",914,"1,225,179",84,69,57,"1,409","6,180,529",49,"42,096","1,292",0,740,529,911,0,916,456,0,454,96,234,365,212,155,135,115,82,61,0
AL,01,Congressional District 1,"=""0101 """,26,0,26,"68,484",6,"4,439",9,"16,203",0,0,0,26,"108,836",0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,44,0,44,"115,850",8,"5,790",9,"27,779",0,0,0,42,"172,259",0,"3,296",39,0,0,0,32,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,26,0,26,"58,169",5,"3,591",8,"10,330",0,0,0,26,"84,492",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,36,0,36,"82,526",7,"4,965",9,"21,727",0,0,0,33,"133,690",0,314,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,40,0,40,"94,708",7,"5,178",9,"27,752",0,0,0,38,"147,410",0,381,32,0,0,0,22,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 """,42,0,42,"92,488",7,"5,006",21,"23,391",0,0,0,40,"143,518",0,166,33,0,0,0,21,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,01,Congressional District 1,"=""0101 ""","1,650",33,"1,650","4,491,888",361,"250,047","1,052","1,314,247",131,147,86,"1,616","7,174,342",32,"36,366","1,524",0,905,695,930,25,917,648,0,427,112,257,392,266,215,134,121,89,60,0
AL,01,Congressional District 1,"=""0101 ""","3,551",38,"3,551","9,482,654",874,"673,420","2,248","2,949,703",315,316,204,"3,442","15,611,930",108,"113,546","3,229",0,"1,650","1,560","1,930",61,"2,053","1,336",0,"1,022",215,528,794,537,415,322,271,246,205,0
AL,01,Congressional District 1,"=""0101 """,8,0,8,"24,345",1,768,5,"5,747",0,0,0,8,"36,411",0,37,7,0,6,2,6,0,5,3,0,1,0,0,2,0,2,0,0,0,0,0
AL,01,Congressional District 2,"=""0102 """,39,1,39,"108,541",9,"5,941",25,"29,993",3,2,1,38,"179,075",1,525,35,0,22,17,19,2,18,19,0,6,2,6,8,7,5,4,3,2,1,0
