"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AR,05,Congressional District 1,"=""0501 """,59,0,59,"178,027",21,"11,867",39,"42,667",0,0,0,58,"289,248",0,"1,232",51,0,31,34,25,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Congressional District 1,"=""0501 """,423,0,423,"1,217,069",96,"66,140",285,"347,490",0,0,0,423,"1,876,704",0,269,390,0,196,252,169,0,156,241,0,62,33,69,102,78,51,36,28,19,0,0
AR,05,Congressional District 1,"=""0501 """,923,0,923,"2,668,529",204,"137,862",621,"787,203",47,29,0,904,"4,070,824",0,"13,786",818,0,575,314,607,0,505,367,0,186,61,154,250,146,93,67,75,51,24,0
AR,05,Congressional District 1,"=""0501 """,476,0,476,"1,454,328",104,"61,949",299,"358,349",0,0,0,471,"2,141,065",0,"4,616",423,0,283,281,186,0,209,244,0,94,33,95,103,101,58,36,21,0,0,0
AR,05,Congressional District 1,"=""0501 """,193,0,193,"544,888",39,"28,261",107,"142,623",0,0,0,192,"833,103",0,192,173,0,125,76,117,0,108,71,0,35,0,32,47,30,24,0,0,0,0,0
AR,05,Congressional District 1,"=""0501 """,89,0,89,"227,689",29,"22,575",58,"72,987",0,0,0,89,"411,294",0,0,78,0,43,39,47,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Congressional District 1,"=""0501 """,626,0,626,"1,847,526",165,"111,380",430,"539,799",0,34,0,615,"2,839,497",0,"9,696",540,0,310,354,272,0,236,355,0,104,38,89,146,108,79,62,40,38,25,0
AR,05,Congressional District 1,"=""0501 """,611,0,611,"1,693,466",155,"114,306",399,"496,438",0,26,0,595,"2,633,887",0,"11,652",543,0,337,286,318,0,233,336,0,126,50,105,128,105,73,48,41,36,25,0
AR,05,Congressional District 1,"=""0501 """,4,0,4,"13,169",1,647,3,"3,353",0,0,0,4,"20,337",0,0,4,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Congressional District 1,"=""0501 """,24,0,24,"75,990",8,"5,967",18,"23,092",0,0,0,24,"119,208",0,159,22,0,15,7,17,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Congressional District 1,"=""0501 """,800,0,800,"2,093,550",237,"182,380",506,"644,105",21,28,23,781,"3,522,978",0,"19,592",714,0,438,237,562,0,355,395,0,159,57,108,154,120,87,77,86,59,49,0
AR,05,Congressional District 1,"=""0501 """,48,0,48,"107,183",12,"8,670",24,"28,847",0,0,0,46,"181,631",0,"2,021",39,0,25,21,26,0,23,20,0,10,0,9,9,0,0,0,0,0,0,0
AR,05,Congressional District 1,"=""0501 """,67,0,67,"189,725",9,"13,163",48,"55,721",0,0,0,66,"290,406",0,"2,109",58,0,48,21,46,0,40,25,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Congressional District 1,"=""0501 """,8,0,8,"19,396",2,"1,632",5,"5,516",0,0,0,8,"33,969",0,181,7,0,4,3,5,0,3,4,0,2,0,1,2,1,1,0,1,0,0,0
AR,05,Congressional District 1,"=""0501 """,49,0,49,"101,378",9,"18,160",29,"39,440",0,0,0,45,"203,742",0,"2,368",35,0,0,0,31,0,21,25,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Congressional District 1,"=""0501 """,24,0,24,"67,840",8,"5,530",16,"19,710",3,0,0,23,"109,014",0,188,21,0,12,12,12,0,12,11,0,3,0,0,4,3,4,5,0,0,0,0
AR,05,Congressional District 1,"=""0501 """,22,0,22,"49,982",4,"2,408",9,"14,929",0,0,0,9,"74,573",0,"2,246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Congressional District 1,"=""0501 """,348,0,348,"941,001",89,"63,091",203,"248,421",0,0,0,344,"1,491,605",0,"1,207",271,0,145,202,146,0,250,83,0,74,22,59,78,51,45,37,0,25,0,0
AR,05,Congressional District 1,"=""0501 """,652,0,652,"1,540,793",219,"179,126",409,"527,402",62,40,38,632,"2,812,922",0,"16,491",590,0,253,325,321,0,346,265,0,141,48,99,115,72,54,63,70,62,66,0
AR,05,Congressional District 1,"=""0501 """,81,0,81,"178,688",26,"20,764",39,"49,282",0,0,0,76,"312,478",0,"5,693",64,0,34,32,48,0,30,44,0,0,0,0,0,0,0,0,0,0,0,0
AR,05,Congressional District 1,"=""0501 """,191,0,191,"480,090",51,"39,472",117,"151,989",0,0,12,186,"801,635",0,"3,630",162,0,87,61,130,0,123,61,0,56,18,34,34,27,20,15,13,14,16,0
AR,05,Congressional District 1,"=""0501 """,568,0,568,"1,528,380",114,"71,170",344,"408,527",0,0,0,556,"2,351,812",0,"14,119",494,0,320,267,299,0,275,251,0,95,55,115,120,95,70,43,34,24,0,0
AR,05,Congressional District 1,"=""0501 ""","2,327",20,"2,327","5,662,634",776,"622,363","1,541","1,978,150",181,123,170,"2,270","10,248,728",57,"62,156","2,069",0,912,"1,198","1,097",33,"1,194","1,000",0,491,188,303,416,286,231,228,240,198,222,0
AR,05,Congressional District 1,"=""0501 """,302,0,302,"748,105",88,"70,764",175,"235,106",0,0,0,292,"1,248,541",0,"10,999",266,0,157,99,201,0,141,133,0,60,25,45,50,40,34,36,28,23,0,0
AR,05,Congressional District 1,"=""0501 """,21,0,21,"52,145",9,"6,325",9,"15,801",0,0,0,21,"95,719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
