"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
AZ,04,Congressional District 1,"=""0401 ""","5,153",126,"5,153","13,667,723","1,685","1,291,275","3,515","4,756,049",244,212,186,"5,029","22,472,349",124,"125,251","4,617",114,"2,317","2,555","2,500",98,"2,203","2,606",0,807,365,713,998,672,640,551,489,369,334,22
AZ,04,Congressional District 1,"=""0401 ""","1,004",26,"1,004","2,671,977",321,"255,993",681,"926,240",40,22,45,980,"4,365,045",24,"29,995",892,0,464,541,449,0,429,518,0,173,63,143,203,136,120,103,86,79,65,0
AZ,04,Congressional District 1,"=""0401 ""","1,698",56,"1,698","4,822,015",531,"408,880","1,199","1,713,537",60,50,66,"1,674","7,730,832",24,"19,158","1,493",30,737,850,777,71,779,829,0,252,129,213,319,250,203,185,159,128,107,0
AZ,04,Congressional District 1,"=""0401 """,327,0,327,"770,448",93,"71,768",191,"250,666",0,0,0,317,"1,258,268",0,"15,175",249,0,124,121,191,0,159,137,0,49,0,69,53,38,42,43,25,0,0,0
AZ,04,Congressional District 1,"=""0401 ""","1,541",57,"1,541","4,711,836",404,"293,012","1,175","1,637,460",41,37,29,"1,516","7,375,817",24,"16,731","1,330",0,649,727,787,27,605,862,0,211,89,230,338,264,187,142,123,93,69,0
AZ,04,Congressional District 1,"=""0401 """,195,4,195,"460,421",72,"63,166",125,"180,704",10,9,10,191,"806,824",4,"3,142",174,0,81,120,71,5,91,93,0,33,17,27,28,19,20,21,21,20,21,0
AZ,04,Congressional District 1,"=""0401 """,46,0,46,"111,793",9,"11,634",30,"44,716",0,0,0,46,"202,745",0,0,39,0,25,23,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,126,0,126,"306,089",43,"35,095",79,"87,011",0,0,0,122,"495,304",0,738,107,0,59,75,50,0,66,53,0,0,0,0,0,21,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 ""","2,456",40,"2,456","6,242,834",883,"709,499","1,675","2,555,416",196,141,187,"2,399","10,750,977",57,"48,736","2,202",0,"1,028","1,436",971,49,"1,363",966,0,565,159,247,402,288,298,291,263,248,238,22
AZ,04,Congressional District 1,"=""0401 ""","1,541",24,"1,541","3,978,319",530,"409,080","1,054","1,532,227",86,94,83,"1,501","6,773,754",39,"37,137","1,362",0,685,777,735,29,826,630,0,316,96,190,272,208,157,183,150,148,122,0
AZ,04,Congressional District 1,"=""0401 """,34,0,34,"85,816",9,"8,938",25,"27,529",0,0,0,32,"139,239",0,641,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,130,0,130,"310,493",57,"49,045",93,"139,224",0,0,23,129,"591,003",0,168,123,0,48,76,52,0,75,52,0,29,0,0,22,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,239,0,239,"703,063",84,"54,611",177,"255,915",0,0,0,235,"1,097,026",0,802,189,0,89,74,162,0,114,112,0,37,0,36,37,35,41,26,23,0,0,0
AZ,04,Congressional District 1,"=""0401 """,221,20,221,"535,730",47,"35,468",138,"172,665",0,0,0,213,"862,642",0,"3,639",174,0,100,111,104,0,102,95,0,32,25,37,48,43,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,100,0,100,"248,328",23,"16,743",60,"77,421",0,0,0,99,"377,116",0,"1,205",80,0,44,49,42,0,57,35,0,23,0,25,21,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,321,0,321,"924,404",82,"66,285",225,"332,631",0,0,0,313,"1,449,916",0,"5,064",276,0,144,127,182,0,142,162,0,68,21,46,58,55,46,34,24,0,0,0
AZ,04,Congressional District 1,"=""0401 """,349,0,349,"909,561",90,"65,154",222,"345,922",0,0,0,335,"1,484,607",0,"10,360",298,0,134,186,159,0,157,156,0,68,26,46,78,52,43,32,28,22,21,0
AZ,04,Congressional District 1,"=""0401 """,65,1,65,"130,547",20,"16,529",33,"41,352",6,6,6,61,"221,123",3,"3,652",54,0,20,38,25,2,36,23,0,17,6,10,11,7,7,7,7,6,5,0
AZ,04,Congressional District 1,"=""0401 """,330,10,330,"922,490",110,"85,732",236,"337,667",26,21,16,321,"1,506,513",9,"10,531",292,0,148,167,156,8,195,123,0,74,16,38,61,48,38,40,38,29,21,0
AZ,04,Congressional District 1,"=""0401 """,747,0,747,"1,934,286",192,"131,534",467,"647,242",27,24,30,727,"3,148,394",0,"10,683",653,0,378,354,368,25,445,253,0,150,75,111,170,106,74,70,56,41,43,0
AZ,04,Congressional District 1,"=""0401 """,171,0,171,"448,959",51,"37,181",107,"158,995",0,0,0,164,"742,428",0,"6,325",139,0,88,80,83,0,105,60,0,40,0,25,34,0,23,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,433,0,433,"1,308,607",109,"74,722",331,"448,173",0,0,0,430,"2,049,176",0,263,390,0,324,76,323,34,305,116,0,60,48,85,75,72,51,40,25,0,23,0
AZ,04,Congressional District 1,"=""0401 """,30,0,30,"75,224",9,"7,687",9,"26,210",0,0,0,30,"127,291",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,280,0,280,"751,892",70,"52,567",178,"225,755",0,0,0,277,"1,222,760",0,574,225,0,132,95,176,0,183,85,0,44,0,58,53,44,37,24,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,160,0,160,"374,208",61,"48,343",95,"113,665",0,0,0,154,"656,897",0,"12,495",133,0,68,69,88,0,50,101,0,0,0,24,21,23,0,28,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,168,0,168,"355,851",47,"39,819",84,"114,566",0,0,0,165,"617,050",0,790,136,0,58,88,77,0,61,87,0,0,0,39,29,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,22,0,22,"42,970",9,"10,880",9,"19,681",0,0,0,21,"80,670",0,"2,214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,205,0,205,"569,029",42,"27,335",131,"177,413",0,0,0,196,"853,066",0,"4,751",158,0,97,93,107,0,114,80,0,45,31,30,42,37,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,167,0,167,"367,782",68,"61,842",106,"128,695",0,0,0,166,"694,910",0,94,141,0,76,91,76,0,60,97,0,0,0,27,28,0,0,0,0,23,0,0
AZ,04,Congressional District 1,"=""0401 """,549,21,549,"1,716,319",132,"91,986",431,"604,309",0,0,0,546,"2,700,929",0,965,508,0,446,73,440,36,414,122,0,87,59,89,112,95,54,52,44,25,0,0
AZ,04,Congressional District 1,"=""0401 """,306,0,306,"821,547",85,"70,006",198,"297,483",0,0,0,298,"1,314,788",0,"5,787",250,0,98,159,141,0,136,152,0,66,21,57,54,40,29,25,28,24,27,0
AZ,04,Congressional District 1,"=""0401 """,8,0,8,"9,740",1,793,2,"1,729",0,0,0,7,"13,572",0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 ""","1,435",24,"1,435","3,756,414",405,"312,983",949,"1,259,206",48,43,36,"1,412","6,058,209",23,"12,566","1,242",0,504,776,618,41,590,738,0,227,142,234,264,179,154,124,134,101,93,0
AZ,04,Congressional District 1,"=""0401 """,90,0,90,"197,158",30,"23,137",49,"57,421",0,0,0,89,"333,051",0,231,69,0,32,32,56,0,41,36,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 ""","1,033",42,"1,033","3,092,520",294,"203,976",803,"1,087,839",0,0,0,"1,031","5,069,739",0,"1,833",938,0,842,153,837,43,783,233,0,144,126,172,172,160,124,99,78,61,37,0
AZ,04,Congressional District 1,"=""0401 """,50,0,50,"137,570",9,"7,416",29,"41,434",0,0,0,50,"212,337",0,0,38,0,0,29,0,0,22,25,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,433,0,433,"1,101,325",130,"93,128",285,"435,421",0,32,25,424,"1,835,520",0,"10,347",375,0,121,211,212,0,213,194,0,111,33,59,85,51,47,39,40,34,41,0
AZ,04,Congressional District 1,"=""0401 """,143,0,143,"383,533",40,"25,418",90,"118,013",0,0,0,137,"596,245",0,"2,814",120,0,49,79,60,0,71,65,0,24,0,22,27,22,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,282,0,282,"676,381",65,"47,638",156,"211,516",0,0,0,270,"1,063,120",0,"5,996",233,0,90,145,118,0,150,116,0,62,29,44,68,36,31,25,0,23,0,0
AZ,04,Congressional District 1,"=""0401 """,311,0,311,"793,210",96,"82,175",202,"253,457",0,0,0,310,"1,269,653",0,"1,890",282,0,133,185,120,0,144,142,0,42,0,57,56,39,46,25,23,25,0,0
AZ,04,Congressional District 1,"=""0401 """,38,1,38,"101,509",11,"8,068",26,"33,949",0,1,0,37,"157,809",1,893,33,0,15,18,18,2,17,18,0,9,3,5,8,6,5,4,3,2,2,0
AZ,04,Congressional District 1,"=""0401 """,112,0,112,"238,605",9,"14,935",53,"71,415",0,0,0,100,"339,193",0,"8,536",85,0,23,67,40,0,68,33,0,42,0,22,22,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,516,0,516,"1,295,150",153,"118,976",324,"446,456",27,21,35,500,"2,120,698",16,"11,772",460,0,214,299,201,15,240,237,0,94,40,71,101,67,54,57,54,33,38,0
AZ,04,Congressional District 1,"=""0401 """,23,0,23,"57,691",3,"2,023",9,"18,828",0,0,0,21,"88,135",0,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,04,Congressional District 1,"=""0401 """,368,0,368,"785,096",125,"97,824",198,"288,463",38,21,29,355,"1,406,064",0,"18,805",319,0,107,239,123,0,191,144,0,75,29,50,68,33,38,42,38,36,33,0
AZ,04,Congressional District 1,"=""0401 """,315,4,315,"627,851",82,"60,172",154,"189,322",22,19,22,297,"1,034,507",17,"14,864",262,0,105,184,117,14,159,127,0,71,35,58,60,37,33,29,26,23,14,0
AZ,04,Congressional District 1,"=""0401 """,606,0,606,"1,004,502",149,"118,352",253,"293,347",34,41,67,565,"1,759,611",41,"40,414",480,0,160,364,224,0,351,181,0,179,81,116,113,56,47,55,51,41,46,0
AZ,04,Congressional District 1,"=""0401 """,692,0,692,"1,571,643",188,"134,710",375,"494,620",0,24,31,651,"2,503,807",41,"32,897",571,0,229,405,256,31,397,231,0,188,65,130,146,73,68,73,49,47,40,0
AZ,04,Congressional District 1,"=""0401 """,107,2,107,"244,690",33,"24,984",62,"82,429",8,6,8,103,"409,637",4,"3,278",94,0,37,66,39,3,53,45,0,22,7,15,22,12,13,10,11,7,7,0
