"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CA,06,Congressional District 1,"=""0601 """,21,0,21,"24,276",5,"3,084",6,"6,485",0,0,0,9,"36,784",0,"2,147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,06,Congressional District 1,"=""0601 """,783,0,783,"1,576,889",182,"131,626",380,"486,481",39,24,43,729,"2,526,977",54,"62,077",584,0,229,373,374,36,406,284,0,241,91,149,168,90,72,60,70,49,33,0
CA,06,Congressional District 1,"=""0601 """,640,0,640,"1,218,176",159,"115,518",298,"372,101",34,29,33,590,"1,936,180",50,"44,572",471,0,181,315,285,40,334,232,0,175,83,130,133,63,57,53,46,40,34,0
CA,06,Congressional District 1,"=""0601 """,92,2,92,"199,531",28,"22,698",52,"72,683",5,5,5,86,"338,807",6,"7,160",72,0,27,40,50,1,50,35,0,27,8,14,16,10,9,9,8,8,9,0
CA,06,Congressional District 1,"=""0601 """,11,0,11,"19,143",2,"1,942",4,"4,980",0,0,0,10,"29,784",1,"1,514",8,0,3,6,5,0,7,4,0,4,2,3,3,0,1,0,0,0,0,0
CA,06,Congressional District 1,"=""0601 """,3,0,3,"6,608",1,615,2,"1,975",0,0,0,3,"10,781",0,64,3,0,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
CA,06,Congressional District 1,"=""0601 """,47,0,47,"96,273",9,"13,401",22,"28,698",0,0,0,43,"132,879",0,"7,300",33,0,0,25,22,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,06,Congressional District 1,"=""0601 """,92,0,92,"189,683",9,"15,692",47,"66,985",0,0,0,80,"271,578",0,"18,823",62,0,0,50,39,0,55,30,0,35,0,0,21,0,0,0,0,0,0,0
CA,06,Congressional District 1,"=""0601 """,23,0,23,"42,190",4,"2,393",8,"10,325",0,0,0,9,"55,581",0,"4,770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,06,Congressional District 1,"=""0601 """,436,0,436,"800,375",104,"80,728",198,"251,860",0,0,21,401,"1,243,496",35,"50,377",321,0,134,205,213,0,226,160,0,124,53,85,92,43,41,33,35,25,29,0
