"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
CO,08,Congressional District 1,"=""0801 """,386,13,386,"822,805",110,"86,477",205,"257,478",27,28,27,364,"1,360,559",22,"20,789",316,0,125,195,181,10,205,145,0,103,37,66,74,44,41,39,39,25,21,0
CO,08,Congressional District 1,"=""0801 ""","2,123",46,"2,123","4,788,856",601,"456,166","1,178","1,513,649",91,69,132,"2,026","7,793,311",96,"88,865","1,749",0,855,"1,038","1,009",76,"1,117",817,0,461,206,361,458,258,226,193,188,123,107,0
CO,08,Congressional District 1,"=""0801 """,18,0,18,"32,122",4,"3,177",7,"9,243",1,1,2,16,"52,941",2,"1,404",14,0,4,10,7,0,11,5,0,6,3,4,3,2,1,1,2,1,1,0
CO,08,Congressional District 1,"=""0801 ""","1,155",0,"1,155","1,992,809",270,"206,956",489,"553,713",63,59,98,"1,086","3,455,923",68,"52,030",926,0,426,640,483,32,606,398,0,248,165,237,274,94,102,102,83,60,36,0
CO,08,Congressional District 1,"=""0801 ""","1,141",0,"1,141","2,121,973",325,"268,551",549,"676,727",78,71,106,"1,061","3,626,674",80,"81,748",898,0,311,655,451,35,652,375,0,334,110,205,241,111,81,105,116,96,71,0
CO,08,Congressional District 1,"=""0801 """,559,0,559,"930,407",165,"135,382",238,"290,921",41,39,66,515,"1,648,026",44,"40,626",428,0,134,343,203,13,323,176,0,171,80,92,107,46,46,48,54,46,37,0
CO,08,Congressional District 1,"=""0801 ""","1,470",0,"1,470","2,682,965",451,"385,380",701,"834,007",117,90,168,"1,376","4,767,294",94,"91,069","1,156",0,374,925,517,27,847,477,0,416,171,223,285,134,142,147,133,128,94,0
CO,08,Congressional District 1,"=""0801 """,37,0,37,"75,117",7,"4,795",9,"23,013",0,0,0,33,"107,717",0,"1,330",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,08,Congressional District 1,"=""0801 """,27,0,27,"23,622",3,"1,681",5,"5,625",0,0,0,24,"45,818",0,"3,002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,08,Congressional District 1,"=""0801 """,21,0,21,"41,895",5,"3,237",9,"12,251",0,0,0,9,"62,659",0,"1,481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,08,Congressional District 1,"=""0801 """,33,0,33,"42,611",9,"10,745",7,"8,849",0,0,0,27,"81,005",0,"6,049",0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,08,Congressional District 1,"=""0801 """,86,0,86,"129,763",9,"5,963",30,"43,251",0,0,0,81,"230,443",0,"3,195",63,0,0,40,26,0,53,0,0,24,0,0,0,0,0,0,0,0,0,0
CO,08,Congressional District 1,"=""0801 """,323,0,323,"234,259",21,"14,714",39,"43,432",0,0,39,275,"468,993",48,"30,071",223,0,74,203,97,23,173,87,0,102,89,94,103,0,0,0,0,0,0,0
