"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
DC,11,Delegate District (at Large),"=""1198 ""","2,977",108,"2,977","6,005,275",524,"352,484","1,412","1,680,319",240,142,139,"2,809","9,634,834",167,"112,295","2,385",0,"1,231","1,358","1,471",148,"1,638",983,0,704,418,684,702,337,231,210,192,141,62,0
DC,11,Delegate District (at Large),"=""1198 ""","5,180",213,"5,180","11,487,877","1,026","708,579","2,771","3,202,458",406,292,260,"5,006","18,424,569",174,"103,214","4,544",0,"2,847","2,357","2,587",235,"2,906","1,848",0,"1,215",674,"1,105","1,213",577,453,442,373,227,115,0
DC,11,Delegate District (at Large),"=""1198 ""","1,004",27,"1,004","2,181,319",180,"127,873",508,"606,447",73,35,68,946,"3,394,937",58,"33,863",844,0,515,500,461,43,589,322,0,268,160,233,228,112,76,73,61,43,0,0
DC,11,Delegate District (at Large),"=""1198 """,0,0,0,"19,187",0,373,0,"4,570",0,0,0,0,"21,532",0,"2,466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,11,Delegate District (at Large),"=""1198 """,386,23,386,"600,791",54,"36,884",136,"163,279",0,0,25,347,"971,913",39,"29,368",256,0,92,183,188,0,222,103,0,116,80,94,97,40,21,0,0,0,0,0
DC,11,Delegate District (at Large),"=""1198 """,37,0,37,"27,881",5,"3,589",6,"7,411",0,0,0,31,"56,646",0,"4,721",28,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,11,Delegate District (at Large),"=""1198 """,397,0,397,"357,562",33,"27,368",69,"83,562",0,0,53,335,"634,279",62,"45,444",272,0,74,259,125,0,232,107,0,130,139,111,75,23,0,0,0,0,0,0
DC,11,Delegate District (at Large),"=""1198 """,401,0,401,"353,579",32,"26,767",56,"64,827",0,22,61,345,"643,060",56,"48,079",269,0,80,242,148,0,241,103,0,150,104,132,95,23,0,0,0,0,0,0
DC,11,Delegate District (at Large),"=""1198 ""","2,457",81,"2,457","4,751,091",500,"329,527","1,141","1,360,148",202,117,143,"2,232","7,844,967",225,"180,036","1,807",0,821,"1,021","1,289",147,"1,454",790,0,689,344,563,581,246,207,180,153,124,57,0
DC,11,Delegate District (at Large),"=""1198 ""","2,414",82,"2,414","4,982,583",604,"426,367","1,229","1,478,362",209,124,124,"2,218","8,482,936",195,"142,426","1,748",0,649,908,"1,400",106,"1,463",758,0,678,258,448,545,286,239,220,210,136,66,0
DC,11,Delegate District (at Large),"=""1198 ""","6,842",329,"6,842","15,311,570","1,760","1,228,399","3,888","4,743,917",653,359,262,"6,439","25,954,420",402,"295,490","5,181",0,"2,286","2,451","4,160",231,"4,189","2,116",0,"1,952",630,"1,300","1,463",818,699,656,602,454,206,0
DC,11,Delegate District (at Large),"=""1198 """,928,45,928,"1,945,839",217,"156,216",463,"585,151",79,51,44,852,"3,232,679",76,"55,789",689,0,302,347,553,28,568,269,0,312,101,177,207,109,83,89,72,58,31,0
DC,11,Delegate District (at Large),"=""1198 """,23,0,23,"26,288",3,"1,593",5,"5,906",0,0,0,9,"50,937",0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,11,Delegate District (at Large),"=""1198 """,201,0,201,"195,926",9,"11,530",40,"44,334",0,0,0,170,"338,753",31,"21,246",126,0,29,112,77,0,134,44,0,91,60,50,50,0,0,0,0,0,0,0
DC,11,Delegate District (at Large),"=""1198 """,408,0,408,"377,597",44,"34,081",79,"88,401",0,0,53,343,"675,668",64,"52,331",254,0,65,234,154,0,252,103,0,143,122,104,95,0,0,0,0,0,0,0
DC,11,Delegate District (at Large),"=""1198 ""","1,382",52,"1,382","2,899,175",307,"208,460",715,"869,774",129,72,90,"1,323","4,800,314",59,"36,845","1,134",0,582,625,693,64,782,479,0,346,180,296,293,136,107,121,116,91,42,0
DC,11,Delegate District (at Large),"=""1198 ""","1,863",74,"1,863","4,405,314",390,"269,186","1,087","1,330,481",179,103,92,"1,804","7,101,921",59,"42,355","1,632",0,982,851,956,56,"1,041",681,0,469,202,365,450,225,171,169,144,87,48,0
DC,11,Delegate District (at Large),"=""1198 ""","10,052",369,"10,052","26,075,148","2,356","1,635,150","6,498","7,657,361","1,079",495,337,"9,951","41,578,192",101,"77,098","9,331",0,"6,196","4,653","5,115",284,"5,501","3,956",0,"2,220",926,"1,902","2,282","1,264","1,021","1,005",836,552,262,0
DC,11,Delegate District (at Large),"=""1198 ""","8,843",298,"8,843","24,005,610","1,978","1,346,732","5,953","7,146,108",964,395,266,"8,755","37,317,910",88,"40,394","8,251",0,"5,576","4,297","4,241",305,"5,055","3,318",0,"2,141",745,"1,767","2,129","1,161",868,777,704,497,191,0
DC,11,Delegate District (at Large),"=""1198 """,927,32,927,"2,100,029",154,"114,645",495,"574,482",71,46,51,883,"3,234,046",44,"32,532",802,0,467,434,444,49,525,317,0,260,104,230,236,115,66,62,51,41,22,0
DC,11,Delegate District (at Large),"=""1198 """,24,0,24,"49,853",8,"5,831",6,"7,169",0,0,0,23,"95,444",0,"2,066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC,11,Delegate District (at Large),"=""1198 ""","6,593",241,"6,593","17,788,260","1,609","1,105,699","4,526","5,404,930",756,322,218,"6,541","28,333,173",51,"27,599","6,190",0,"4,169","3,169","3,182",242,"3,639","2,609",0,"1,491",537,"1,274","1,498",839,694,611,584,377,178,0
DC,11,Delegate District (at Large),"=""1198 """,92,0,92,"58,145",5,"3,000",6,"7,193",0,0,0,80,"115,805",0,"9,013",65,0,0,59,30,0,61,21,0,33,36,27,23,0,0,0,0,0,0,0
DC,11,Delegate District (at Large),"=""1198 """,165,0,165,"91,628",9,"6,414",9,"12,669",0,0,22,141,"181,657",24,"22,698",117,0,35,100,53,0,89,41,0,48,57,60,38,0,0,0,0,0,0,0
DC,11,Delegate District (at Large),"=""1198 """,29,0,29,"59,578",2,"1,375",9,"18,343",0,0,0,28,"98,097",0,"1,215",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
