"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
FL,12,Congressional District 1,"=""1201 """,96,2,96,"195,327",23,"16,652",46,"52,789",4,2,3,91,"320,785",5,"4,753",81,0,38,57,37,3,48,36,0,24,12,19,23,12,9,7,7,4,3,0
FL,12,Congressional District 1,"=""1201 """,615,10,615,"1,626,912",158,"115,716",388,"505,019",24,17,15,597,"2,715,259",17,"11,047",547,0,262,332,279,0,298,269,0,172,63,89,131,96,57,55,50,37,36,0
FL,12,Congressional District 1,"=""1201 ""","1,725",0,"1,725","4,614,908",403,"289,614","1,130","1,486,153",64,40,36,"1,687","7,353,306",38,"41,420","1,556",0,806,938,769,0,878,688,0,442,174,294,384,240,181,141,125,103,76,0
FL,12,Congressional District 1,"=""1201 """,689,0,689,"1,729,895",159,"119,054",415,"540,894",34,0,0,667,"2,773,855",22,"26,666",609,0,340,348,332,0,357,268,0,194,79,107,172,97,65,54,52,32,30,0
FL,12,Congressional District 1,"=""1201 """,836,0,836,"1,936,863",195,"155,983",472,"598,718",46,0,34,785,"3,139,218",51,"47,271",705,0,309,549,259,28,438,312,0,281,90,138,197,112,78,73,56,44,48,0
FL,12,Congressional District 1,"=""1201 """,12,0,12,"31,526",3,"2,339",8,"9,695",0,1,0,12,"52,625",0,173,11,0,6,6,6,0,6,5,0,3,1,2,3,2,1,1,1,1,1,0
FL,12,Congressional District 1,"=""1201 """,488,0,488,"1,252,474",118,"92,833",304,"370,753",0,0,0,466,"1,930,251",22,"16,008",432,0,200,292,188,0,256,196,0,168,61,75,116,77,41,35,39,21,22,0
FL,12,Congressional District 1,"=""1201 """,940,0,940,"1,864,731",250,"191,626",448,"587,524",59,40,47,851,"3,002,417",88,"96,169",732,0,279,538,385,0,558,265,0,383,95,172,215,103,93,83,73,60,45,0
FL,12,Congressional District 1,"=""1201 """,21,0,21,"57,298",5,"4,307",14,"17,229",0,0,0,21,"91,963",0,677,18,0,9,11,10,0,11,9,0,6,1,3,5,3,2,2,2,0,0,0
FL,12,Congressional District 1,"=""1201 """,356,0,356,"939,563",86,"65,563",217,"285,963",0,0,0,343,"1,535,993",0,"6,974",310,0,131,177,179,0,192,136,0,124,27,48,83,46,44,38,24,0,26,0
FL,12,Congressional District 1,"=""1201 ""","1,440",39,"1,440","4,102,645",232,"145,451",864,"1,089,985",36,57,31,"1,410","6,110,941",30,"19,168","1,306",0,725,769,624,47,714,598,0,327,129,308,430,235,133,89,66,34,0,0
FL,12,Congressional District 1,"=""1201 """,376,0,376,"934,984",62,"45,573",205,"259,900",0,0,0,368,"1,396,364",0,"6,412",335,0,164,203,157,0,183,149,0,75,28,90,102,63,30,26,0,0,0,0
