"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
GA,13,Congressional District 1,"=""1301 """,164,3,164,"497,215",43,"27,726",115,"151,637",6,6,6,160,"775,066",4,"2,975",148,0,95,74,90,0,75,81,0,41,9,23,40,31,19,17,11,9,6,0
GA,13,Congressional District 1,"=""1301 """,621,0,621,"1,844,468",154,"106,728",454,"580,937",25,26,30,611,"3,008,348",0,"16,916",592,0,372,339,273,0,342,241,0,144,35,114,144,94,62,64,34,40,30,0
GA,13,Congressional District 1,"=""1301 """,797,0,797,"2,034,602",214,"162,720",503,"634,653",56,23,26,773,"3,302,622",24,"15,774",714,0,359,437,350,0,416,320,0,197,56,125,180,112,86,84,63,42,47,0
GA,13,Congressional District 1,"=""1301 """,92,0,92,"268,695",9,"8,052",58,"68,066",0,0,0,91,"415,244",0,274,82,0,58,58,33,0,43,44,0,0,0,0,26,0,0,0,0,0,0,0
GA,13,Congressional District 1,"=""1301 """,694,0,694,"1,947,390",149,"101,302",460,"560,240",31,28,0,679,"3,013,459",0,"9,688",624,0,383,329,355,0,370,279,0,184,57,115,179,111,73,74,39,23,22,0
GA,13,Congressional District 1,"=""1301 """,118,0,118,"320,570",27,"16,711",80,"100,454",0,0,0,115,"487,798",0,"1,463",105,0,59,54,61,0,65,46,0,34,0,25,32,0,0,0,0,0,0,0
GA,13,Congressional District 1,"=""1301 """,689,0,689,"1,852,051",200,"156,633",449,"601,972",32,28,21,671,"3,047,116",17,"10,855",629,0,340,342,338,0,369,280,0,190,47,95,144,100,78,71,60,42,45,0
GA,13,Congressional District 1,"=""1301 """,106,0,106,"216,274",28,"24,466",60,"80,871",0,0,0,103,"395,687",0,"2,511",93,0,62,40,64,0,59,34,0,26,0,0,31,0,0,0,0,0,0,0
GA,13,Congressional District 1,"=""1301 """,102,0,102,"270,699",9,"8,778",61,"73,554",0,0,0,100,"453,548",0,750,91,0,38,54,46,0,59,41,0,32,0,0,0,27,0,0,0,0,0,0
GA,13,Congressional District 1,"=""1301 """,664,0,664,"1,668,259",197,"144,110",421,"593,043",40,32,32,644,"2,869,059",20,"18,765",600,0,309,377,268,19,354,273,0,161,61,96,115,88,72,62,62,53,52,0
GA,13,Congressional District 1,"=""1301 ""","5,470",77,"5,470","15,010,108","1,645","1,166,769","3,921","5,141,332",502,405,332,"5,417","27,341,908",53,"39,378","5,220",0,"2,917","2,855","2,469",146,"2,723","2,466",0,"1,010",307,738,"1,058",680,626,728,543,412,363,0
GA,13,Congressional District 1,"=""1301 ""","1,562",21,"1,562","5,166,106",685,"445,016","1,425","2,551,891",122,89,139,"1,562","10,904,322",0,0,"1,557",0,607,970,486,106,484,"1,072",0,87,0,35,58,95,287,417,265,226,162,0
GA,13,Congressional District 1,"=""1301 ""","1,285",0,"1,285","3,466,921",418,"315,694",915,"1,339,841",97,75,76,"1,274","6,635,347",0,"7,285","1,224",0,668,713,545,27,657,560,0,256,87,138,237,131,140,147,156,131,113,0
GA,13,Congressional District 1,"=""1301 """,46,0,46,"128,720",9,"12,617",33,"37,796",0,0,0,45,"211,810",0,"1,356",43,0,0,26,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13,Congressional District 1,"=""1301 """,42,0,42,"107,335",9,"7,270",25,"31,871",0,0,0,42,"180,478",0,0,35,0,22,22,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
GA,13,Congressional District 1,"=""1301 ""","1,035",0,"1,035","2,694,550",251,"193,062",648,"850,271",55,61,53,"1,014","4,512,873",21,"15,591",963,0,567,524,505,0,586,394,0,245,68,165,248,158,90,92,76,68,66,0
GA,13,Congressional District 1,"=""1301 """,467,0,467,"1,283,435",115,"82,005",305,"380,473",24,14,18,457,"2,059,434",0,"7,725",424,0,247,230,227,0,238,201,0,121,25,73,110,76,54,46,40,18,24,0
GA,13,Congressional District 1,"=""1301 ""","2,367",46,"2,367","5,694,358",722,"523,996","1,543","2,045,825",280,210,167,"2,313","10,531,087",54,"69,484","2,185",0,"1,044","1,403",884,79,"1,256",968,0,543,186,283,460,277,253,297,234,199,169,0
GA,13,Congressional District 1,"=""1301 """,241,0,241,"628,677",59,"39,937",145,"177,144",0,0,0,238,"1,044,258",0,"1,326",225,0,143,92,146,0,148,79,0,53,0,34,61,36,33,25,0,0,0,0
