"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
HI,15,Congressional District 1,"=""1501 ""","2,390",60,"2,390","5,050,377",716,"544,508","1,321","1,670,438",184,125,113,"2,313","9,472,498",77,"50,627","1,928",0,882,"1,106","1,202",82,"1,104","1,047",0,342,270,375,442,253,223,253,231,201,135,0
HI,15,Congressional District 1,"=""1501 ""","4,904",112,"4,904","10,833,901","1,778","1,429,297","3,070","4,241,316",358,282,351,"4,792","22,005,440",111,"83,555","4,233",0,"1,763","2,291","2,489",124,"2,240","2,289",0,696,396,625,717,510,499,568,575,493,484,37
HI,15,Congressional District 1,"=""1501 ""","1,265",24,"1,265","2,837,056",447,"355,072",778,"1,041,800",93,78,79,"1,231","5,494,515",34,"33,866","1,097",0,529,647,573,46,619,559,0,206,118,171,185,133,139,152,143,109,106,0
HI,15,Congressional District 1,"=""1501 """,51,0,51,"108,999",9,"15,836",29,"38,746",0,0,0,49,"219,486",0,"3,310",44,0,0,36,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,15,Congressional District 1,"=""1501 ""","2,363",44,"2,363","4,953,225",777,"646,136","1,355","1,804,139",177,140,137,"2,298","9,949,819",65,"59,365","1,938",0,789,"1,213","1,033",117,"1,114","1,037",0,345,206,350,406,199,207,299,280,216,186,0
HI,15,Congressional District 1,"=""1501 """,228,4,228,"614,647",95,"68,245",178,"280,470",15,17,22,227,"1,328,117",2,990,213,0,90,135,84,9,82,136,0,22,11,16,22,19,27,43,37,28,24,1
HI,15,Congressional District 1,"=""1501 ""","2,370",41,"2,370","4,740,446",801,"645,858","1,310","1,695,769",196,165,189,"2,287","9,429,995",82,"60,356","1,980",0,745,"1,270","1,028",72,"1,075","1,080",0,381,218,362,391,215,221,293,271,208,179,0
HI,15,Congressional District 1,"=""1501 ""","5,335",210,"5,335","12,778,526","1,712","1,296,299","3,328","4,371,184",250,265,224,"5,224","23,699,360",110,"102,397","4,479",18,"1,907","1,940","3,281",114,"2,450","2,455",0,660,417,748,900,659,620,618,581,415,354,23
HI,15,Congressional District 1,"=""1501 """,28,0,28,"19,918",9,"7,119",6,"6,881",0,0,0,27,"78,259",0,"1,732",27,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,15,Congressional District 1,"=""1501 """,26,0,26,"56,432",7,"4,705",9,"16,139",0,0,0,25,"95,817",0,"2,636",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,15,Congressional District 1,"=""1501 """,22,0,22,"62,902",7,"4,952",9,"18,235",0,0,0,22,"111,051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,15,Congressional District 1,"=""1501 ""","1,514",35,"1,514","2,984,239",327,"241,641",713,"887,261",74,61,71,"1,386","4,919,464",128,"112,870","1,038",0,458,656,789,69,783,564,0,424,238,291,312,171,127,116,121,89,43,0
HI,15,Congressional District 1,"=""1501 ""","1,366",48,"1,366","2,182,567",240,"187,737",477,"569,943",45,62,55,"1,189","3,505,000",176,"164,166",837,0,260,508,799,59,784,408,0,436,224,298,320,120,100,102,91,62,46,0
HI,15,Congressional District 1,"=""1501 ""","1,662",55,"1,662","2,424,751",276,"206,799",544,"622,068",69,67,80,"1,467","4,130,890",195,"154,824","1,099",0,384,792,816,54,956,436,0,544,299,399,384,145,102,108,101,76,47,0
HI,15,Congressional District 1,"=""1501 ""","2,728",72,"2,728","5,106,835",553,"431,600","1,203","1,530,574",119,138,136,"2,482","8,532,343",246,"199,785","1,858",0,794,"1,321","1,321",86,"1,464",932,0,780,413,582,577,268,220,207,183,164,108,0
