"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IA,19,Congressional District 1,"=""1901 """,55,0,55,"111,187",9,"11,904",26,"38,960",0,0,0,52,"216,589",0,"2,152",46,0,0,0,35,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,21,0,21,"41,424",3,"1,963",9,"12,354",0,0,0,9,"88,250",0,"3,418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,80,0,80,"192,805",26,"24,622",48,"59,677",0,0,0,75,"358,003",0,"6,919",62,0,30,29,49,0,41,34,0,22,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,634,0,634,"1,286,759",187,"139,916",327,"417,784",55,42,54,611,"2,463,732",22,"16,068",538,0,269,213,406,0,304,271,0,126,67,113,111,56,60,73,57,49,43,0
IA,19,Congressional District 1,"=""1901 """,25,0,25,"44,959",8,"5,117",8,"15,393",0,0,0,23,"96,687",0,"1,298",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,49,0,49,"103,164",9,"11,566",21,"25,449",0,0,0,48,"184,686",0,32,39,0,0,0,34,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,24,0,24,"50,564",8,"5,705",9,"16,881",0,0,0,23,"106,803",0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,43,0,43,"78,733",9,"9,211",22,"24,881",0,0,0,43,"164,457",0,0,38,0,0,0,22,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 ""","2,714",72,"2,714","6,395,556",998,"794,517","1,712","2,373,732",138,74,113,"2,664","12,364,903",50,"43,876","2,334",0,986,906,"1,752",56,"1,446","1,068",0,324,251,386,379,290,324,278,311,273,209,0
IA,19,Congressional District 1,"=""1901 """,70,0,70,"130,734",22,"20,701",36,"62,484",0,0,0,67,"265,051",0,"1,642",56,0,0,23,45,0,41,24,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,164,0,164,"333,409",46,"32,858",95,"127,116",0,0,0,154,"672,673",0,"4,937",131,0,50,49,111,0,98,49,0,58,22,0,32,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,51,0,51,"119,421",9,"13,072",33,"36,962",0,0,0,49,"193,505",0,"1,385",41,0,21,0,32,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,2,0,2,"6,800",1,309,1,"3,461",0,0,0,2,"13,652",0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,1,0,1,"2,754",1,357,1,"1,094",0,0,0,1,"5,389",0,207,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,24,0,24,"44,105",8,"7,379",8,"15,197",0,0,0,22,"76,681",0,"2,150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,21,0,21,"45,205",4,"2,878",9,"15,534",0,0,0,9,"73,778",0,"3,726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,150,0,150,"308,639",38,"31,293",77,"93,350",0,0,0,142,"579,616",0,"15,435",110,0,38,38,110,0,81,54,0,47,0,23,33,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,8,0,8,"18,627",1,"1,189",5,"6,665",0,0,0,8,"32,984",0,171,7,0,0,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,31,0,31,"61,828",8,"7,973",8,"18,653",0,0,0,27,"98,192",0,"9,067",22,0,0,0,19,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,32,0,32,"66,685",7,"5,143",9,"29,760",0,0,0,29,"128,650",0,"1,163",23,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,25,0,25,"52,327",7,"4,710",9,"19,788",0,0,0,23,"92,537",0,559,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,35,0,35,"63,941",8,"13,385",8,"27,968",0,0,0,34,"144,870",0,"2,517",32,0,0,0,24,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,47,0,47,"91,439",9,"18,441",26,"38,192",0,0,0,40,"209,093",0,"2,179",36,0,0,0,37,0,35,0,0,24,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,11,0,11,"25,096",4,"2,502",6,"8,645",0,0,0,10,"44,889",0,506,9,0,3,4,6,0,6,4,0,3,0,1,2,2,1,1,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,134,0,134,"320,458",43,"34,480",73,"94,181",0,0,0,132,"594,089",0,569,122,0,59,45,84,0,66,63,0,28,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,3,0,3,"6,012",1,692,1,"2,082",0,0,0,3,"11,690",0,48,3,0,1,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,217,0,217,"481,462",60,"43,737",124,"182,944",28,0,0,210,"937,621",0,"11,835",196,0,50,64,149,0,150,56,0,61,0,34,41,23,26,0,23,0,0,0
IA,19,Congressional District 1,"=""1901 """,23,0,23,"57,363",9,"6,303",9,"27,033",0,0,0,21,"96,249",0,"2,714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,19,Congressional District 1,"=""1901 """,330,0,330,"696,559",109,"92,598",182,"231,979",37,0,41,316,"1,291,084",0,"17,750",278,0,94,96,228,0,198,112,0,107,40,50,47,29,38,36,37,23,25,0
