"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IL,17,Congressional District 1,"=""1701 ""","3,240",74,"3,240","9,075,896",804,"541,878","2,150","2,803,992",253,242,131,"3,183","14,946,284",57,"40,888","2,889",0,"1,332","1,515","1,671",54,"1,786","1,244",0,865,178,489,781,488,384,337,282,178,111,0
IL,17,Congressional District 1,"=""1701 """,152,0,152,"319,348",45,"32,191",81,"113,580",0,0,0,148,"648,998",0,"2,172",137,0,45,83,66,0,71,58,0,29,0,28,31,0,0,19,0,0,0,0
IL,17,Congressional District 1,"=""1701 """,949,0,949,"1,851,749",185,"139,635",417,"567,844",35,69,87,893,"3,366,434",56,"48,308",772,0,182,436,506,0,609,245,0,284,121,176,197,101,84,82,67,62,54,0
IL,17,Congressional District 1,"=""1701 """,78,2,78,"245,566",13,"8,512",53,"70,022",5,4,2,77,"365,298",1,679,73,0,43,39,38,2,48,26,0,27,5,15,23,13,8,6,4,3,2,0
IL,17,Congressional District 1,"=""1701 """,552,16,552,"1,683,475",101,"64,599",377,"491,616",37,36,16,545,"2,585,802",7,"6,636",519,0,310,283,264,0,328,195,0,180,35,97,155,91,59,44,36,19,15,0
IL,17,Congressional District 1,"=""1701 """,334,0,334,"687,281",88,"71,830",177,"195,244",21,25,29,322,"1,274,845",0,"12,072",287,0,64,150,182,0,191,116,0,76,43,42,64,40,29,29,38,25,21,0
IL,17,Congressional District 1,"=""1701 ""","1,956",25,"1,956","4,618,495",511,"386,886","1,128","1,378,976",116,138,121,"1,896","7,995,309",60,"63,348","1,710",0,682,959,980,0,"1,083",704,0,461,166,319,421,257,211,203,132,132,115,0
IL,17,Congressional District 1,"=""1701 """,757,0,757,"1,401,609",170,"130,064",353,"450,972",42,63,69,705,"2,583,219",52,"55,794",602,0,150,351,395,0,477,203,0,221,107,140,148,73,61,68,53,50,53,0
IL,17,Congressional District 1,"=""1701 """,99,0,99,"233,419",19,"13,744",56,"71,502",6,6,7,93,"396,474",6,"6,212",84,0,36,41,58,0,61,31,0,34,8,19,22,13,10,9,6,6,6,0
IL,17,Congressional District 1,"=""1701 """,660,0,660,"1,188,758",146,"113,220",286,"345,780",40,46,57,636,"2,248,465",23,"26,955",529,0,142,342,312,0,379,198,0,150,114,111,132,61,58,49,53,42,39,0
