"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
IN,18,Congressional District 1,"=""1801 """,22,0,22,"18,526",1,443,4,"4,184",0,0,0,6,"22,600",0,"4,337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,18,Congressional District 1,"=""1801 """,947,0,947,"2,030,749",249,"191,929",494,"626,207",42,37,63,910,"3,616,613",37,"43,396",817,0,337,489,452,0,445,384,0,181,98,156,216,108,101,76,67,58,65,0
IN,18,Congressional District 1,"=""1801 ""","1,425",0,"1,425","3,053,499",342,"267,542",712,"876,917",61,71,114,"1,370","5,371,845",55,"46,325","1,233",0,482,850,555,0,629,623,0,276,154,257,335,139,142,121,116,80,79,0
IN,18,Congressional District 1,"=""1801 ""","2,896",28,"2,896","5,847,957",727,"582,339","1,376","1,705,264",151,195,246,"2,716","10,299,420",180,"228,270","2,337",0,780,"1,499","1,365",32,"1,639",983,0,761,333,497,600,334,275,230,250,189,174,0
IN,18,Congressional District 1,"=""1801 """,22,0,22,"39,123",4,"2,792",7,"8,881",0,0,0,9,"85,638",0,"1,030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,18,Congressional District 1,"=""1801 """,760,0,760,"1,495,195",174,"142,221",354,"434,549",34,49,66,720,"2,728,182",40,"32,109",603,0,183,354,400,0,421,256,0,184,92,152,148,72,65,59,72,55,43,0
IN,18,Congressional District 1,"=""1801 ""","4,128",96,"4,128","13,281,344",753,"502,935","2,913","3,875,467",145,172,104,"4,090","19,674,434",38,"30,490","3,819",0,"2,086","2,297","1,789",42,"2,359","1,561",0,"1,195",219,786,"1,301",666,374,309,248,139,78,0
IN,18,Congressional District 1,"=""1801 ""","1,543",0,"1,543","3,487,696",417,"323,123",837,"1,049,053",115,96,95,"1,494","6,170,344",49,"46,508","1,340",0,611,805,713,25,756,631,0,282,146,255,331,186,164,147,129,104,80,0
IN,18,Congressional District 1,"=""1801 ""","2,159",49,"2,159","6,647,340",409,"258,632","1,516","2,018,831",117,90,71,"2,136","10,075,322",23,"21,373","1,996",0,"1,181","1,090","1,038",31,"1,166",863,0,575,157,407,603,355,216,159,125,85,51,0
IN,18,Congressional District 1,"=""1801 """,814,0,814,"1,665,147",183,"139,466",388,"490,131",47,77,66,763,"2,939,300",51,"65,963",637,0,183,381,424,0,502,242,0,213,82,135,181,89,73,62,72,60,57,0
IN,18,Congressional District 1,"=""1801 ""","1,393",0,"1,393","2,852,423",378,"286,291",684,"816,744",73,103,120,"1,342","5,198,471",51,"36,427","1,157",0,393,736,642,0,761,500,0,285,151,222,327,145,128,126,112,101,76,0
IN,18,Congressional District 1,"=""1801 ""","2,494",35,"2,494","6,358,447",639,"459,128","1,553","2,007,438",179,153,130,"2,449","11,032,102",45,"35,509","2,244",0,"1,087","1,306","1,166",22,"1,271","1,019",0,465,180,384,574,340,276,217,225,172,113,0
IN,18,Congressional District 1,"=""1801 ""","2,674",58,"2,674","7,223,167",658,"525,860","1,704","2,265,016",159,160,137,"2,622","12,062,395",51,"45,359","2,422",0,"1,194","1,311","1,326",37,"1,394","1,086",0,594,202,412,623,368,286,248,225,150,152,0
IN,18,Congressional District 1,"=""1801 """,27,0,27,"76,434",3,"1,709",9,"17,259",0,0,0,25,"99,123",0,"1,219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,18,Congressional District 1,"=""1801 ""","1,425",27,"1,425","4,027,993",376,"261,083",977,"1,296,171",41,61,55,"1,398","6,620,903",27,"33,060","1,284",0,629,589,821,0,768,570,0,316,102,231,304,224,150,135,119,80,75,0
IN,18,Congressional District 1,"=""1801 """,4,0,4,"7,951",1,786,2,"2,381",0,0,0,3,"14,781",0,181,3,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
