"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
KS,20,Congressional District 1,"=""2001 """,98,0,98,"218,781",30,"22,572",56,"82,216",0,0,0,92,"414,978",0,"4,621",84,0,26,45,51,0,53,40,0,26,0,0,0,0,0,0,0,0,0,0
KS,20,Congressional District 1,"=""2001 """,3,0,3,"6,289",1,449,1,"2,268",0,0,0,2,"9,552",0,130,2,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
KS,20,Congressional District 1,"=""2001 """,0,0,0,"4,585",0,397,0,"1,507",0,0,0,0,"8,254",0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Congressional District 1,"=""2001 """,30,0,30,"59,096",9,"9,330",9,"35,391",0,0,0,27,"136,849",0,"1,658",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Congressional District 1,"=""2001 """,28,0,28,"54,862",7,"9,868",19,"34,153",0,0,0,27,"114,664",0,"2,783",23,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Congressional District 1,"=""2001 """,66,0,66,"158,817",9,"18,537",37,"40,372",0,0,0,63,"234,847",0,"3,214",50,0,22,43,22,0,35,27,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Congressional District 1,"=""2001 """,30,0,30,"56,201",9,"7,315",9,"20,621",0,0,0,29,"113,406",0,246,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Congressional District 1,"=""2001 """,23,0,23,"46,990",5,"3,941",8,"14,303",0,0,0,21,"80,051",0,"2,577",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Congressional District 1,"=""2001 """,9,0,9,"15,853",1,793,4,"7,244",0,0,0,4,"34,135",0,"1,013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,Congressional District 1,"=""2001 ""","3,301",35,"3,301","8,184,453","1,075","767,126","2,257","2,980,651",281,197,237,"3,263","15,982,432",38,"38,119","3,091",0,"1,473","1,730","1,274",297,"1,467","1,587",0,324,195,437,567,417,444,397,308,261,262,0
KS,20,Congressional District 1,"=""2001 ""","2,661",25,"2,661","8,837,763",923,"647,442","2,339","4,270,032",189,179,341,"2,660","18,174,849",0,55,"2,641",0,796,"1,482",681,498,"1,078","1,511",0,196,0,161,341,327,394,456,347,310,292,0
KS,20,Congressional District 1,"=""2001 """,52,0,52,"93,176",9,"11,079",26,"38,346",0,0,0,47,"182,850",0,"3,930",42,0,0,27,25,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
