"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
KY,21,Congressional District 1,"=""2101 """,107,0,107,"288,915",33,"24,705",69,"101,437",0,0,0,103,"515,443",0,872,86,0,43,33,74,0,63,40,0,26,0,0,0,0,0,0,0,0,0,0
KY,21,Congressional District 1,"=""2101 ""","1,234",21,"1,234","3,023,398",358,"272,621",735,"915,856",38,50,60,"1,199","5,434,278",35,"26,582","1,076",0,536,383,830,21,702,448,0,236,113,211,215,173,131,130,118,74,64,0
KY,21,Congressional District 1,"=""2101 """,260,0,260,"626,662",84,"65,023",151,"214,625",0,0,0,251,"1,219,606",0,"5,965",218,0,96,74,186,0,149,93,0,60,27,39,44,35,27,25,22,0,21,0
KY,21,Congressional District 1,"=""2101 """,1,0,1,"2,774",1,172,1,934,0,0,0,1,"4,386",0,11,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,21,Congressional District 1,"=""2101 """,28,0,28,"57,509",5,"6,915",14,"16,193",0,0,0,25,"105,722",0,728,22,0,0,0,19,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0
KY,21,Congressional District 1,"=""2101 """,126,0,126,"269,589",34,"26,398",64,"75,900",0,0,0,120,"457,589",0,"4,014",96,0,42,41,85,0,87,28,0,41,0,24,24,0,0,0,0,0,0,0
KY,21,Congressional District 1,"=""2101 """,34,0,34,"92,686",8,"5,804",21,"30,846",0,0,0,33,"172,995",0,170,32,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,21,Congressional District 1,"=""2101 """,54,0,54,"129,320",14,"10,606",32,"40,662",3,2,3,52,"231,135",2,"1,187",43,0,22,16,37,0,28,21,0,14,5,10,10,7,5,5,5,3,3,0
KY,21,Congressional District 1,"=""2101 """,4,0,4,"9,798",1,583,2,"2,931",0,0,0,4,"16,082",0,168,3,0,2,1,3,0,3,1,0,1,0,1,1,1,0,0,0,0,0,0
KY,21,Congressional District 1,"=""2101 """,93,0,93,"222,388",22,"16,426",50,"61,438",0,0,0,88,"382,462",0,"5,220",79,0,39,28,63,0,59,26,0,34,0,18,15,15,0,0,0,0,0,0
KY,21,Congressional District 1,"=""2101 """,86,0,86,"196,588",22,"16,849",50,"59,462",0,0,0,82,"332,175",0,"1,878",68,0,32,20,64,0,52,28,0,26,7,18,19,11,7,7,6,5,5,0
