"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
LA,22,Congressional District 1,"=""2201 ""","3,176",63,"3,176","7,449,749",680,"482,465","1,743","2,139,185",270,188,145,"2,985","11,941,208",188,"158,493","2,707",66,"1,378","1,432","1,679",65,"1,753","1,158",0,985,321,570,756,463,310,293,242,141,78,0
LA,22,Congressional District 1,"=""2201 ""","1,568",48,"1,568","3,656,516",319,"219,813",866,"1,087,922",115,103,57,"1,467","5,799,617",101,"85,697","1,290",23,661,615,926,27,939,495,0,545,149,275,400,218,154,146,111,69,46,0
LA,22,Congressional District 1,"=""2201 ""","3,115",62,"3,115","7,787,206",681,"478,943","1,767","2,258,464",269,164,134,"2,913","12,101,603",200,"169,518","2,618",47,"1,303","1,318","1,763",34,"1,873","1,037",0,"1,053",262,516,726,488,335,279,232,168,107,0
LA,22,Congressional District 1,"=""2201 """,27,0,27,"58,286",3,"1,588",9,"13,381",0,0,0,25,"92,973",0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,22,Congressional District 1,"=""2201 ""","1,229",0,"1,229","2,329,730",246,"181,147",533,"642,111",97,83,85,"1,113","3,802,777",115,"106,875",964,0,408,609,592,28,711,395,0,442,162,242,298,130,109,111,82,62,33,0
LA,22,Congressional District 1,"=""2201 ""","1,191",39,"1,191","2,845,526",261,"192,690",653,"870,765",90,66,53,"1,097","4,425,824",94,"84,113",968,0,458,497,672,22,725,372,0,455,106,187,288,184,125,81,100,72,45,0
LA,22,Congressional District 1,"=""2201 """,32,0,32,"59,774",8,"5,701",8,"9,195",0,0,0,30,"87,399",0,232,23,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,22,Congressional District 1,"=""2201 """,506,0,506,"1,339,992",109,"77,706",315,"394,333",39,24,22,488,"2,073,074",0,"14,989",446,0,249,213,278,0,282,192,0,167,43,85,119,87,58,40,33,25,0,0
LA,22,Congressional District 1,"=""2201 """,23,0,23,"63,340",1,641,9,"17,464",0,0,0,21,"72,234",0,"1,835",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,22,Congressional District 1,"=""2201 """,97,0,97,"224,151",9,"14,633",51,"60,603",0,0,0,84,"355,148",0,"15,385",72,0,42,23,74,0,76,0,0,57,0,0,0,0,0,0,0,0,0,0
LA,22,Congressional District 1,"=""2201 ""","1,266",0,"1,266","3,134,640",434,"333,559",851,"1,143,509",152,97,95,"1,219","5,923,085",46,"35,514","1,141",0,534,632,627,0,633,566,0,335,81,151,201,159,144,148,149,127,98,0
LA,22,Congressional District 1,"=""2201 """,47,0,47,"138,958",7,"4,809",24,"31,938",0,0,0,39,"173,315",0,"13,183",35,0,0,24,23,0,38,0,0,23,0,0,0,0,0,0,0,0,0,0
