"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MD,24,Congressional District 1,"=""2401 """,331,6,331,"814,388",83,"64,520",206,"256,467",23,17,11,325,"1,381,491",7,"8,044",292,0,149,191,129,12,173,133,0,68,32,55,72,43,34,34,27,19,15,0
MD,24,Congressional District 1,"=""2401 """,655,0,655,"1,362,422",159,"121,220",356,"458,727",47,53,38,627,"2,445,962",27,"27,079",552,0,213,369,266,20,393,199,0,184,64,117,133,67,68,57,46,53,49,0
MD,24,Congressional District 1,"=""2401 """,24,0,24,"29,767",3,"5,172",8,"8,605",0,0,0,22,"64,219",0,"1,225",18,0,0,14,9,0,14,0,0,7,0,0,0,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 ""","1,286",0,"1,286","2,413,236",341,"280,008",632,"745,031",97,72,89,"1,223","4,288,606",63,"59,418","1,015",0,364,738,501,46,742,408,0,314,149,221,268,141,128,84,112,92,82,0
MD,24,Congressional District 1,"=""2401 """,973,0,973,"1,817,648",267,"208,051",460,"526,111",74,69,62,926,"3,206,656",46,"45,986",750,0,257,536,411,26,602,270,0,270,99,185,194,86,86,78,99,90,54,0
MD,24,Congressional District 1,"=""2401 """,109,0,109,"203,340",36,"30,907",52,"67,424",0,0,0,101,"388,645",0,"14,006",84,0,33,58,47,0,66,34,0,30,0,0,0,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,134,3,134,"299,899",34,"25,273",75,"93,593",13,11,7,129,"492,910",6,"4,490",107,0,46,66,65,3,77,47,0,35,12,22,26,15,15,15,14,10,5,0
MD,24,Congressional District 1,"=""2401 """,189,0,189,"368,241",50,"38,958",89,"107,386",0,0,0,177,"648,696",0,"7,461",149,0,58,94,91,0,94,70,0,41,0,35,36,24,22,23,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,155,2,155,"410,332",39,"28,439",104,"134,519",15,8,6,153,"678,385",2,"1,614",142,0,77,87,62,5,84,62,0,36,12,23,35,21,16,16,14,10,7,0
MD,24,Congressional District 1,"=""2401 """,303,0,303,"540,346",59,"50,225",130,"157,423",0,0,0,280,"853,743",23,"11,393",204,0,56,161,133,0,188,75,0,107,45,63,67,30,23,24,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,363,0,363,"624,172",80,"67,795",173,"189,806",24,0,0,332,"1,191,298",31,"28,031",274,0,93,189,154,0,200,121,0,88,40,90,75,30,28,30,32,0,0,0
MD,24,Congressional District 1,"=""2401 """,500,0,500,"880,256",144,"115,653",234,"264,294",31,41,40,483,"1,672,859",0,"16,193",391,0,123,282,206,0,295,156,0,122,54,89,103,43,50,39,41,46,35,0
MD,24,Congressional District 1,"=""2401 """,136,0,136,"185,480",29,"23,378",52,"68,677",0,0,0,129,"337,625",0,"9,770",107,0,22,46,53,37,109,0,0,35,34,28,24,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,29,0,29,"36,264",4,"4,066",4,"9,790",0,0,0,24,"72,524",0,"2,409",17,0,0,17,12,0,19,0,0,12,0,0,0,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,582,0,582,"1,155,418",167,"135,775",299,"360,914",41,29,36,564,"2,110,884",0,"13,645",485,0,206,259,293,30,338,187,0,121,70,85,113,71,57,60,41,46,35,0
MD,24,Congressional District 1,"=""2401 """,159,0,159,"342,847",43,"32,249",89,"106,453",12,7,6,154,"611,210",6,"3,909",134,0,65,96,57,6,80,64,0,30,15,30,35,17,16,15,14,11,6,0
MD,24,Congressional District 1,"=""2401 """,230,0,230,"375,937",57,"47,862",99,"113,157",0,0,0,207,"706,934",23,"9,836",160,0,49,119,106,0,134,70,0,72,0,55,53,22,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,302,0,302,"631,204",84,"64,128",165,"186,467",31,17,17,291,"1,130,575",11,"11,164",248,0,108,173,125,0,161,116,0,74,31,51,60,34,28,28,30,23,15,0
MD,24,Congressional District 1,"=""2401 """,131,0,131,"225,109",28,"24,721",56,"67,323",0,0,0,118,"405,616",0,"20,952",93,0,21,60,69,0,81,37,0,40,0,0,28,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,492,0,492,"956,199",124,"90,290",234,"307,934",33,27,0,463,"1,764,076",29,"25,723",394,0,157,241,228,23,295,142,0,116,61,90,93,58,49,50,39,26,25,0
MD,24,Congressional District 1,"=""2401 """,23,0,23,"33,894",5,"4,277",9,"10,882",0,0,0,20,"67,872",0,"1,335",15,0,0,12,10,0,15,6,0,8,0,6,4,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,91,0,91,"164,338",16,"11,889",34,"46,023",0,0,0,84,"263,594",0,"5,894",62,0,21,38,50,0,58,24,0,32,15,22,16,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,371,0,371,"747,827",82,"63,600",184,"241,093",27,27,21,341,"1,232,696",30,"26,524",264,0,81,168,201,0,253,91,0,152,39,74,70,33,32,41,38,26,18,0
MD,24,Congressional District 1,"=""2401 """,44,0,44,"55,491",7,"6,210",13,"16,650",0,0,0,41,"103,499",0,"2,524",30,0,8,25,20,0,26,12,0,16,8,10,10,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,115,0,115,"248,552",29,"23,147",59,"89,020",0,0,0,102,"447,662",0,"11,062",88,0,37,64,48,0,69,36,0,44,0,0,21,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,56,1,56,"133,320",14,"9,953",33,"43,235",5,4,2,53,"212,335",3,"3,254",44,0,19,27,29,1,35,18,0,19,5,9,10,8,6,6,5,4,3,0
MD,24,Congressional District 1,"=""2401 """,278,0,278,"496,661",82,"63,516",137,"153,881",0,0,0,265,"903,885",0,"7,215",225,0,79,143,130,0,147,98,0,73,33,61,55,32,21,0,0,22,0,0
MD,24,Congressional District 1,"=""2401 """,10,0,10,"16,164",1,"1,524",4,"5,887",0,0,0,10,"29,699",0,675,7,0,2,5,6,0,6,3,0,3,0,0,2,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,0,0,0,"17,768",0,"2,191",0,"7,963",0,0,0,0,"32,544",0,"3,609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,381,0,381,"763,835",96,"71,298",196,"238,904",24,18,18,362,"1,356,930",19,"18,557",310,0,123,182,166,33,214,135,0,82,45,69,81,42,34,36,28,22,22,0
MD,24,Congressional District 1,"=""2401 """,308,0,308,"632,707",91,"75,309",173,"209,372",21,14,19,294,"1,158,387",14,"14,236",251,0,88,165,129,14,176,102,0,72,37,44,62,30,28,30,30,21,25,0
MD,24,Congressional District 1,"=""2401 """,138,0,138,"300,637",38,"23,650",78,"92,908",0,0,0,130,"532,380",0,"7,022",108,0,51,60,75,0,68,57,0,31,0,27,24,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,133,0,133,"232,794",34,"26,076",63,"80,377",0,0,0,121,"449,151",0,"11,143",96,0,29,63,70,0,91,30,0,45,19,29,31,0,0,0,0,0,0,0
MD,24,Congressional District 1,"=""2401 """,132,0,132,"280,934",32,"21,993",72,"79,043",0,0,0,124,"460,982",0,"4,692",96,0,36,59,72,0,77,43,0,44,0,26,32,17,0,0,14,0,0,0
