"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MI,26,Congressional District 1,"=""2601 """,32,0,32,"45,147",8,"5,709",9,"17,037",0,0,0,30,"96,371",0,"2,720",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,99,0,99,"206,322",31,"24,986",52,"85,045",0,0,0,92,"387,244",0,"3,448",84,0,0,38,61,0,58,32,0,28,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,71,0,71,"156,250",9,"14,510",31,"46,308",0,0,0,66,"290,019",0,"1,559",62,0,27,27,44,0,25,36,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,391,0,391,"868,164",81,"58,016",205,"264,105",0,0,0,379,"1,484,278",0,"9,220",352,0,180,162,223,0,159,185,0,73,65,72,74,53,37,27,26,24,0,0
MI,26,Congressional District 1,"=""2601 """,187,0,187,"419,846",36,"24,865",96,"129,684",0,8,12,175,"681,530",12,"10,060",152,0,66,96,88,0,95,75,0,49,26,35,36,28,16,16,13,8,8,0
MI,26,Congressional District 1,"=""2601 """,33,0,33,"77,935",6,"4,669",17,"24,626",0,0,0,32,"128,444",0,"1,552",28,0,9,17,15,0,18,13,0,10,5,5,6,5,3,4,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,26,0,26,"41,322",6,"3,801",8,"9,969",0,0,0,24,"77,463",0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,0,0,0,"31,174",0,"3,856",0,"7,364",0,0,0,0,"51,121",0,"1,652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,26,0,26,"40,876",3,"2,151",9,"16,116",0,0,0,25,"69,956",0,43,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,88,0,88,"177,743",8,"8,739",39,"45,383",0,0,0,80,"259,380",0,"8,046",68,0,19,46,42,0,47,32,0,30,0,0,22,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,82,0,82,"183,670",9,"15,234",42,"47,461",0,0,0,77,"285,212",0,"2,739",70,0,35,46,35,0,35,39,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,185,0,185,"376,649",33,"22,301",88,"112,160",0,0,0,168,"587,843",0,"9,398",144,0,52,94,87,0,97,68,0,65,37,29,42,26,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,141,0,141,"296,903",39,"29,577",71,"92,913",0,0,0,135,"531,497",0,"10,096",127,0,44,71,65,0,72,59,0,40,0,26,26,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,102,0,102,"231,331",27,"16,714",58,"73,065",0,0,0,91,"375,921",0,"6,400",77,0,34,52,47,0,56,39,0,36,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,17,0,17,"29,995",2,"2,827",8,"8,130",0,0,0,16,"54,506",0,702,14,0,0,8,8,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,68,0,68,"134,931",7,"4,750",32,"40,541",0,0,0,64,"210,301",0,"3,845",58,0,21,36,31,0,34,25,0,23,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,7,0,7,"15,878",1,821,4,"4,909",0,0,0,7,"25,455",0,186,6,0,3,3,4,0,4,3,0,2,0,2,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,12,0,12,"28,830",3,"2,812",6,"8,891",0,0,0,12,"52,471",0,374,9,0,5,5,7,0,7,4,0,3,0,2,2,2,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,127,0,127,"299,609",32,"21,469",79,"97,246",0,0,0,125,"521,253",0,539,105,0,45,59,66,0,65,50,0,31,0,22,30,17,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,117,0,117,"263,113",22,"17,863",57,"71,334",0,0,0,112,"455,368",0,"1,691",95,0,39,51,64,0,60,45,0,29,0,23,26,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,245,0,245,"534,976",57,"42,434",132,"169,725",10,8,14,238,"928,007",8,"4,448",205,0,93,123,117,5,122,97,0,48,28,44,55,31,23,21,16,13,13,0
MI,26,Congressional District 1,"=""2601 """,106,0,106,"248,417",28,"22,212",62,"84,234",0,0,0,103,"426,362",0,"1,630",91,0,43,47,58,0,55,44,0,26,14,14,21,14,12,10,6,7,7,0
MI,26,Congressional District 1,"=""2601 """,0,0,0,"17,331",0,"1,000",0,"4,000",0,0,0,0,"25,359",0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,38,0,38,"91,517",9,"7,894",21,"30,308",0,0,0,37,"148,693",0,"1,510",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,95,0,95,"223,648",21,"18,507",51,"65,643",0,0,0,87,"356,615",0,"12,037",75,0,27,46,45,0,56,34,0,31,0,0,21,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,38,0,38,"81,448",9,"7,980",9,"25,991",0,0,0,37,"133,815",0,64,28,0,0,0,23,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,219,0,219,"479,320",65,"47,799",120,"164,213",0,0,0,203,"818,828",0,"9,087",166,0,84,99,117,0,144,57,0,77,24,33,43,27,0,23,0,0,21,0
MI,26,Congressional District 1,"=""2601 """,305,0,305,"601,490",71,"50,690",142,"172,713",0,0,21,280,"999,798",25,"23,653",231,0,106,144,157,0,178,92,0,104,34,62,69,38,30,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,225,0,225,"483,196",52,"35,858",117,"143,797",0,0,0,215,"826,765",0,"7,404",197,0,101,110,113,0,111,87,0,53,23,37,56,26,22,23,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,264,0,264,"549,489",59,"44,552",139,"175,593",0,0,0,245,"927,444",0,"7,878",218,0,94,125,135,0,155,82,0,86,31,59,53,24,24,27,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,76,0,76,"175,518",9,"11,920",40,"53,372",0,0,0,72,"277,109",0,"4,065",62,0,25,39,34,0,46,24,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,115,0,115,"266,788",36,"29,728",70,"94,612",0,0,0,110,"475,556",0,"4,011",101,0,51,56,58,0,63,44,0,34,9,18,22,15,10,10,10,10,10,0
MI,26,Congressional District 1,"=""2601 """,189,0,189,"351,373",44,"38,312",76,"107,121",0,0,0,166,"596,160",23,"14,853",133,0,37,89,91,0,127,47,0,82,0,36,37,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,206,0,206,"456,310",58,"43,853",118,"142,891",0,0,0,195,"751,435",0,"11,297",181,0,66,100,103,0,120,69,0,76,22,31,40,23,26,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,119,0,119,"287,241",27,"16,762",73,"96,778",0,0,0,114,"488,664",0,"4,629",99,0,57,54,64,0,55,58,0,36,0,20,28,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,37,0,37,"76,524",9,"8,566",9,"27,726",0,0,0,35,"150,921",0,794,28,0,0,21,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,0,0,0,"35,958",0,"2,518",0,"12,509",0,0,0,0,"55,046",0,"2,113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,40,0,40,"84,973",6,"4,266",9,"22,132",0,0,0,36,"129,648",0,"1,202",31,0,0,0,21,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,142,0,142,"274,422",34,"22,953",63,"72,834",0,0,0,130,"451,669",0,"7,517",111,0,44,72,65,0,78,48,0,43,0,24,39,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,76,0,76,"108,427",9,"13,835",26,"34,803",0,0,0,67,"203,403",0,"5,521",57,0,0,34,35,0,51,0,0,30,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,328,0,328,"750,366",95,"69,797",180,"225,180",0,0,0,311,"1,260,979",0,"17,583",290,0,121,157,157,0,173,127,0,93,39,50,68,40,28,25,28,31,20,0
MI,26,Congressional District 1,"=""2601 """,238,0,238,"505,387",55,"36,555",113,"142,917",0,0,0,215,"832,192",23,"12,197",190,0,76,106,120,0,135,83,0,73,26,41,52,29,36,21,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,31,0,31,"33,185",3,"1,729",9,"10,518",0,0,0,27,"49,422",0,"3,676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,356,0,356,"802,333",100,"71,302",193,"268,637",21,0,0,335,"1,390,174",21,"12,706",304,0,127,170,163,23,190,122,0,83,34,53,79,46,34,41,23,0,28,0
MI,26,Congressional District 1,"=""2601 """,7,0,7,"15,941",1,954,4,"5,517",0,0,0,6,"26,722",0,615,6,0,3,4,3,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,141,0,141,"339,783",28,"19,311",76,"100,348",0,0,0,129,"521,003",0,"7,317",110,0,43,70,69,0,79,50,0,56,0,28,36,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,569,0,569,"1,147,197",174,"143,968",303,"392,604",37,26,40,529,"2,073,346",40,"20,947",472,0,173,270,271,28,336,198,0,175,65,88,112,51,50,53,52,34,55,0
MI,26,Congressional District 1,"=""2601 """,3,0,3,"5,742",1,432,1,"1,577",0,0,0,3,"9,709",0,67,3,0,1,2,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,184,0,184,"395,191",41,"30,613",99,"113,813",0,0,0,176,"672,765",0,"5,982",155,0,87,107,77,0,107,64,0,46,0,38,46,21,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,846,0,846,"1,907,185",205,"163,081",478,"612,167",34,22,40,810,"3,233,279",36,"17,678",749,0,365,417,401,28,405,355,0,209,98,151,184,102,78,80,55,52,42,0
MI,26,Congressional District 1,"=""2601 """,119,0,119,"223,150",30,"24,917",62,"72,458",0,0,0,112,"382,010",0,"6,025",91,0,33,69,43,0,81,28,0,39,0,0,29,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,564,0,564,"1,341,635",186,"138,783",348,"513,199",25,25,32,538,"2,439,652",26,"19,412",490,0,210,260,283,22,300,223,0,147,59,69,87,78,65,62,58,34,50,0
MI,26,Congressional District 1,"=""2601 """,209,0,209,"448,531",71,"57,382",115,"153,327",0,0,0,194,"774,275",0,"12,172",166,0,56,115,92,0,130,69,0,77,0,25,34,27,22,0,22,23,0,0
MI,26,Congressional District 1,"=""2601 """,101,0,101,"223,271",23,"14,574",56,"82,844",0,0,0,100,"378,411",0,"3,094",88,0,34,51,43,0,66,22,0,32,0,0,28,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,23,0,23,"19,236",4,"2,659",4,"4,495",0,0,0,9,"37,042",0,"6,447",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,Congressional District 1,"=""2601 """,736,0,736,"1,819,316",159,"121,477",440,"593,766",0,25,24,713,"3,069,464",23,"11,977",649,0,375,378,347,0,306,342,0,181,69,116,182,97,60,80,47,34,45,0
MI,26,Congressional District 1,"=""2601 ""","1,068",0,"1,068","2,299,123",263,"196,664",559,"725,742",38,47,77,"1,029","4,068,564",39,"26,913",907,0,469,536,519,0,617,359,0,194,116,193,240,133,104,72,88,60,59,0
MI,26,Congressional District 1,"=""2601 """,146,0,146,"244,571",31,"26,389",59,"72,742",0,0,0,133,"459,004",0,"8,759",113,0,41,71,71,0,88,37,0,55,0,31,31,0,0,0,0,0,0,0
