"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MN,27,Congressional District 1,"=""2701 """,2,0,2,"5,377",1,696,1,"1,782",0,0,0,2,"9,176",0,270,2,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
MN,27,Congressional District 1,"=""2701 ""","2,400",117,"2,400","5,647,723",765,"575,016","1,458","1,928,507",170,84,142,"2,294","9,648,577",106,"92,421","1,892",0,682,904,"1,420",76,"1,169","1,044",0,413,274,341,412,313,280,290,197,169,113,0
MN,27,Congressional District 1,"=""2701 """,242,0,242,"532,024",85,"74,289",152,"203,714",28,0,28,222,"977,992",0,"21,537",194,0,61,124,117,0,138,87,0,69,0,33,35,25,30,28,0,32,22,0
MN,27,Congressional District 1,"=""2701 """,172,0,172,"357,668",61,"50,908",96,"122,174",0,0,0,164,"667,892",0,"8,775",139,0,45,74,90,0,86,76,0,29,0,23,31,0,0,25,0,0,0,0
MN,27,Congressional District 1,"=""2701 """,127,0,127,"268,010",25,"18,786",68,"93,609",0,0,0,118,"486,615",0,"7,278",105,0,47,49,78,0,61,56,0,33,0,22,25,0,0,0,0,0,0,0
MN,27,Congressional District 1,"=""2701 """,1,0,1,"3,215",1,132,1,"1,237",0,0,0,1,"4,796",0,113,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MN,27,Congressional District 1,"=""2701 """,25,0,25,"50,255",8,"6,382",14,"17,561",3,1,3,23,"89,022",2,"2,403",20,0,7,13,11,1,13,10,0,5,2,4,4,3,3,2,2,2,2,0
MN,27,Congressional District 1,"=""2701 ""","2,180",36,"2,180","4,854,798",675,"518,152","1,292","1,726,356",224,100,181,"2,100","8,629,774",80,"67,190","1,778",0,659,811,"1,277",92,"1,185",850,0,372,270,300,382,257,252,218,190,147,152,0
MN,27,Congressional District 1,"=""2701 """,24,0,24,"42,559",4,"5,014",12,"13,978",0,0,0,23,"69,390",0,"1,600",20,0,0,12,12,0,15,0,0,11,0,0,0,0,0,0,0,0,0,0
MN,27,Congressional District 1,"=""2701 """,7,0,7,"14,189",2,"1,203",3,"5,721",0,0,0,6,"26,224",0,675,5,0,3,2,4,0,3,3,0,2,0,0,0,1,0,0,0,0,0,0
MN,27,Congressional District 1,"=""2701 """,11,0,11,"26,839",4,"3,024",7,"11,548",0,0,0,10,"46,886",0,507,8,0,4,3,8,0,7,3,0,5,0,0,2,0,0,0,0,0,0,0
MN,27,Congressional District 1,"=""2701 ""","3,407",81,"3,407","7,658,559","1,009","756,835","1,975","2,717,985",314,238,335,"3,308","13,663,191",99,"94,155","2,866",0,723,"1,420","1,722",265,"2,037","1,117",0,566,337,546,582,428,390,350,310,238,212,0
MN,27,Congressional District 1,"=""2701 """,750,0,750,"1,334,752",179,"148,205",347,"460,988",50,47,85,720,"2,431,100",30,"12,605",589,0,164,326,337,87,455,227,0,146,124,136,147,75,60,54,60,41,48,0
MN,27,Congressional District 1,"=""2701 """,72,0,72,"127,872",21,"16,416",33,"37,409",0,0,0,66,"220,910",0,"4,641",47,0,0,30,30,0,46,22,0,0,0,0,0,0,0,0,0,0,0,0
MN,27,Congressional District 1,"=""2701 ""","2,274",70,"2,274","5,357,971",653,"480,808","1,321","1,797,358",156,75,140,"2,217","8,961,749",57,"50,145","1,889",0,548,840,"1,219",215,"1,407",702,0,371,252,382,448,271,266,225,174,132,120,0
MN,27,Congressional District 1,"=""2701 """,995,0,995,"1,980,129",267,"203,728",485,"637,629",76,62,89,944,"3,492,244",51,"50,669",786,0,221,416,450,129,601,330,0,176,140,172,169,125,102,95,85,63,41,0
MN,27,Congressional District 1,"=""2701 """,70,0,70,"134,360",9,"13,261",34,"39,654",0,0,0,63,"225,575",0,"11,043",52,0,0,23,43,0,49,0,0,23,0,0,0,0,0,0,0,0,0,0
MN,27,Congressional District 1,"=""2701 """,61,0,61,"115,769",7,"11,206",30,"43,806",0,0,0,54,"194,904",0,"2,143",46,0,0,22,37,0,40,17,0,28,0,0,0,0,0,0,0,0,0,0
MN,27,Congressional District 1,"=""2701 ""","2,716",63,"2,716","6,029,051",920,"709,680","1,608","2,230,606",225,96,153,"2,650","11,423,996",66,"62,645","2,260",0,753,"1,013","1,383",320,"1,345","1,198",0,310,309,413,428,315,271,288,310,211,158,0
