"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
MT,30,Congressional District (at Large),"=""3000 """,66,0,66,"143,259",24,"16,979",38,"42,609",0,0,0,61,"225,107",0,"3,476",47,0,0,25,39,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Congressional District (at Large),"=""3000 """,146,0,146,"341,833",48,"36,405",93,"126,452",0,0,0,146,"655,997",0,0,126,0,45,44,37,65,103,37,0,0,0,24,23,0,0,0,0,0,0,0
MT,30,Congressional District (at Large),"=""3000 """,72,0,72,"195,316",9,"12,900",48,"79,506",0,0,0,68,"332,143",0,"2,602",58,0,21,35,33,0,39,28,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Congressional District (at Large),"=""3000 """,29,0,29,"57,026",9,"6,868",9,"14,266",0,0,0,25,"95,138",0,"3,412",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Congressional District (at Large),"=""3000 """,198,0,198,"427,105",54,"41,323",105,"142,711",0,0,24,182,"695,815",0,"17,400",140,0,51,92,103,0,124,63,0,81,22,32,37,0,0,23,21,0,0,0
MT,30,Congressional District (at Large),"=""3000 """,95,0,95,"190,638",29,"22,637",45,"60,540",0,0,0,83,"293,749",0,"8,545",68,0,26,36,55,0,59,26,0,34,0,0,0,0,0,0,0,0,0,0
MT,30,Congressional District (at Large),"=""3000 """,32,0,32,"53,818",3,"1,776",9,"35,173",0,0,0,29,"96,998",0,"3,258",26,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Congressional District (at Large),"=""3000 """,116,0,116,"349,295",34,"29,547",86,"122,837",0,0,0,115,"611,748",0,606,103,0,67,28,62,26,67,46,0,0,0,22,0,0,0,0,0,0,0,0
MT,30,Congressional District (at Large),"=""3000 """,37,0,37,"68,883",9,"9,885",9,"26,237",0,0,0,34,"122,770",0,"2,955",29,0,0,21,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,30,Congressional District (at Large),"=""3000 """,198,0,198,"391,301",55,"37,086",95,"118,156",0,0,0,190,"664,297",0,"6,833",138,0,39,99,96,0,102,76,0,55,39,21,40,0,21,0,0,0,0,0
MT,30,Congressional District (at Large),"=""3000 """,522,0,522,"1,613,437",166,"126,953",397,"520,895",0,0,0,522,"2,789,164",0,0,489,0,405,100,409,0,212,286,0,24,46,92,83,88,75,40,45,35,0,0
MT,30,Congressional District (at Large),"=""3000 """,31,0,31,"65,521",9,"7,492",9,"18,861",0,0,0,30,"95,286",0,351,0,0,0,0,21,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
