"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
ND,38,Congressional District (at Large),"=""3800 """,0,0,0,"31,246",0,"3,799",0,"7,748",0,0,0,0,"54,239",0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,0,0,0,"40,267",0,"8,368",0,"22,690",0,0,0,0,"90,862",0,"9,741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,124,0,124,"272,950",41,"31,449",65,"94,581",0,0,0,115,"517,846",0,"11,046",96,0,45,46,73,0,57,60,0,21,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,0,0,0,"34,644",0,34,0,"13,787",0,0,0,0,"51,459",0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,104,0,104,"226,140",36,"26,239",61,"83,512",0,0,0,98,"442,047",0,"2,891",89,0,23,49,55,0,57,41,0,30,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,30,0,30,"82,126",7,"4,946",9,"36,716",0,0,0,27,"155,128",0,"1,799",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,0,0,0,"39,359",0,"9,189",0,"12,014",0,0,0,0,"74,641",0,"5,580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,21,0,21,"46,185",8,"5,557",9,"18,443",0,0,0,9,"92,881",0,"1,068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,50,0,50,"91,023",9,"12,880",23,"23,707",0,0,0,47,"156,874",0,"2,824",41,0,0,0,27,0,24,23,0,0,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,98,0,98,"210,218",23,"16,497",50,"68,579",0,0,0,86,"371,733",0,"13,726",76,0,38,35,63,0,55,36,0,31,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,37,0,37,"46,824",9,"7,233",9,"15,635",0,0,0,35,"114,010",0,"1,144",30,0,0,22,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,98,0,98,"233,179",33,"30,323",60,"78,003",0,0,0,95,"478,231",0,"6,602",87,0,36,55,40,0,44,49,0,21,0,0,0,0,0,0,0,0,0,0
ND,38,Congressional District (at Large),"=""3800 """,24,0,24,"44,082",9,"7,164",9,"13,033",0,0,0,24,"90,720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
