"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NH,33,Congressional District 1,"=""3301 """,180,0,180,"303,659",57,"44,906",80,"83,395",0,0,0,170,"585,235",0,"16,192",143,0,48,105,69,0,93,73,0,48,25,40,27,22,0,0,0,0,0,0
NH,33,Congressional District 1,"=""3301 """,141,0,141,"255,041",33,"28,105",68,"70,911",0,0,0,133,"483,235",0,"9,715",119,0,29,87,52,0,77,55,0,43,0,23,36,0,0,0,0,0,0,0
NH,33,Congressional District 1,"=""3301 """,162,0,162,"284,399",37,"30,392",73,"89,082",0,0,0,155,"546,641",0,"5,301",127,0,28,95,61,0,95,49,0,44,23,27,34,0,0,0,0,0,0,0
NH,33,Congressional District 1,"=""3301 ""","2,019",0,"2,019","3,925,073",608,"475,355",996,"1,122,122",197,123,170,"1,934","7,557,936",85,"103,806","1,676",0,642,"1,181",741,97,908,896,0,358,231,312,384,202,210,213,198,152,108,0
NH,33,Congressional District 1,"=""3301 """,380,0,380,"739,050",124,"99,000",187,"205,240",23,0,40,359,"1,398,272",0,"24,539",299,0,120,222,147,0,170,169,0,83,38,60,65,53,39,38,30,28,26,0
NH,33,Congressional District 1,"=""3301 """,151,0,151,"269,207",46,"39,141",69,"76,648",0,0,0,144,"538,510",0,"12,492",119,0,38,94,50,0,66,67,0,25,0,23,30,0,0,21,0,0,0,0
NH,33,Congressional District 1,"=""3301 """,561,0,561,"1,041,843",151,"127,403",257,"310,191",48,38,58,529,"2,022,477",32,"35,656",453,0,127,354,191,0,263,233,0,130,75,82,112,69,45,44,47,50,36,0
NH,33,Congressional District 1,"=""3301 """,851,0,851,"1,601,834",229,"187,740",369,"424,300",70,72,94,812,"3,035,922",39,"46,130",682,0,205,529,296,26,397,362,0,186,104,130,161,87,68,101,87,52,59,0
NH,33,Congressional District 1,"=""3301 """,942,0,942,"1,616,901",259,"219,572",398,"440,616",71,62,99,883,"3,159,348",59,"57,831",746,0,200,590,327,25,471,363,0,215,108,165,180,91,76,100,97,63,58,0
NH,33,Congressional District 1,"=""3301 """,2,0,2,"3,457",1,629,1,861,0,0,0,2,"6,901",0,194,2,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
NH,33,Congressional District 1,"=""3301 """,665,0,665,"1,365,521",198,"154,171",336,"414,010",37,22,54,633,"2,597,877",32,"24,997",555,0,200,392,256,0,283,305,0,133,74,105,135,73,65,64,62,48,38,0
NH,33,Congressional District 1,"=""3301 """,336,0,336,"605,073",74,"57,453",146,"169,609",0,0,0,328,"1,092,604",0,"7,719",264,0,118,181,133,22,141,132,0,48,62,75,74,27,34,23,0,0,0,0
NH,33,Congressional District 1,"=""3301 ""","2,795",65,"2,795","6,110,100",798,"626,430","1,516","1,841,406",226,135,163,"2,722","11,322,426",73,"79,401","2,390",0,986,"1,649","1,043",103,"1,081","1,423",0,396,325,476,473,350,303,305,249,192,116,0
NH,33,Congressional District 1,"=""3301 ""","3,940",107,"3,940","9,169,675","1,070","788,645","2,323","2,841,244",268,173,196,"3,845","16,464,098",95,"83,663","3,282",0,"1,320","2,065","1,685",190,"1,653","1,864",0,599,470,669,755,513,412,374,342,218,180,0
NH,33,Congressional District 1,"=""3301 ""","2,264",35,"2,264","4,336,933",548,"412,091","1,076","1,321,232",183,140,169,"2,178","8,266,299",85,"91,306","1,855",0,754,"1,303",874,87,928,"1,043",0,340,327,418,463,238,206,204,181,130,89,0
NH,33,Congressional District 1,"=""3301 """,40,0,40,"53,082",8,"5,773",9,"20,825",0,0,0,37,"113,748",0,978,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,33,Congressional District 1,"=""3301 """,616,0,616,"1,170,229",161,"123,506",287,"370,186",55,38,57,580,"2,228,204",35,"37,104",498,0,176,349,246,21,308,241,0,132,89,105,113,62,55,60,68,34,28,0
NH,33,Congressional District 1,"=""3301 """,29,0,29,"55,486",7,"5,176",9,"14,213",0,0,0,26,"94,957",0,"5,212",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,33,Congressional District 1,"=""3301 """,562,0,562,"1,069,576",163,"126,374",265,"325,741",50,34,51,531,"2,139,725",31,"34,089",457,0,149,334,214,0,257,249,0,115,72,77,102,60,61,57,56,40,35,0
NH,33,Congressional District 1,"=""3301 """,411,0,411,"729,260",91,"67,870",161,"191,541",25,36,49,389,"1,324,633",22,"30,964",309,0,79,244,154,0,215,143,0,105,67,70,91,37,34,37,29,25,21,0
NH,33,Congressional District 1,"=""3301 """,69,0,69,"161,096",9,"14,921",40,"57,809",0,0,0,64,"268,931",0,"13,383",54,0,0,35,34,0,40,25,0,27,0,0,0,0,0,0,0,0,0,0
NH,33,Congressional District 1,"=""3301 """,593,0,593,"1,213,966",188,"160,176",307,"358,333",54,30,31,574,"2,360,965",0,"19,116",510,0,181,377,198,0,254,275,0,119,68,87,95,79,60,61,54,44,43,0
NH,33,Congressional District 1,"=""3301 """,265,0,265,"524,033",65,"45,745",126,"151,831",25,0,0,244,"893,160",22,"16,067",204,0,86,151,108,0,126,113,0,84,39,41,61,25,30,22,0,20,0,0
NH,33,Congressional District 1,"=""3301 """,223,0,223,"433,582",79,"64,507",119,"139,065",0,0,21,211,"840,216",0,"5,602",184,0,58,128,91,0,113,89,0,60,23,22,40,28,0,30,26,23,0,0
NH,33,Congressional District 1,"=""3301 """,3,0,3,"4,160",1,425,1,"1,068",0,0,0,2,"6,888",0,292,2,0,1,1,1,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0
NH,33,Congressional District 1,"=""3301 """,58,0,58,"87,091",9,"14,454",9,"26,431",0,0,0,55,"162,892",0,"3,364",39,0,0,28,28,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,33,Congressional District 1,"=""3301 """,135,0,135,"259,774",43,"35,722",60,"72,573",0,0,0,131,"491,092",0,"6,170",112,0,34,92,40,0,67,54,0,34,0,0,23,0,0,0,0,0,0,0
NH,33,Congressional District 1,"=""3301 ""","1,340",0,"1,340","2,803,120",375,"290,753",682,"802,735",76,56,81,"1,304","5,213,174",36,"41,435","1,132",0,521,810,472,58,511,656,0,191,171,228,251,143,140,140,110,83,72,0
NH,33,Congressional District 1,"=""3301 """,75,0,75,"98,538",9,"11,923",21,"22,056",0,0,0,70,"202,506",0,"3,404",49,0,0,42,25,0,37,25,0,0,0,0,21,0,0,0,0,0,0,0
