"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NV,32,Congressional District 1,"=""3201 ""","1,603",69,"1,603","5,105,647",452,"292,689","1,225","1,718,072",95,49,24,"1,586","7,956,333",17,"15,204","1,411",0,884,408,"1,167",28,"1,042",500,0,434,65,220,381,276,207,173,151,81,45,0
NV,32,Congressional District 1,"=""3201 ""","4,759",232,"4,759","13,821,169","1,150","724,411","3,309","4,579,749",211,137,74,"4,687","21,560,406",71,"42,373","4,112",0,"2,642","1,238","3,420",101,"3,034","1,381",0,"1,226",296,777,"1,238",708,576,427,387,222,118,0
NV,32,Congressional District 1,"=""3201 ""","4,275",261,"4,275","11,340,247","1,077","676,317","2,761","3,752,012",264,160,84,"4,141","18,437,767",133,"83,135","3,608",0,"2,215","1,262","2,949",64,"2,713","1,236",0,"1,052",306,725,999,672,445,402,402,202,116,0
NV,32,Congressional District 1,"=""3201 ""","5,592",252,"5,592","12,486,612","1,577","1,099,018","3,152","3,965,187",383,264,139,"5,295","21,672,652",294,"222,583","4,426",0,"2,205","1,832","3,668",92,"3,402","1,693",0,"1,418",468,953,"1,165",746,584,572,566,356,176,0
NV,32,Congressional District 1,"=""3201 ""","5,135",204,"5,135","13,603,450","1,411","926,033","3,344","4,548,508",346,211,92,"5,026","22,557,274",108,"72,808","4,348",0,"2,522","1,546","3,496",93,"3,165","1,578",0,"1,235",402,776,"1,123",738,552,546,508,328,153,0
NV,32,Congressional District 1,"=""3201 """,798,28,798,"2,371,723",191,"125,691",563,"763,552",52,29,11,787,"3,601,066",11,"6,439",715,0,462,285,498,15,488,266,0,229,52,137,216,118,76,70,67,42,20,0
NV,32,Congressional District 1,"=""3201 ""","4,385",156,"4,385","11,798,320","1,241","859,368","2,929","3,956,903",292,199,106,"4,229","19,499,579",156,"115,586","3,709",0,"2,020","1,498","2,805",80,"2,613","1,495",0,"1,059",294,607,961,611,517,480,451,273,183,0
NV,32,Congressional District 1,"=""3201 ""","2,840",89,"2,840","7,735,722",830,"574,054","1,914","2,580,390",207,121,90,"2,775","12,697,977",64,"49,399","2,491",0,"1,394","1,120","1,674",45,"1,610","1,034",0,686,169,403,641,409,337,315,286,165,109,0
NV,32,Congressional District 1,"=""3201 """,541,0,541,"1,200,430",75,"53,019",272,"339,369",0,0,0,509,"1,810,525",32,"30,668",423,0,229,202,321,0,344,130,0,160,84,111,160,70,35,36,21,0,0,0
NV,32,Congressional District 1,"=""3201 ""","8,703",326,"8,703","25,156,512","2,850","1,921,414","6,350","8,950,706",735,377,174,"8,550","42,136,674",153,"116,763","7,600",0,"4,289","2,401","6,173",129,"5,522","2,811",0,"2,176",376,"1,033","1,822","1,316","1,111",981,"1,057",598,379,29
NV,32,Congressional District 1,"=""3201 """,0,0,0,"20,643",0,"7,180",0,"6,147",0,0,0,0,"48,428",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
