"STATE","state_fips","CONGRESSIONAL DISTRICT","DISTRICT ID","ERETURN14","ENEW14","EEIC14","EEICAM14","ECTC14","ECTCAM14","EACTC14","EACTCAM14","ECDCTC14","EEDCR14","ESLD14","EREF14","EREFAM14","EBAL14","EBALAM14","EDIRDP14","ERAL14","ERAC14","ESELF14","EPAID14","EVOL14","E1040_14","E1040A_14","E1040Z_14","ECEF14","EAGI0_14","EAGI5_14","EAGI10_14","EAGI15_14","EAGI20_14","EAGI25_14","EAGI30_14","EAGI35_14","EAGI40_14","EAGI50_14"
NY,36,Congressional District 1,"=""3601 """,929,27,929,"2,400,565",229,"173,165",610,"792,428",92,47,34,907,"4,119,372",22,"20,037",800,0,495,240,678,0,647,232,0,228,60,163,209,127,95,76,95,56,44,0
NY,36,Congressional District 1,"=""3601 """,138,0,138,"241,522",26,"16,268",56,"69,978",0,0,0,134,"442,656",0,"4,160",104,0,36,52,84,0,89,32,0,39,21,27,32,0,0,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,126,0,126,"221,409",9,"13,728",50,"62,013",0,0,0,111,"397,381",0,"17,171",77,0,23,30,92,0,83,29,0,47,22,25,28,0,0,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 ""","1,397",23,"1,397","2,727,380",288,"208,700",635,"773,981",59,93,93,"1,324","4,834,242",72,"51,723","1,057",0,344,446,927,24,867,381,0,329,174,245,319,147,131,105,115,81,75,0
NY,36,Congressional District 1,"=""3601 """,19,0,19,"33,851",3,"2,032",7,"9,682",1,1,1,17,"55,975",2,"1,040",12,0,3,6,13,0,13,4,0,6,2,4,4,2,1,2,1,1,1,0
NY,36,Congressional District 1,"=""3601 ""","1,821",38,"1,821","3,871,890",472,"348,429",995,"1,192,539",166,116,86,"1,733","7,099,089",87,"77,769","1,477",0,580,618,"1,183",0,"1,115",553,0,381,155,333,360,218,190,173,181,128,79,0
NY,36,Congressional District 1,"=""3601 """,398,0,398,"592,993",66,"50,673",127,"146,266",0,24,39,353,"1,033,685",45,"38,853",263,0,56,144,249,0,271,90,0,139,81,88,79,32,30,21,23,26,0,0
NY,36,Congressional District 1,"=""3601 """,905,0,905,"1,822,453",221,"183,114",429,"528,691",52,55,59,848,"3,205,126",57,"47,777",673,0,237,310,580,0,547,274,0,245,103,177,167,89,82,91,82,57,52,0
NY,36,Congressional District 1,"=""3601 """,196,0,196,"359,291",48,"38,649",90,"106,402",13,13,19,187,"668,824",9,"10,118",146,0,42,73,119,4,118,57,0,45,20,39,39,18,16,17,20,12,13,0
NY,36,Congressional District 1,"=""3601 """,523,0,523,"985,746",114,"99,576",234,"281,008",31,36,25,499,"1,812,018",24,"17,546",410,0,121,178,340,0,310,154,0,135,63,103,93,58,47,34,52,39,32,0
NY,36,Congressional District 1,"=""3601 """,278,0,278,"458,613",59,"40,390",107,"126,386",12,15,27,258,"813,096",20,"15,010",193,0,50,97,174,0,177,69,0,77,36,52,68,24,23,21,20,18,15,0
NY,36,Congressional District 1,"=""3601 """,424,0,424,"729,455",81,"59,169",163,"196,802",22,34,38,400,"1,302,723",24,"18,053",311,0,93,140,276,0,246,122,0,101,63,89,86,38,34,33,25,35,0,0
NY,36,Congressional District 1,"=""3601 ""","1,849",59,"1,849","4,142,387",415,"308,997","1,041","1,262,470",122,125,82,"1,779","7,238,059",70,"66,129","1,486",0,590,582,"1,231",36,"1,133",537,0,433,186,326,411,210,192,154,163,112,92,0
NY,36,Congressional District 1,"=""3601 """,386,0,386,"646,370",58,"49,906",143,"178,376",0,23,40,345,"1,097,301",41,"39,809",261,0,60,138,241,0,255,96,0,131,63,83,79,30,27,21,36,27,0,0
NY,36,Congressional District 1,"=""3601 """,319,0,319,"592,967",50,"32,564",138,"169,287",0,22,29,299,"1,072,978",0,"14,997",223,0,54,95,218,0,208,76,0,94,56,58,74,32,0,24,24,0,0,0
NY,36,Congressional District 1,"=""3601 """,437,0,437,"790,534",77,"52,210",180,"227,516",26,38,34,416,"1,434,316",21,"26,338",284,0,59,124,301,0,286,105,0,132,51,94,94,40,31,37,34,31,24,0
NY,36,Congressional District 1,"=""3601 ""","2,864",67,"2,864","6,234,095",754,"524,688","1,570","1,926,607",201,155,152,"2,737","11,171,472",127,"104,910","2,169",0,923,891,"1,924",49,"1,772",832,0,638,301,495,581,337,307,276,235,197,130,0
NY,36,Congressional District 1,"=""3601 ""","1,416",38,"1,416","2,997,284",340,"221,102",755,"911,709",131,102,91,"1,361","5,436,192",55,"35,140","1,124",0,367,404,983,29,964,338,0,281,134,251,299,175,140,134,121,97,62,0
NY,36,Congressional District 1,"=""3601 """,320,0,320,"536,515",60,"41,936",133,"152,373",0,0,25,299,"955,450",21,"16,652",228,0,63,121,197,0,205,82,0,90,52,63,75,30,26,27,0,22,0,0
NY,36,Congressional District 1,"=""3601 """,615,0,615,"1,160,818",142,"116,834",286,"368,116",34,33,54,585,"2,129,746",30,"22,266",456,0,177,204,405,0,367,183,0,152,74,115,134,57,50,47,51,49,36,0
NY,36,Congressional District 1,"=""3601 """,992,17,992,"1,949,159",236,"184,676",461,"564,549",63,67,66,945,"3,537,137",46,"46,278",766,0,260,328,647,17,579,303,0,234,95,179,209,108,84,98,89,71,58,0
NY,36,Congressional District 1,"=""3601 """,351,0,351,"554,543",70,"54,453",120,"137,335",0,23,24,310,"1,002,122",40,"44,577",214,0,59,112,233,0,251,69,0,118,60,56,84,27,25,26,27,26,0,0
NY,36,Congressional District 1,"=""3601 ""","1,460",22,"1,460","3,070,661",386,"283,902",749,"944,797",96,91,98,"1,393","5,468,689",67,"57,708","1,153",0,374,472,960,28,909,425,0,347,115,252,306,144,154,132,148,109,93,0
NY,36,Congressional District 1,"=""3601 """,202,0,202,"339,332",41,"33,075",69,"81,566",0,0,21,189,"607,968",0,"9,638",141,0,30,76,125,0,121,61,0,51,33,45,34,0,21,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,802,0,802,"1,356,134",130,"98,038",291,"345,796",32,61,76,731,"2,411,588",70,"59,269",540,0,120,251,525,26,563,175,0,269,123,172,170,63,65,63,62,47,35,0
NY,36,Congressional District 1,"=""3601 """,510,0,510,"898,698",108,"84,740",207,"258,226",29,44,35,482,"1,646,689",28,"20,706",357,0,99,143,353,0,329,131,0,144,64,105,108,47,37,35,42,40,30,0
NY,36,Congressional District 1,"=""3601 """,374,0,374,"755,599",80,"57,700",177,"234,763",0,27,34,354,"1,336,358",0,"20,004",289,0,97,129,237,0,239,102,0,100,47,71,79,39,32,30,36,0,0,0
NY,36,Congressional District 1,"=""3601 """,316,0,316,"440,779",39,"30,563",103,"132,403",0,0,33,296,"813,777",0,"8,241",226,0,47,135,173,0,192,81,0,92,58,73,76,27,0,0,0,0,22,0
NY,36,Congressional District 1,"=""3601 """,256,0,256,"458,622",56,"45,570",104,"126,159",0,0,0,238,"828,338",0,"30,150",175,0,47,89,163,0,167,67,0,88,38,47,50,30,0,26,0,0,0,0
NY,36,Congressional District 1,"=""3601 ""","2,047",84,"2,047","4,443,838",522,"378,470","1,110","1,347,620",129,74,63,"1,917","7,634,260",129,"117,833","1,514",0,809,557,"1,416",74,"1,399",516,0,522,204,388,464,231,187,189,181,124,76,0
NY,36,Congressional District 1,"=""3601 """,126,0,126,"246,700",39,"25,980",59,"71,355",0,0,0,110,"406,504",0,"14,758",78,0,0,40,82,0,90,30,0,49,0,24,29,0,0,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,101,0,101,"189,268",9,"14,006",45,"53,772",0,0,0,89,"329,453",0,"12,847",67,0,29,30,63,0,72,23,0,35,0,0,24,0,0,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,85,0,85,"170,775",23,"18,832",41,"48,178",0,0,0,74,"287,392",0,"12,204",61,0,31,27,56,0,51,25,0,27,0,0,0,0,0,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,332,0,332,"672,879",73,"56,491",163,"207,593",0,0,21,304,"1,135,020",28,"25,208",236,0,114,94,225,0,219,86,0,103,47,60,74,40,22,23,27,0,0,0
NY,36,Congressional District 1,"=""3601 """,334,0,334,"652,085",82,"68,024",156,"192,559",0,0,0,313,"1,120,402",21,"27,644",243,0,99,103,228,0,197,97,0,96,38,72,64,40,23,24,25,22,26,0
NY,36,Congressional District 1,"=""3601 """,136,0,136,"256,395",26,"19,861",62,"79,830",0,0,0,128,"457,491",0,"5,617",97,0,32,46,88,0,89,35,0,44,22,33,22,0,0,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,908,47,908,"1,802,809",245,"179,903",442,"527,734",52,44,37,755,"2,891,451",153,"178,599",565,0,183,288,606,0,604,237,0,402,96,164,180,105,95,93,72,49,54,0
NY,36,Congressional District 1,"=""3601 """,36,0,36,"68,417",9,"7,415",9,"13,109",0,0,0,31,"121,521",0,"3,990",23,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,199,0,199,"403,261",48,"34,942",86,"105,462",0,0,0,179,"681,536",0,"21,559",133,0,43,52,143,0,135,46,0,72,24,41,38,23,0,22,22,0,0,0
NY,36,Congressional District 1,"=""3601 """,99,0,99,"164,338",23,"15,497",43,"46,885",0,0,0,87,"280,322",0,"6,550",69,0,23,37,60,0,67,23,0,30,0,0,23,0,0,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,248,0,248,"516,024",60,"40,159",123,"149,776",0,0,0,219,"794,350",29,"19,746",150,0,51,80,167,0,168,60,0,108,30,41,55,41,24,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,274,0,274,"605,667",79,"59,527",151,"170,779",0,0,0,257,"1,034,678",0,"15,570",212,0,108,93,179,0,166,87,0,71,28,48,55,39,22,26,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,916,69,916,"2,077,799",271,"156,534",517,"572,736",34,47,45,814,"3,225,113",102,"102,961",524,0,180,340,566,0,688,173,0,471,83,148,194,208,69,77,61,41,34,0
NY,36,Congressional District 1,"=""3601 """,43,0,43,"102,613",9,"7,916",9,"21,535",0,0,0,37,"146,715",0,"5,356",29,0,0,0,31,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,41,0,41,"78,677",9,"8,428",22,"22,001",0,0,0,38,"129,784",0,"3,486",29,0,0,0,29,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,36,Congressional District 1,"=""3601 """,501,0,501,"951,617",101,"69,046",222,"274,664",21,34,34,464,"1,653,476",37,"32,445",352,0,121,162,333,0,339,120,0,159,67,90,104,57,48,44,39,30,0,0
